title,status,url,latitude,longitude,solicitation,subprogram,name,project_lead,funding_awarded,state,start_date,brief_description,principal_investigator,other_partners,topic_area,end_date,project_identifier,solicitation_url
Advanced Brine Processing to Enable U.S. Lithium Independence,Active,,41.68214,-87.98344,2020 Battery Manufacturing Lab Call,Energy Technology Manufacturing RD&D,Advanced Brine Processing to Enable U.S. Lithium Independence,Argonne National Laboratory (ANL),1500000,NC,1/1/2021,"ANL and partners Albemarle and Ameridia will work towards the novel use of bipolar membrane electrodialysis to substantially reduce the number of steps required to convert Lithium chloride brine to Lithium hydroxide, an increasingly valuable precursor material for Lithium ion and Lithium metal batteries. This innovative method has potential to significantly reduce cost, eliminate all solid waste, and generate a salable hydrochloric acid byproduct. 

The project focuses on the scale-up a disruptive technology that with potential to allow for U.S. competitiveness in low cost Lithium hydroxide production.",,N/A,Battery Energy Storage,12/31/2023,,https://www.anl.gov/article/doe-awards-funding-to-six-argonne-battery-manufacturing-projects
Commercially Viable Process for Surface Conditioning of High-Nickel Low-Cobalt Cathodes,Completed,,40.8696,-72.8875,2020 Battery Manufacturing Lab Call,Energy Technology Manufacturing RD&D,Commercially Viable Process for Surface Conditioning of High-Nickel Low-Cobalt Cathodes,Brookhaven National Laboratory (BNL),1700000,NY,10/1/2020,"As advanced automotive batteries adopted higher nickel content cathodes, surface instability worsens and battery life is severely affected.  New manufacturing processes for active materials are needed. BNL will work with ANL, Primet Precision Materials, an advanced powder materials company and C4V, a battery manufacturing start-up to bring a novel processing technology towards commercial viability. ",,Argonne National Laboratory,Battery Energy Storage,9/30/2022,,https://www.anl.gov/article/doe-awards-funding-to-six-argonne-battery-manufacturing-projects
Continuous Flow Reactor Synthesis of Advanced Electrolyte Components for Lithium-Ion Batteries,Completed,,41.68214,-87.98344,2020 Battery Manufacturing Lab Call,Energy Technology Manufacturing RD&D,Continuous Flow Reactor Synthesis of Advanced Electrolyte Components for Lithium-Ion Batteries,Argonne National Laboratory (ANL),500000,MA,1/1/2021,"ANL and Koura Global will work towards the production of next-generation, fluorine-based liquid electrolytes for Lithium ion batteries that offer high voltage capabilities, silicon anode stabilization, and low flammability. This company would be new to the EERE portfolio. Project leverages ANL Materials Engineering Research Facility, and their knowledge of continuous flow reactor synthesis. ",,N/A,Battery Energy Storage,12/31/2022,,https://www.anl.gov/article/doe-awards-funding-to-six-argonne-battery-manufacturing-projects
High-Throughput Laser Processing and Acoustic Diagnostics for Enhanced Battery Performance and Manufacturing,Active,,39.71402,-105.2441,2020 Battery Manufacturing Lab Call,Energy Technology Manufacturing RD&D,High-Throughput Laser Processing and Acoustic Diagnostics for Enhanced Battery Performance and Manufacturing,National Renewable Energy Laboratory (NREL),1444000,WI,10/1/2020,"NREL will work with Clarios, a company spun off from Johnson Controls, for high-throughput production of laser-patterned graphite anodes for use in Lithium ion batteries. Laser-patterning and Acoustic Diagnostics will be used to facilitate faster wetting, formation, and aging protocols of cells.",,,Battery Energy Storage,9/30/2023,,https://www.anl.gov/article/doe-awards-funding-to-six-argonne-battery-manufacturing-projects
High-Energy and High-Power NMP-Free Designer Electrodes with Ultra-Thick Architectures Processed by Multilayer Slot-Die Coating and Electrophoretic Deposition,Active,,35.96985,-84.28638,2020 Battery Manufacturing Lab Call,Energy Technology Manufacturing RD&D,High-Energy and High-Power NMP-Free Designer Electrodes with Ultra-Thick Architectures Processed by Multilayer Slot-Die Coating and Electrophoretic Deposition,Oak Ridge National Laboratory (ORNL),1100000,PA,10/1/2020,"Electrode processing project focused on developing thick electrode architectures via multilayer slot-die coating and electrophoretic deposition processes. Electrodes will be produced without the use of the conventionally necessary, but hazardous chemical N-Methyl-2-pyrrolidone. The project leverages the extensive knowledge of PPG to develop controlled coatings, and the electrode/cell manufacturing experience at Oak Ridge National Laboratory",,N/A,Battery Energy Storage,9/30/2023,,https://www.anl.gov/article/doe-awards-funding-to-six-argonne-battery-manufacturing-projects
Hydrothermal Production of Single Crystal Ni-rich Cathodes with Extreme Rate Capability,Active,,41.68214,-87.98344,2020 Battery Manufacturing Lab Call,Energy Technology Manufacturing RD&D,Hydrothermal Production of Single Crystal Ni-rich Cathodes with Extreme Rate Capability,Argonne National Laboratory (ANL),1050000,TX,1/1/2021,"The hydrothermal process is a rapid potentially high-volume, tunable manufacturing method that will be used to produce single-crystalline, nickel-rich cathode materials for lithium-ion batteries with superior cyclability and fast-charge capability.",,N/A,Battery Energy Storage,12/31/2023,,https://www.anl.gov/article/doe-awards-funding-to-six-argonne-battery-manufacturing-projects
Multilayer Electrode with Metalized Polymer Current Collector for High-Energy Lithium-Ion Batteries with Extreme-Fast-Charging Capability,Active,,35.96985,-84.28638,2020 Battery Manufacturing Lab Call,Energy Technology Manufacturing RD&D,Multilayer Electrode with Metalized Polymer Current Collector for High-Energy Lithium-Ion Batteries with Extreme-Fast-Charging Capability,Oak Ridge National Laboratory (ORNL),1500000,SC,1/1/2021,"ORNL and battery US-based company Soteria will focus on manufacturing of metalized-polymer current collectors coated with multilayer graphite anode materials for use in enhanced Lithium ion cells. Current collector has potential to be used in cells undergoing extreme fast charging, as well as having the capability to lower cell costs and weight. ",,N/A,Battery Energy Storage,12/31/2023,,https://www.anl.gov/article/doe-awards-funding-to-six-argonne-battery-manufacturing-projects
Scale-up Production of Graphene Monoxide for Next-Generation LIB Anodes,Completed,,41.68214,-87.98344,2020 Battery Manufacturing Lab Call,Energy Technology Manufacturing RD&D,Scale-up Production of Graphene Monoxide for Next-Generation LIB Anodes,Argonne National Laboratory (ANL),600000,WI,1/1/2021,ANL and SafeLi LLC will focus on scale-up of a novel graphene monoxide additive for next-generation Lithium ion anodes. The additive has the potential to increase the specific capacity of the anode materials and also allow for increased fast charging capabilities. Scale-up of the additive is required for potential market adoption. Proposal builds off of technology previously developed through a VTO-led Small Business Innovation Research (SBIR) project. Utilizes ANL knowledge to safely scale materials via varying synthesis routes.,,N/A,Battery Energy Storage,12/31/2022,,https://www.anl.gov/article/doe-awards-funding-to-six-argonne-battery-manufacturing-projects
Scaling up of High-Performance Single Crystalline Ni-rich Cathode Materials with Advanced Lithium Salts,Active,,46.36855,-119.3334,2020 Battery Manufacturing Lab Call,Energy Technology Manufacturing RD&D,Scaling up of High-Performance Single Crystalline Ni-rich Cathode Materials with Advanced Lithium Salts,Pacifica Northwest National Laboratory (PNNL),1000000,NC,1/1/2021,"Teaming up with Albemarle, the leading lithium producer in the world, PNNL scientists will develop and scale up an innovative and low-cost synthesis approach for preparing high-performance single crystalline Nickel-rich cathode materials. Such active battery materials are the most promising cathodes for next-generation high-energy Lithium ion batteries for electrical vehicles. Single crystalline versions are already showing promise in improving durability and thus lowering overall operating cost. The synthetic approach at Pacific Northwest National Laboratory involves conventionally prepared precursor and a patent-pending solid-state reaction route",,N/A,Battery Energy Storage,12/31/2023,,https://www.anl.gov/article/doe-awards-funding-to-six-argonne-battery-manufacturing-projects
Circular Economy of Composites enabled by TUFF Technology,Active,,39.67873,-75.75348,Bio-Optimized Technologies to keep Thermoplastics out of Landfills and the Environment (BOTTLE) FOA,Secure & Sustainable Materials RD&D,Circular Economy of Composites enabled by TUFF Technology,U of Delaware      ,1799983,DE,7/1/2021,The objectives of this University of Deleware project are to combine 1) an innovative short fiber alignment process developed by UD-CCM with 2) a new recycling approach to separate fiber and polymer content of CFCs innovated by NREL and 3) a novel recyclable polymer material (CSU) to 4) demonstrate closed-loop recycling of high-performance CFC to implement a sustainable CFC manufacturing approach for the first time (all). ,Joseph Deitzel,National Renewable Energy Laboratory (1.4.1.2),BOTTLE: Bio-Optimized Technologies to keep Thermoplastics out of Landfills and the Environment,6/30/2024,,https://www.energy.gov/articles/us-department-energy-announces-27-million-plastics-recycling-research-and-development
