ProjectID,Project,Fuel,Market_Sector,Technology_Prime_Mover,Thermal_Energy_Use,Profile,City,State,CHP_TAP,SystemSize,YearInstalled,NAICS_Code,Status,Comment,,,,,,,
357,Metro Wastewater Reclamation District,Biogas,Waste and Wastewater Treatment ,Combustion Turbine,Anaerobic Digester | Process Heat | Space Heating,https://chptap.lbl.gov/profile/56/Denver_Metro_Wastewater-Project_Profile.pdf,Denver,CO,Upper-West,6200,1985,221320 Sewage Treatment Facilities,1,,,,,,,,
358,Trailblazer Pipeline Compressor Station,Natural Gas | Waste Heat,Pipelines,Combustion Turbine | Organic Rankine Cycle,Electricity,https://chptap.lbl.gov/profile/238/Trailblazer-Project_Profile1.pdf,Peetz,CO,Upper-West,4000,2009,221210 Natural Gas Distribution,1,,,,,,,,
359,Tesoro Petroleum,Natural Gas,Refineries,Combustion Turbine,Process Heat,https://chptap.lbl.gov/profile/224/Tesoro_Petroleum-Project_Profile.pdf,Salt Lake City,UT,Upper-West,22000,2004,324110 Petroleum Refineries,1,,,,,,,,
360,University of Arizona,Natural Gas,District Energy | Universities and Colleges,Combustion Turbine,Space Heating,https://chptap.lbl.gov/profile/243/University_of_Arizona-Project_Profile.pdf,Tucson,AZ,Western,12000,2002,"611310 Colleges, Universities and Professional Schools",1,,,,,,,,
361,Utah State University,Fuel Oil | Natural Gas,District Energy | Universities and Colleges,Combustion Turbine,Space Heating | Water Heating,https://chptap.lbl.gov/profile/260/Utah_State_University-Project_Profile.pdf,Logan,UT,Upper-West,4500,2004,"611310 Colleges, Universities and Professional Schools",1,,,,,,,,
363,New Belgium Brewing Company,Biogas | Natural Gas,Breweries,Reciprocating Engine,Anaerobic Digester,https://chptap.lbl.gov/profile/150/New_Belgium-Project_Profile.pdf,Fort Collins,CO,Upper-West,290,2003,312120 Breweries,1,,,,,,,,
366,Bucknell University,Fuel Oil | Natural Gas,District Energy | Universities and Colleges,Combined Cycle Gas Turbine,Dehumidification | Electricity | Space Heating | Steam | Water Heating,https://chptap.lbl.gov/profile/26/bucknell_project_profile1.pdf,Lewisburg,PA,Mid-Atlantic,6000,1998,"611310 Colleges, Universities and Professional Schools",1,,,,,,,,
367,Patterson Farms,Biogas,Agriculture,Reciprocating Engine,Anaerobic Digester,https://chptap.lbl.gov/profile/178/patterson-Project_Profile.pdf,Auburn,NY,New York-New Jersey,250,2005,112120 Dairy Cattle and Milk Production,1,,,,,,,,
370,Franciscan Sisters of Perpetual Adoration,Waste Heat,District Energy,Steam Turbine,Space Cooling | Space Heating,https://chptap.lbl.gov/profile/82/Franciscan_Sisters-Project_Profile.pdf,LaCrosse,WI,Midwest,295,2002,813110 Religious Organizations,1,,,,,,,,
373,SC Johnson Waxdale Plant,Biogas | Natural Gas,Manufacturing ,Combustion Turbine,Process Heat | Space Heating,https://chptap.lbl.gov/profile/196/SCJohnsonWaxdalePlant-Project_Profile.pdf,Racine,WI,Midwest,6400,2003,325612 Polish and Other Sanitation Good Manufacturing,1,,,,,,,,
