Subject,Event Type,Title,Location,Event Date,AMO Pillar,Description,Attachment
Steel Industry,Workshop,Steel Industry Roundtable,"Washington, DC",11/6/2019,R&D Projects,"Representatives from the steel industry, DOE National Laboratories, academia, and non-governmental organizations gathered in Washington, D.C. to listen toexpert speakers and participate in facilitated discussions regarding steel technology needs and opportunities.",https://www.energy.gov/eere/amo/events/amo-steel-industry-roundtable
Manufacturing Demonstration Facility (MDF),Workshop,Manufacturing Demonstration Facility Workshop,"Chicago, IL",3/12/2012,R&D Consortia,"The Manufacturing Demonstration Facility Workshop  invited stakeholders to discuss key foundational aspects of planning a series of Manufacturing Demonstration Facilities (MDFs). MDFs will create a collaborative, shared infrastructure around targeted technical areas that will develop, use, and promote energy efficient, rapid, flexible manufacturing technologies. ",
Combined Heat and Power (CHP),Webinar,Sustained Energy Savings Achieved Through Successful Industrial Customer Interaction with Ratepayer Programs,,12/10/2015,R&D Projects,"This informative webinar presentation discussed the experiences of large manufacturing companies that benefited from participation in its utility energy efficiency program offerings. Rick Pettibone, senior energy advisor with Franklin Energy, also shared his behind-the-scenes experience helping industrial companies find success in achieving energy savings in partnership with utility programs.",https://www.energy.gov/sites/prod/files/2016/01/f28/Sustained Energy Savings Achieved Through Successful Industrial Customer Interaction with Ratepayer Programs %28December 10%2C 2015%29.pptx
Smart Manufacturing,Webinar,"Advanced Sensors, Controls, Platforms, and Modeling for Manufacturing",,10/6/2015,Consortia,"The Advanced Manufacturing Office presented a webinar on the Manufacturing Innovation Institute for Smart Manufacturing: Advanced Sensors, Controls, Platforms, and Modeling for Manufacturing FOA (DE?FOA?0001263). ",https://www.energy.gov/sites/prod/files/2015/10/f27/FOA_Webinar_-_1263_October_6_FINAL_PDF.pdf
High Performance Computing,Webinar,HPC4Mfg: Advancing Innovation,,10/1/2015,R&D Projects,This presentation provided an overview of the High Performance Computing for Manufacturing (HPC4Mfg) program.,https://www.energy.gov/sites/prod/files/2015/10/f27/HPC4Mfg Webinar Oct 1 2015.pdf
Process Heating ,Webinar,Process Heating Assessment and Survey Tool Introduction,,1/30/2007,Technical Partnerships,"This presentation provided an introduction to Process Heating Assessment and Survey Tool (PHAST), showed how to use the tool to survey process heating equipment that uses fuel, steam, or electricity, and helped plant personnel identify the most energy-intensive equipment.",https://www.energy.gov/sites/prod/files/2014/04/f15/phast_webcast_0107.pdf
Fan System Assessment Tool,Webinar,Fan System Assessment Tool Introduction,,3/12/2007,Technical Partnerships,"This presentation provided an introduction to the Fan System Assessment Tool (FSAT). With FSAT, users can calculate the amount of energy used by their fan system; determine system efficiency; and quantify the savings potential of an upgraded system.",https://www.energy.gov/sites/prod/files/2014/04/f15/fsat_webcast_final_031207.pdf
AIRMaster+ and CAC LogTool software,Webinar,AIRMaster+ Introduction,,5/15/2007,Technical Partnerships,This presentation discussed typical compressed air system operation and discussed methods of system efficiency improvement through use of the AIRMaster+ and CAC LogTool software.,https://www.energy.gov/sites/prod/files/2014/04/f15/compressed_air_webcast_0307.pdf
Pumping System Assessment Tool,Webinar,Pumping System Assessment Tool Overview,,12/15/2008,Technical Partnerships,This presentation provided an overview of AMO's pumping system assessment tool (PSAT) that is used during energy savings assessments at large industrial facilities.,https://www.energy.gov/sites/prod/files/2014/04/f15/psat_webcast.pdf
QuickPEP Tool,Webinar,QuickPEP Tool Demonstration,,2/26/2009,Technical Partnerships,This presentation introduced the QuickPEP Tool for plant energy profiling.,https://www.energy.gov/sites/prod/files/2013/11/f4/webcast_2009-0226_quickpep_tool_demo.pdf
MotorMaster+ Tool Suite,Webinar,MotorMaster+ Tool Presentation,,3/19/2009,Technical Partnerships,This presentation discussed industrial motor systems and introduced the MotorMaster+ Tool Suite.,https://www.energy.gov/sites/prod/files/2013/11/f4/webcast_2009-0319_motor_master_tool.pdf
Industrial Assessment Centers (IAC),Webinar,Top Low- or No-Cost Improvements,,4/2/2009,Technical Partnerships,This presentation described the top low- or no-cost projects to improve energy efficiency as identified in energy assessments performed by DOE and by the Industrial Assessment Centers.,https://www.energy.gov/sites/prod/files/2013/11/f4/webcast_2009-0402_improvements.pdf
Industrial Assessment Centers,Webinar,Energy Assessment Results: Most Commonly Identified Recommendations,,4/16/2009,Technical Partnerships,The Missouri Industrial Assessment Center shared its experience providing energy assessments to local industry.,https://www.energy.gov/sites/prod/files/2013/11/f4/webcast_2009-0409_common_recommendations_1.pdf
Energy Management System (EnMS),Webinar,Project Financing: From Identification to Implementation,,4/16/2009,Technical Partnerships,This presentation discussed various means to measure the financial impact of energy efficiency projects from simple payback to annualized cost analysis.,https://www.energy.gov/sites/prod/files/2013/11/f4/webcast_2009-0416_project_financing.pdf
Combined Heat and Power (CHP),Webinar,Combined Heat and Power: Is It Right For Your Facility?,,5/14/2009,R&D Projects,This presentation provided an overview of Combined Heat and Power (CHP) technologies and how they can be used in industrial manufacturing plants to increase productivity and reduce energy and costs.,https://www.energy.gov/sites/prod/files/2013/11/f4/webcast_2009-0514_chp_in_facilities.pdf
Combined Heat and Power (CHP),Webinar,Waste Heat Management Options for Improving Industrial Process Heating Systems,,8/20/2009,R&D Projects,"This presentation covered typical sources of waste heat from process heating equipment, characteristics of waste heat streams, and options for recovery including Combined Heat and Power.",https://www.energy.gov/sites/prod/files/2013/11/f4/webcast_2009-0820_whmanage_phsystems.pdf
Heating Ventilation and Air Conditioning (HVAC) ,Webinar,Heating Ventilation and Air Conditioning Efficiency,,8/27/2009,R&D Projects,This presentation covered common pitfalls that lead to wasted energy in industrial heating ventilation and air conditioning Heating Ventilation and Air Conditioning Efficiency (HVAC) systems.,https://www.energy.gov/sites/prod/files/2015/05/f22/webcast_2009-0827_hvac_efficiency_1.pdf
