Title,Summary,Publishing_Organization,Subject,Presenter,Filename
Manufacturing Demonstration Facility,This presentation provides an overview and project updates of the Manufacturing Demonstration Facility (MDF) at Oak Ridge National Laboratory (ORNL).,ORNL,ADDITIVE MANUFACTURING,Bill Peter,https://www.energy.gov/sites/prod/files/2020/05/f75/MDF%202020%20AMO%20APR%20_0.pptx
Full Scale Engine Demonstration of Additively Manufactured High Gamma Prime Turbine Blades,This presentation provides an overview of the Carbon Fiber Technology Facility (CFTF) at Oak Ridge National Laboratory (ORNL).,"ORNL
Solar Turbines",ADDITIVE MANUFACTURING,Alex Plotkowski,https://www.energy.gov/sites/prod/files/2020/05/f75/ORNL%20-%20Plotkowski%20-%20AMO%20FY20%20Review.pptx
Development of a High Throughput Laser System for Soft Magnetic Materials to Revolutionize Motor Technology,,ORNL ,ADDITIVE MANUFACTURING,Brian Post,https://www.energy.gov/sites/prod/files/2020/05/f75/Program%20Review%20Presentation%20Infrastructure%20Scale%20Additive%20Manufacturing%20-%20POST.pptx
Infrastructure Scale Additive Manufacturing,,ORNL,ADDITIVE MANUFACTURING,Ryan Dehoff,https://www.energy.gov/sites/prod/files/2020/05/f75/SolarMoonshotAMOPeerReview2020.pptx
Science-Based Acceleration of the Full Value Stream for Metal Additive Manufacturing: Expedited Powder Development and Additive Manufacturing Deployment,This presentation provides a summary of the Science-Based Acceleration of the Full Value Stream for Metal Additive Manufacturing project at Ames National Laboratory.,Ames Laboratory,ADDITIVE MANUFACTURING,Emma White,https://www.energy.gov/sites/prod/files/2020/05/f75/WBS%202.1.0.11%20X-P4AM%20Project%20AMO%202020%20virtual%20review.pptx
Innovative High-Feed Rate Additive Manufacturing Using Sustainable Nano- Micro- Cellulose-Reinforced Thermoplastic Composites,This presentation provides a summary of an Innovative High-Feed Rate Additive Manufacturing Using Sustainable Nano- Micro- Cellulose-Reinforced Thermoplastic Composites projec led by Oak Ridge National Laboratory.,"ORNL
University of Maine",ADVANCED MATERIALS MANUFACTURING,William Shih,https://www.energy.gov/sites/prod/files/2020/05/f75/2020-06%20Boston%20Metal%20AMO%20Peer%20Review%20Slides.pptx
Carbon Fiber Test Facility,This presentation provides an overview of the Carbon Fiber Technology Facility project.,ORNL,ADVANCED MATERIALS MANUFACTURING,Richard Bradshaw,https://www.energy.gov/sites/prod/files/2020/05/f75/2020-06%20Boston%20Metal%20AMO%20Peer%20Review%20Slides.pptx
Institute for Advanced Composite Manufacturing Innovation (IACMII),This presentation provides an overview of the Institute for Advanced Composite Manufacturing Innovation (IACMII) - The Composites Institute.,,ADVANCED MATERIALS MANUFACTURING,Apurva Mehta,https://www.energy.gov/sites/prod/files/2020/05/f75/AMO%20Program%20Review%202020%20TECCA%20Mehta.pptx
Reducing Embodied Energy and Decreasing Emissions Institute (REMADE),,,ADVANCED MATERIALS MANUFACTURING,Gary Cola,https://www.energy.gov/sites/prod/files/2020/05/f75/AMO_RD_FlashBainiteAutoApplicationsReview.pptx
Sustainable Manufacturing Big Impactful Report,,NREL,ADVANCED MATERIALS MANUFACTURING,Balu Balachandran,https://www.energy.gov/sites/prod/files/2020/05/f75/High%20Performance%20Electrical%20and%20Thermal%20Conductors_June%20tk.pptx
"Developing Nanometer Scale, Atomically Precise Metallo-Catalysts with Molecular Lego","This presentation provides a summary of a project about developing nanometer scale, atomically precise metallo-catalysts with molecular lego led by Temple University.",Temple University,ADVANCED MATERIALS MANUFACTURING,Scott Whalen,https://www.energy.gov/sites/prod/files/2020/05/f75/CPS%2035426%202%201%200%2024_AMR_2020_Presentation_FINAL.pptx
The Radical Atom: Mechanosynthetic 3D Printing of an Atomically Precise SPM Tip,"This presentation provides a summary of the The Radical Atom: Mechanosynthetic 3D Printing of an Atomically Sharp SPM Tip project led by the University of California, Los Angeles.",UCLA,ADVANCED MATERIALS MANUFACTURING,Kelcey Garza,https://www.energy.gov/sites/prod/files/2020/05/f75/DE-EE0008317_AKSteel_AMO%20Peer%20Review_20200511.pptx
A Platform Technology for High-throughput Atomically Precise Manufacturing: Mechatronics at the Atomic Scale,This presentation provides a summary of a Platform Technology for High-throughput Atomically Precise Manufacturing projet led by the University of Texas at Dallas. ,UT Dallas,ADVANCED MATERIALS MANUFACTURING,Antoine Allanore,https://www.energy.gov/sites/prod/files/2020/05/f75/DOE%20yearly%20peer%20review%20BP2%20Allanore.pptx
DNA Strand Displacement driven Molecular Additive Manufacturing (DSD-MAM),This presentation provides a summary of the DNA Strand Displacement driven Molecular Additive Manufacturing (DSD-MAM) project at the Dana-Farber Cancer Institute.,Dana-Farber Cancer Institute,ADVANCED MATERIALS MANUFACTURING,Thomas Watkins,https://www.energy.gov/sites/prod/files/2020/05/f75/ORNL%20Watkins%20AMO%20Program%20Review%202020_0.pptx
Atomically Precise Manufacturing for 2D-Designed Materials,"This presentation provides a summary of the Atomically Precise Manufacturing for 2D-Designed Materials project led by NIST, 3D ET and Zyvex Labs.",Zyvex Lab,ADVANCED MATERIALS MANUFACTURING,Lourdes Salamanca-Riba,https://www.energy.gov/sites/prod/files/2020/05/f75/Program%20Review%20RD%20Presentation%20University%20of%20Maryland%20tk.pptx
Fabrication of Advanced Nanocarbon-Metal Composites for Improved Energy Efficiency,This presentation provides a summary of project about the fabrication of advanced nanocarbon-metal composites for improved energy efficiency led by the University of Maryland.,"University of MD
GDC Industires 
Army Research Lab",ADVANCED MATERIALS MANUFACTURING,Christian Schafmeister,https://www.energy.gov/sites/prod/files/2020/05/f75/Schafmeister-DoberienerProgram%20Review%20RD%20Presentation%20Template%204-6%208321%2Btk.pptx
"High Performance Electrical and Thermal Conductors (""Covetics"")","This presentation provides a summary of high performance electrical and thermal conductors (""Covetics"") project led by Argonne National Laboratory.",ANL,ADVANCED MATERIALS MANUFACTURING,James Gimzewski,https://www.energy.gov/sites/prod/files/2020/05/f75/UCLA_DOE_AMO%20Review_2020.pptx
A Direct Process for Wire Production from Sulfide Concentrates,This presentation provides a summary of a project about a direct process for wire production from sulfide concentrates led by MIT.,MIT,ADVANCED MATERIALS MANUFACTURING,Reza Moheimani,https://www.energy.gov/sites/prod/files/2020/05/f75/UTD_2020_Review%208322%20%2Btk.pptx
Carbon-Free Iron for a Sustainable Future,,Boston Electrometallurgical Corp.,ADVANCED MATERIALS MANUFACTURING,James Owen (PI); John Randall (Bus),https://www.energy.gov/sites/prod/files/2020/05/f75/ZYVEX%202020%20Peer%20Review%208311%2Btk.pptx
Lifetime Energy Savings Via Advanced Manufacturing of Low Density Steels for Transportation Applications,This presentation provides a summary of a lifetime energy savings project via Advanced Manufacturing of Low Density Steels for Transportation Applications leb by the AK Steel Corporation.,"AK Steel Corporation
ORNL",COMBINED HEAT AND POWER,"Bruce Pint, ORNL",https://www.energy.gov/sites/prod/files/2020/05/f75/20%20ORNL%20Pint%20AMO%20CHP%20Peer%20FINAL.pptx
Flash Processed Carbon Steels for Automotive Application,"This presentation provides a summary of the Flash Processed Steels for Automotive Application project led by SFP Works, LLC.",Flash SteelWorks Inc,COMBINED HEAT AND POWER,Ibrahima Ndiaye,https://www.energy.gov/sites/prod/files/2020/05/f75/2020%20AMO%20Peer%20Review%20-%20GE%20Research%20-%20DOE%20converter-interface%20CHP%20FINAL.pptx
