title,status,url,latitude,longitude,solicitation,subprogram,name,project_lead,funding_awarded,state,start_date,brief_description,principal_investigator,other_partners,topic_area,end_date,project_identifier,solicitation_url
"A Digitalization, Automation, and Optimization Platform for Improved Resiliency and Consistency of Distributed Anaerobic Digestion for Wastewater Resource Recovery",Active,,41.80704,-72.25167,Advanced Water Resource Recovery Systems,Cross-Sector Technologies RD&D,"A Digitalization, Automation, and Optimization Platform for Improved Resiliency and Consistency of Distributed Anaerobic Digestion for Wastewater Resource Recovery",University of Connecticut,2000000,CT,10/1/2021,"Dr. McCutcheon has teamed with Dr. Baikun Li, from the Department of Civil and Environmental Engineering, who has led the development of millimeter-sized electrode array sensors for real-time in situ high-resolution profiling of multiple parameters in anaerobic digestion (AD) systems.  The researchers are particularly interested in AD systems that co-digest with food wastes. ",,Quantum Biopower and Northeast Residuals,Advanced Water Resource Recovery Systems ,9/30/2024,,
A New Supply Chain for Sustainable Acetone,Awarded,,42.03514,-87.76231,FY 2021 Multi-Topic FOA,Energy- and Emission-Intensive Industries RD&D,A New Supply Chain for Sustainable Acetone,LanzaTech Inc.,2500000,IL,10/1/2022,LanzaTech Inc. will collaborate with Washington Mills Hennepin Inc. and AIChE RAPID Manufacturing Institute to produce acetone through a gas fermentation process using off-gas from ferro-silicon manufacturing operations. This could utilize waste carbon emissions from industrial processing to generate a value-add product (acetone). ,Jason Bromley,,Sustainable Chemistry Practices in Manufacturing ,9/30/2025,,https://www.energy.gov/eere/amo/doe-awards-579-million-reduce-industrial-emissions-and-manufacture-clean-energy
A Water Vapor Membrane Separation System for Process Drying and Latent Energy Recovery,Active,,46.36855,-119.3334,FY 2019 Multi-Topic FOA,Energy- and Emission-Intensive Industries RD&D,A Water Vapor Membrane Separation System for Process Drying and Latent Energy Recovery,Molecule Works Inc.                                    ,3818114,WA,9/1/2020,"Water molecules can be efficiently filtered out of hot humid gas streams by use of a selective membrane. A recently developed water-molecular sieving membrane sheet shows exceptionally high throughput compared to other products. This project aims to address key risks for the commercial application of this novel membrane by improving membrane manufacturing processes, conducting long-term membrane durability testing under actual application conditions, and confirming a strong value proposition of the drying system equipment employing the membrane sheet. During the project, a prototype system will be manufactured and the system will demonstrated in a large potential market application – the dehydration of ethanol.",Wei Liu,"POET, LLC; Vconverter Corp; PNNL (2.1.0.418)",Industrial Drying Processes,2/28/2024,,https://eere-exchange.energy.gov/Default.aspx?foaId=eaf73ef3-8146-47bd-9f99-a5d7af08a6b6
Accelerated Decarbonization of Cement via Integrated CO2 Capture and Mineralization to Produce High Strength Construction Materials (ACCEL-CCM),Awarded,,42.432165,-76.497042,AMO Industrial Efficiency and Decarbonization FOA,Energy- and Emissions-Intensive Industries,Accelerated Decarbonization of Cement via Integrated CO2 Capture and Mineralization to Produce High Strength Construction Materials (ACCEL-CCM),Cornell University,"$4,000,000 ",NY,10/1/2023,"Cornell University will examine carbon utilization pathways for integrating captured CO2 into cement production. The project will evaluate alternative CO2 solvents to maximize the performance of the CO2 capture process and their reaction with solid alkaline residues, such as electric arc furnace waste slag that are used in the regeneration of the lean solvent. This technology aims to reduce the carbon intensity of cement production by at least 60% and limit landfill disposal of waste slag. With this project, the material and energy efficiency of these carbon utilization pathways will be evaluated.",Greeshma Gadikota,"Oak Ridge National Laboratory; Votorantim Cimentos; Argos USA; Nucor, Inc.",Topic 4: Decarbonizing Cement and Concrete,9/30/2026,,https://www.energy.gov/eere/iedo/funding-selections-industrial-efficiency-and-decarbonization-foa-0
Accelerated Discovery of Compositionally Complex Alloys for Direct Thermal Energy Conversion,Active,,37.45903,-122.18605,FY 2019 Lab Call,Cross-Sector Technologies RD&D,Accelerated Discovery of Compositionally Complex Alloys for Direct Thermal Energy Conversion,SLAC,6300000,CA,7/1/2019,"Rational, data-driven materials discovery would be an immense boon for research and development, making these efforts far faster and cheaper. In such a paradigm, computer models trained to find patterns in massive chemical datasets would rapidly scan compositions and systematically identify attractive candidates for technological applications, such as the materials of this proposal, namely high entropy alloys, thermoelectrics, etc. Such predictive models would thus replace Edisonian trial-and-error in the laboratory by focusing further experimental studies on only the most promising materials. Computational materials discovery, specifically that based on first-principles density functional theory (DFT) techniques can be thought of consisting of (at least) four separate tasks: A) Data construction of properties for many known materials/structures B) Additional of information for unknown structures C) Data mining or machine learning on dataset to extract patterns in data D) Discovery of new compounds and materials This proposal involves all four aspects of this sequence, especially A, C, and D.",,Citrine Informatics; Argonne National Laboratory; Northwestern University; University of Maryland,Direct Thermal Energy Conversion,9/31/23,,
Additive HX for High Temperature Thermal Storage,Awarded,,42.648044,-71.161751,SBIR / STTR Phase I 2023,Cross-Sector Technologies,Additive HX for High Temperature Thermal Storage,"Physical Sciences, Inc.","$199,985 ",MA,7/10/2023,"This project will develop a heat exchanger technology for high temperature thermal energy storage (HTTS) that leverages additive manufacturing for fabrication of a customized device designed to simplify system integration while improving heat recovery and reuse cost effectiveness. By simplifying system integration, this project hopes to accelerate the adoption of flexible and high temperature technologies that can displace the need for fossil fuel-based process heat. ","Mednick, Alex",,Process Heating,1/6/2024,,https://www.energy.gov/eere/iedo/articles/funding-selections-industrial-efficiency-and-decarbonization-small-business
Additive Manufactured Super-Critical CO2 Heat to Power Solution,Active,,43.06192,-89.39748,FY 2019 Multi-Topic FOA,Cross-Sector Technologies RD&D,Additive Manufactured Super-Critical CO2 Heat to Power Solution,University of Wisconsin - Madison,3080272,WI,6/1/2020,"This program proposes to develop design schemes for higher efficiencies in heat to power conversion. Higher efficiencies translate to less energy wastes and therefore green energy rewards. The effort will focus on the design, development, and fabrication of two major system sub-components: a turbine wheel and the electrical generator and associated power electronics to be used in a supercritical CO2 (sCO2) heat to power solution system.",Dan Thoma,UTRC,combined Heat and Power & District Energy,12/30/2023,,https://eere-exchange.energy.gov/Default.aspx?foaId=eaf73ef3-8146-47bd-9f99-a5d7af08a6b6
Advanced Catalysts for Low Temperature Heavy Crude Oil Upgrading,Closed,https://www.energy.gov/sites/prod/files/2019/07/f65/049-Projects19%20-%20Advanced%20Catalysts%20for%20Low%20Temperature%20Heavy%20Crude%20Upgrading_SRNL.pdf,33.24836,-81.61317,FY 2018 Lab Call,Energy- and Emission-Intensive Industries RD&D,Advanced Catalysts for Low Temperature Heavy Crude Oil Upgrading,Savannah River National Lab,4350000,SC,10/1/2018,This project will leverages the experise at DOE national labs to explore ways to reduce the cost of transporting heavy crude by reducing its viscocity at the production well.,,Mainland Solutions; Bechtel Corp.; and U of South Carolina,CHEMICAL MANUFACTURING AND DYNAMIC CATALYST SCIENCE,2/28/2022,,
Advanced Design and Manufacturing of CO2 Electrolyzers for Flexible and Efficient Ethylene Production,Active,,37.50978,-121.63887,FY 2020 Multi-Topic FOA,Energy- and Emission-Intensive Industries RD&D,Advanced Design and Manufacturing of CO2 Electrolyzers for Flexible and Efficient Ethylene Production,"LLNL                    
",3000000,CA,4/1/2022,"Ethylene production is energy intensive, requires high capital costs, and poorly integrates with renewable electricity and non-fossil carbon sources. This project will develop industrial scale, flexible, and high efficiency electrolyzers for producing C2H4 from CO2 that are modular by design and can operate using renewable energy at moderate operating conditions. Our project will address the existing low technical maturity of CO2 electrolyzer reactors (lab bench scale ~1 cm2 area) via engineering design principles that can achieve high current densities, Faradaic efficiencies, and energy efficiencies at increasing reactor scales. Further, the proposed electrolyzers will have the ability to utilize variable reactant streams and maintain operational robustness inherent to commercial implementation.",,"Siemens Energy USA, Total American Services",Thermal Catalysts and Reactor Design ,3/31/2025,,https://www.energy.gov/eere/articles/energy-department-announces-approximately-1236-million-funding-46-projects-bolster
Advanced District Energy Controls for Improved Efficiency and Resilience,Active,https://www.energy.gov/eere/amo/advanced-district-energy-controls-improved-efficiency-and-resilience,41.31534,-81.44042,FY 2019 Multi-Topic FOA,Cross-Sector Technologies RD&D,Advanced District Energy Controls for Improved Efficiency and Resilience,Paragon Robotics LLC,1004090,OH,9/1/2020,"The goal of this project Is to demonstrate the benefits of an advanced DE control architecture and algorithm set.  The proposed control technology and algorithm development should be applicable to a majority of current DE systems, providing >20% system efficiency improvements, low temperature conversions, and CHP & renewable integration with improved ROI.",Julian Lamb,N/A,combined Heat and Power & District Energy,6/30/2024,,https://eere-exchange.energy.gov/Default.aspx?foaId=eaf73ef3-8146-47bd-9f99-a5d7af08a6b6
