title,status,url,latitude,longitude,solicitation,subprogram,name,project_lead,funding_awarded,state,start_date,brief_description,principal_investigator,other_partners,topic_area,end_date,project_identifier,solicitation_url
Flexible Industrial Heat Pump for Simultaneous Refrigeration and Steam Production,Active,,40.59450765,-105.0759408,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2023 ,Cross-Sector Technologies,Flexible Industrial Heat Pump for Simultaneous Refrigeration and Steam Production,"AtmosZero, Inc.",3197493, CO,10/1/2024,"AtmosZero and partners aim to develop a high-efficiency heat pump system capable of producing steam at temperatures up to 200°C while simultaneously providing cooling or refrigeration for industrial processes at less than 0°C. The proposed heat pump will achieve >55% Carnot efficiency using a multi-stage cycle configuration, centrifugal compression with liquid injection, and internal heat recouperation. The high temperature heat pump will replace conventional fossil fuel-heated boilers and enable decarbonized steam production under any situation without the need for waste heat utilization. The technology will be demonstrated in an industrial partner facility with significant year-around heating and cooling loads and aggressive carbon reduction goals.",,,,,,
Inductively Heated Metamaterial Reactors for Intensified Thermochemical Processing,Active,,37.42785586,-122.1700386,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2024,Cross-Sector Technologies,Inductively Heated Metamaterial Reactors for Intensified Thermochemical Processing,Stanford University,3000000, CA,10/1/2024,"Stanford University and partners aim to develop a new class of inductively heated chemical reactors for CO2 conversion via the reverse water-gas shift (RWGS) reaction.  The electrified reactor will use internal volumetric structures with detailed geometries, known as metamaterials, which can directly absorb electromagnetic radiation to greatly improve heat transfer and reaction performance. These metamaterials will be optimized to provide tailored heating profiles within the reactor to maximize chemical reaction conversion while minimizing external heat loss, creating a more efficient chemical process. Optimization of reaction conditions could contribute toward an order of magnitude reduction in reactor size, thereby reducing associated capital costs and helping to accelerate the prototyping and scaling of these reactor systems.",,,,,,
CO₂ High Temperature Heat Pump,Active,,41.07708872,-81.52419199,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2025,Cross-Sector Technologies,CO₂ High Temperature Heat Pump,Echogen Power Systems,3000000, OH,10/1/2024,"Echogen Power Systems and partners aim to develop a pilot‐scale heat pump capable of heating air to over 300°C using an ambient temperature heat source. The system will use a supercritical CO2 cycle driven by a low specific speed centrifugal compressor and a novel high temperature CO2-to-air heat exchanger. The supercritical CO2 cycle enables a high coefficient of performance and high process temperatures without the need for waste heat recovery, while the fluid’s high density and heat capacity enables reduction in heat exchanger size. The technology could reduce life cycle carbon emissions by more than 90% and energy intensity by more than 50% relative to natural gas fired heaters.",,,,,,
Advanced Electric Melting to Decarbonize Commercial Glass,Active,,40.14195488,-82.9460368,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2026,Cross-Sector Technologies,Advanced Electric Melting to Decarbonize Commercial Glass,Glass Manufacturing Industry Council,2999899, OH,10/1/2024,"The Glass Manufacturing Industry Council (GMIC) and partners aim to design a proof-of-concept cold-top electric glass furnace to enable widespread adoption of electrified glass making. Cold top furnaces have a layer of cold, un-melted glass that covers the melt surface, which insulates the molten glass. However, cold top furnaces have not seen widespread adoption due to several technical challenges. The project will overcome these challenges by improving the heat transfer of dark-colored glass, increasing the throughput of clear glass, and extending furnace lifetime. Because of the reduced heat loss, electric furnaces are more energy efficient than fuel-fired furnaces, which lose a large portion of their heat to flue gas. The electrified design can also reduce energy-related emissions when powered by decarbonized electricity. Advancements in electric glass furnaces have the potential to overcome long-standing market barriers to the adoption of electric furnaces and could lead to 85% CO reduction in glass melting. ",,,,,,
Decarbonizing Solvent Chemistry Through Microwave Processing ,Active,,39.68289396,-79.9732728,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2027,Cross-Sector Technologies,Decarbonizing Solvent Chemistry Through Microwave Processing ,National Energy Technology Laboratory,1150000, WV,10/1/2024,"The National Energy Technology Laboratory (NETL) and partners aim to decarbonize conventional industrial depolymerization processes that break down recycled polymers into building block chemicals. The technology will use a microwave-based approach for low-temperature aqueous-based hydrolysis of polyurethane. NETL will identify lower energy routes for the hydrolysis of polymers into useful chemical building blocks that can be used to re-manufacture of new polymer products. The technology will electrify the depolymerization process and offset the use of virgin fossil feedstocks with recycled chemicals. The technology will demonstrate a fast, efficient, and fully electrified alternative to conventional solvent-based thermal processing, capable of reducing the carbon intensity of polymer hydrolysis by 90%. ",,,,,,
Cost-Effective Integration of PCM Thermal Energy Storage and Wet Compression for High-Efficiency Industrial Heat Pumps,Active,,39.1357963,-84.51535007,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2028,Cross-Sector Technologies,Cost-Effective Integration of PCM Thermal Energy Storage and Wet Compression for High-Efficiency Industrial Heat Pumps,University of Cincinnati,1439408, OH,10/1/2024,"The University of Cincinnati and partners aim to develop a highly efficient industrial heat pump prototype using phase change material thermal energy storage, intermediate intercooling, and wet compression technology. The integration of phase change materials (PCM) enables efficient heat storage and recovery, while wet compression technology reduces the need for de-superheating of steam after compression. The technology offers enhanced energy efficiency, high heat sink temperature, and the use of a low global warming potential refrigerant. It also enables waste heat utilization and thermal energy demand response. Overall, the technology has the potential to reduce energy consumption, minimize environmental impact, and provide cost-effective and sustainable heating solutions for various industrial processes.",,,,,,
Intensified Dynamic Non-Equilibrium Reactions by Pulsed Microwave Heating for Efficient Chemical Processing,Active,,39.65730773,-79.95522632,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2029,Cross-Sector Technologies,Intensified Dynamic Non-Equilibrium Reactions by Pulsed Microwave Heating for Efficient Chemical Processing,West Virginia University Research Corporation,3000000, WV,10/1/2024,"West Virginia University Research Corporation and partners aim to develop a novel, electrified chemical reactor for simultaneous production of ammonia and ethylene. The novel reactor is enabled by a programmable pulsed microwave energy deposition technique and real-time optimization. The reactor will also use a specially developed monolithic catalyst development and embedded sensing capabilities. The technology integrates ethylene production and ammonia synthesis in a single reactor operating at a reduced temperature while also preventing undesirable coking reactions. The process could provide a decarbonized and low-heat pathway for both ethylene and ammonia production, two chemicals that are responsible for large amounts of greenhouse gas (GHG) emissions.",,,,,,
Novel Inductively Heated Reactor for High Temperature Endothermic Reactions and other Industrial Applications,Active,,42.020668,-87.92134699,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2030,Cross-Sector Technologies,Novel Inductively Heated Reactor for High Temperature Endothermic Reactions and other Industrial Applications,GTI Energy,3000000, IL,10/1/2024,"GTI Energy and partners will demonstrate an inductively heated chemical reactor for high temperature, endothermic industrial hydrogen, and syngas production. GTI will design, model, and optimize this commercial-scale reactor for the electrified conversion of waste CO2 via the reverse water-gas shift reaction. The reactor will demonstrate scalable, inductive heating in a catalytic environment and will be operated at line frequency to power the inductive heating unit. The electrified reforming reactor would enable more efficient heating, reduce the reactor’s physical footprint by eliminating gas-burning furnaces, eliminate point emissions, and increase yields by eliminating the parasitic consumption of the feed gas for providing heat. The technology is expected to demonstrate a significant cost reduction, an 85% greenhouse gas emission reduction, and a considerable size reduction compared to current fired reactors. ",,,,,,
Decarbonizing Industrial Aluminum Processing Through Additive Manufactured Electrical Furnaces,Active,,38.21719401,-85.76127653,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2031,Cross-Sector Technologies,Decarbonizing Industrial Aluminum Processing Through Additive Manufactured Electrical Furnaces,University of Louisville,1570106, KY,10/1/2024,"The University of Louisville and partners aim to develop an electrical furnace for aluminum manufacturing based on refractory high entropy alloys (RHEAs) fabricated with additive manufacturing (AM). The furnace will use immersion heating elements that can sustain operation at high processing temperatures (900-1100°C), increasing both the efficiency and throughput for aluminum processing. The immersion heating elements will be fabricated from one of several candidate RHEAs and specially designed for laser powder bed fusion (LPBF) AM. Integration of RHEA materials will enable higher furnace temperatures and faster processing cycles, while the use of laser powder bed fusion (LPBF) AM will enable increased heating element surface area and improve heat transfer. The development of durable immersion heating elements will enable electrification in aluminum manufacturing and other material processing applications.  ",,,,,,
Enabling Low-Heat Industrial Decarbonization through Optimizing Electromagnetic Material-Wave Interactions,Active,,33.53551185,-82.11354091,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2032,Cross-Sector Technologies,Enabling Low-Heat Industrial Decarbonization through Optimizing Electromagnetic Material-Wave Interactions,Autumn Energy Corp.,3000000, GA,10/1/2024,"Autumn Energy Corporation and its partners aim to develop a low-heat, electromagnetic thermo-catalysis technology for ethylene production from biogenic feedstocks. Microwave and radio frequency heating technologies would provide localized heating, resulting in a tunable platform technology that could enable enhanced chemical conversion. The use of volumetric heating coupled with optimization of the heat input to the ethylene conversion reaction can improve energy efficiency, reaction selectivity, and conversion efficiency. The electrified thermo-catalytic process would enable decarbonized bioethylene production from bioethanol with reduced energy and costs to enable commercialization. Other benefits include increased throughput, reduced footprint, increased modularity, and lower operating temperatures.",,,,,,
