cid,foa,company,shortname,feedstock,detailed_feedstock,conversion_technology,primary_product,biofuel_capacity,latitude,longitude,scale,city,project_start,project_end,status,state,state_code,factsheet,doegrant,osti_final
DPA000001,FY13 - Defense Production Act,Fulcrum,Fulcrum,Municipal Solid Waste,Forest Residues; Corn Stover; Bagasse; Switchgrass; Algae,Thermochemical,Renewable Hydrocarbons,"10,000,000",36.08601,-115.154,Pioneer,McCarran,,Active,Active,Nevada,NV,,,
DPA000002,FY13 - Defense Production Act,Red Rock Biofuels,Red Rock,Woody Biomass,Wastewater Solids,Thermochemical,Renewable Hydrocarbons,"12,000,000",42.18076,-120.37,Pioneer,Lakeview,,Active,Active,Oregon,OR,,,
EE0007969,FY16 - PD2B3,Aloviam,WRF,Wastewater Solids,Agricultural Residue; Woody Biomass; MSW,Thermochemical,Renewable Natural Gas; Biocrude,"103,175",29.46841,-98.5289,Pilot,San Antonio,,Active,Active,Texas,CA,,12.2,
EE0007964,FY16 - PD2B3,"ThermoChem Recovery International, Inc.",TRI,Agricultural Residue; Woody Biomass; Municipal Solid Waste,Industrial Off Gas,Thermochemical,Diesel,"2,682,750",35.99924,-78.8979,Pilot,Durham,,Active,Active,North Carolina,NC,,7.3,
EE0007966,FY16 - PD2B3,"LanzaTech, Inc.",Lanzatech,Industrial Off Gas,Landfill Gas,Biochemical,Sustainable Aviation Fuel,"3,000,000",42.0281129,-87.751095,Demonstration,Soperton,,Active,Active,Illinois,IL,,20,
EE0008916,FY19 - BETO wide FOA,"T2C Energy, LLC",T2C,Landfill Gas,Corn Stover,Catalytic Upgrading,Diesel,"171,550",27.89181,-82.7248,Pilot,Pinellas Park,,Active,Active,Florida,FL,,2.3,
EE0009760,FY21  - Scale-up and Conversion FOA ,"D3MAX, LLC",D3MAX,Corn Stover,Landfill Gas,Biochemical,Sustainable Aviation Fuel,"60,000",47.86664,-97.1411,Pilot,Grand Forks,10/1/2021,Active,Active,North Dakota,ND,,0.5,
EE0009761,FY21  - Scale-up and Conversion FOA ,T2C-Energy,T2C,Landfill Gas,Landfill Gas,Catalytic Upgrading,Diesel,"1,000,000",27.89181,-82.7248,Demonstration,Pinellas Park,10/1/2021,Active,Active,Florida,FL,,0.5,
EE0009762,FY21  - Scale-up and Conversion FOA ,"SkyNRG Americas, Inc",SkyNRG ,Landfill Gas,Miscanthus,Biochemical,Sustainable Aviation Fuel,"5,000,000",44.08204,-121.227,Demonstration,Bend,10/1/2021,Active,Active,Oregon,OR,,1,
EE0009753,FY21  - Scale-up and Conversion FOA ,Alder Energy,Alder Energy,Energy Crops,Waste CO2,Thermochemical,Sustainable Aviation Fuel,"15,330",32.78033,-79.9408,Pre-pilot,Charleston,10/1/2021,Active,Active,South Carolina,SC,,4,
EE0009759,FY21  - Scale-up and Conversion FOA ,"LanzaTech, Inc.",Lanzatech,Waste CO2,Corn Cobs,Biochemical, Sustainable Aviation Fuel; Diesel,"12,775",32.38315,-82.5571,Pre-pilot,Soperton,10/1/2021,Active,Active,Georgia,GA,,4,
GO18121,FY07 - Section 932 FOA,POET,POET,Agricultural Residues,Stover; Switchgrass; Woody Biomass,Biochemical,Ethanol,"20,000,000",43.11835,-94.6908,Pioneer,Emmetsburg,,,Inactive,Iowa,IA,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_commercial_poet.pdf,100,
GO17028,FY07 - Section 932 FOA,Abengoa,Abengoa,Agricultural Residues; Algae; Woody Biomass; Energy Crops; Municipal Solid Waste;Vegetative Waste; Yard Waste,Woody Biomass; Mill Residue; MSW,Biochemical,Ethanol,"25,000,000",37.24316,-101.282,Pioneer,Hugoton,10/1/2007,12/31/2016,Inactive,Kansas,KS,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_commercial_abengoa.pdf,100,https://www.osti.gov/biblio/1364372
EE0003022,FY07 - Section 932 FOA,BlueFire ,BlueFire ,Woody Biomass,Woody Biomass,Biochemical,Ethanol,"9,000,000",34.27649,-88.355,Commercial,Fulton,12/28/2009,12/31/2014,Inactive,Mississippi,MS,,8.1,https://www.osti.gov/biblio/1052139
GO17027,FY07 - Section 932 FOA,RangeFuels ,RangeFuels (GA),Woody Biomass,Forest Resources,Biochemical,Mixed alcohol,"20,000,000",32.38315,-82.5571,Commercial,Soperton,10/1/2007,8/31/2011,Inactive,Georgia,GA,,44,https://www.osti.gov/biblio/1034095-range-fuels-inc-range-fuels-soperton-plant-llc-final-technical-report
EE0003364,FY08 - 10% Demonstration Scale FOA,RSA,RSA,Woody Biomass,Wood; Forest Residues,Biochemical,Ethanol,"13,000,000",45.04066,-68.723,Demonstration,Old Town,6/1/2009,5/31/4014,Inactive,Maine,ME,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_demonstration_rsa.pdf,25,N/A
GO18118,FY08 - 10% Demonstration Scale FOA,"Flambeau River Biofuels, LLC",Flambeau,Woody Biomass,Woody Biomass,Thermochemical,Renewable Hydrocarbons,"9,000,000",45.93333,-90.45,Demonstration,Park Falls,9/30/2008,7/19/2021,Inactive,Wisconsin,WI,http://energy.gov/eere/bioenergy/downloads/flambeauriverbiofuelspdf,10,N/A
GO18047,FY08 - 10% Demonstration Scale FOA,Lignol,Lignol,Woody Biomass,Mill Residue; Woody Biomass,Biochemical,Ethanol,"2,500,000",39.86984,-104.772,Demonstration,Commerce City,9/30/2008,12/1/2011,Inactive,Colorado,CO,,3.5,N/A
GO18049,FY08 - 10% Demonstration Scale FOA,NewPage,NewPage,Woody Biomass,Wheat Straw; Corns Stover; Poplar Residues,Thermochemical,Renewable Hydrocarbons,"5,500,000",44.34084,-89.7349,Demonstration,Wisconsin Rapids,9/30/2008,2/1/2013,Inactive,Wisconsin,WI,https://www1.eere.energy.gov/bioenergy/pdfs/ibr_demonstration_newpage.pdf,2.7,N/A
GO18048,FY08 - 10% Demonstration Scale FOA,Pacific Biogasol,Pacific Biogasol,Agricultural Residues,Forest Resources (Aspen),Biochemical,Ethanol,"2,700,000",45.83986,-119.701,Demonstration,Boardman,9/30/2008,9/30/2011,Inactive,Oregon,OR,,0.4,N/A
GO18103,FY08 - 10% Demonstration Scale FOA,Mascoma,Mascoma,Woody Biomass,Sugarcane Bagasse; Energy Cane; Sorghum,Biochemical,Ethanol,"20,000,000",46.27502,-84.5148,Pioneer,Kinross,9/30/2008,7/31/2014,Inactive,Michigan,MI,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_demonstration_mascoma.pdf,100,N/A
GO18119,FY08 - 10% Demonstration Scale FOA,Verenium,Verenium,Agricultural Residues; Energy Crops,Algae,Biochemical,Ethanol,"1,400,000",30.2591,-92.6941,Inactive,Jennings,9/30/2008,12/31/2010,Inactive,Louisiana,LA,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_demonstration_verenium.pdf,14.9,https://www.osti.gov/biblio/986586-jennings-demonstration-plant
EE0002867,FY09 - American Recovery and Reinvestment Act (ARRA),Algenol Biofuels Inc.,Algenol,Algae,Hardwood Dervied Hydrolyzate,Algae,Ethanol,"100,000",26.62107,-81.8781,Pilot,Fort Meyers,1/29/2010,6/30/2015,Inactive,Florida,FL,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_arra_algenol.pdf,25,https://www.osti.gov/biblio/1360777-recovery-act-integrated-pilot-scale-biorefinery-producing-ethanol-from-hybrid-algae
EE0002868,FY09 - American Recovery and Reinvestment Act (ARRA),American Process Inc.,API,Woody Biomass,Sweet Sorghum,Biochemical,Ethanol,"894,000",45.03314,-83.4951,Pilot,Alpena,1/31/2010,9/30/2014,Inactive,Michigan,MI,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_arra_api.pdf,17.9,https://www.osti.gov/biblio/1336448-recovery-act-alpena-biorefinery-alpena-biorefinery-lignin-separation-final-technical-report
EE0002869,FY09 - American Recovery and Reinvestment Act (ARRA),Amyris Biotechnologies Inc.,Amyris,Energy Crops,Corn Stover,Biochemical,Renewable Hydrocarbons,"1,370",37.83388,-122.295,Inactive,Emeryville,12/28/2009,6/30/2013,Inactive,California,CA,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_arra_amyris.pdf,25,https://www.osti.gov/biblio/1122942-amyris-inc-integrated-biorefinery-project-summary-final-report-public-version
