cid,foa,company,shortname,feedstock,detailed_feedstock,conversion_technology,primary_product,biofuel_capacity,latitude,longitude,scale,city,project_start,project_end,status,state,state_code,factsheet,doegrant,osti_final,description,costshare,total_project_cost
EE0003022,FY07 - Section 932 FOA,BlueFire ,BlueFire ,Woody Biomass,Woody Biomass,Biochemical,Ethanol,"9,000,000",34.27649,-88.355,TRL 8: Commercial Scale,Fulton,12/28/2009,12/31/2014,Inactive,Mississippi,MS,,8.1,https://www.osti.gov/biblio/1052139,"The purpose of this Cooperative Agreement is to prepare data and designs and obtain the necessary permits and other information needed to support a decision regarding whether to proceed, in a subsequent agreement, to jointly finance construction, commissioning and start-up of a commercial integrated bio-refinery to be located near El Sobrante, California. The proposed bio-refinery would convert 700 metric dry tonnes per day biomass to ethanol.",8.11,16.2
GO17027,FY07 - Section 932 FOA,RangeFuels ,RangeFuels (GA),Woody Biomass,Forest Resources,Biochemical,Mixed Alcohols,"20,000,000",32.38315,-82.5571,TRL 8: Commercial Scale,Soperton,10/1/2007,8/31/2011,Inactive,Georgia,GA,,44,https://www.osti.gov/biblio/1034095-range-fuels-inc-range-fuels-soperton-plant-llc-final-technical-report,"The Range Fuels Soperton Plant project includes design, construction and operation of a commercial scale biorefinery for production of ethanol and other products from wood and woody waste. The Plant will use an innovative thermochemical process to produce syngas, followed by a catalytic synthesis process to produce fuel-grade ethanol for use as a liquid fuel.",44.01,88
GO17028,FY07 - Section 932 FOA,Abengoa,Abengoa,Agricultural Residue; Algae; Woody Biomass; Energy Crops; Municipal Solid Waste;Vegetative Waste; Yard Waste,Woody Biomass; Mill Residue; Municipal Solid Waste,Biochemical,Ethanol,"25,000,000",37.24316,-101.282,TRL 8: Commercial Scale,Hugoton,10/1/2007,12/31/2016,Inactive,Kansas,KS,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_commercial_abengoa.pdf,100,https://www.osti.gov/biblio/1364372,"In cooperation with the DOE Biomass Program, ABBK seeks to design, build, and operate a biorefinery to simultaneously produce ethanol, and several co-products using a variety of cellulosic feedstocks as inputs to the refinery.",97.45,197.5
GO18121,FY07 - Section 932 FOA,POET,POET,Agricultural Residue,Stover; Switchgrass; Woody Biomass,Biochemical,Ethanol,"20,000,000",43.11835,-94.6908,TRL 8: Commercial Scale,Emmetsburg,,,Inactive,Iowa,IA,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_commercial_poet.pdf,87.8,,"Project includes final design, construction, equipment, start-up, commissioning, and operational reporting of a plant capable of processing a minimum of 700 Dry Metric Tonnes per day of Lignocellulose to produce Ethanol Product that is integrated with Recipient’s existing corn-based ethanol plant located near Emmetsburg, Iowa.",405.24,493.1
EE0003364,FY08 - 10% Demonstration Scale FOA,RSA,RSA,Woody Biomass,Wood; Forest Residue,Biochemical,Ethanol,"13,000,000",45.04066,-68.723,TRL 7: Demonstration Scale,Old Town,6/1/2009,5/31/4014,Inactive,Maine,ME,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_demonstration_rsa.pdf,25,N/A,The ultimate goal of the project is a single organism capable of direct conversion of minimally pretreated biomass directly to ethanol.,5.67,30.7
GO18047,FY08 - 10% Demonstration Scale FOA,Lignol,Lignol,Woody Biomass,Mill Residue; Woody Biomass,Biochemical,Ethanol,"2,500,000",39.86984,-104.772,TRL 7: Demonstration Scale,Commerce City,9/30/2008,12/1/2011,Inactive,Colorado,CO,,3.5,N/A,"The proposed plant, which will use Lignol's proprietary integrated biorefinery process, will process 100 to 300 dry tonnes per day (tpd) of wood in the form of chips obtained from regional logging, forest management and wood processing operations. The plant will process a variety of other feedstocks from time to time so as to demonstrate the plant's capability to process these feedstocks. Products produced by the plant will be fuel grade ethanol, HP-LTM lignin, and furfural. ",3.53,7
GO18048,FY08 - 10% Demonstration Scale FOA,Pacific Biogasol,Pacific Biogasol,Agricultural Residue,Forest Resources (Aspen),Biochemical,Ethanol,"2,700,000",45.83986,-119.701,TRL 7: Demonstration Scale,Boardman,9/30/2008,9/30/2011,Inactive,Oregon,OR,,0.4,N/A,"The Range Fuels Soperton Plant project includes design, construction and operation of a commercial scale biorefinery for production of ethanol and other products from wood and woody waste. The Plant will use an innovative thermochemical process to produce syngas, followed by a catalytic synthesis process to produce fuel-grade ethanol for use as a liquid fuel.",0.42,0.8
GO18049,FY08 - 10% Demonstration Scale FOA,NewPage,NewPage,Woody Biomass,Wheat Straw; Corns Stover; Poplar Residue,Thermochemical,Renewable Hydrocarbons,"5,500,000",44.34084,-89.7349,TRL 7: Demonstration Scale,Wisconsin Rapids,9/30/2008,2/1/2013,Inactive,Wisconsin,WI,https://www1.eere.energy.gov/bioenergy/pdfs/ibr_demonstration_newpage.pdf,2.7,N/A,"The overall goal of Project Independence is to design, build, and operate a 15% scale thermal gasification and gas-to-liquids (GTL) plant at the NewPage Wisconsin System (hereafter NewPage) Wisconsin Rapids Mill to produce 370 barrels per day of clean, zero sulfur renewable biofuels from a variety of lignocellulosic feedstocks.",2.73,5.4
GO18103,FY08 - 10% Demonstration Scale FOA,Mascoma,Mascoma,Woody Biomass,Sugarcane Bagasse; Energy Cane; Sorghum,Biochemical,Ethanol,"20,000,000",46.27502,-84.5148,TRL 7: Demonstration Scale,Kinross,9/30/2008,7/31/2014,Inactive,Michigan,MI,http://www1.eere.energy.gov/bioenergy/pdfs/ibr_demonstration_mascoma.pdf,28.1,N/A,"The Project would initially produce up to 40 million gallons per year of denatured ethanol from approximately 1,300 dry metric tonnes per day of cellulosic materials consisting primarily of wood wastes. The proposed biorefinery would be located on approximately 355 acres of land with 50-acres of plant area near the Kinross Charter Township, Chippewa County, Michigan. The feedstock for the facility would consist of hardwood pulpwood within the Michigan counties located within a 150-mile radius area of the site.",4.22,32.3
GO18118,FY08 - 10% Demonstration Scale FOA,"Flambeau River Biofuels, LLC",Flambeau,Woody Biomass,Woody Biomass,Thermochemical,Renewable Hydrocarbons,"9,000,000",45.93333,-90.45,TRL 7: Demonstration Scale,Park Falls,9/30/2008,7/19/2021,Inactive,Wisconsin,WI,http://energy.gov/eere/bioenergy/downloads/flambeauriverbiofuelspdf,10,N/A,"Proposed to construct a demonstration biomass-to-liquids (BTL) biorefinery in Park Falls, WI. The biorefinery would be co-located at an existing pulp and paper mill to generate renewable energy and produce liquid fuels from abundant and renewable lignocellulosic biomass. ",10,20
