Institution,City,State,Title,FY,SBIR_Phase,Release,Start,End,unix_start,unix_end,Amount,Program,Latitude,Longitude
"Spero Energy, Inc.", West Lafayette,IN,Selective Catalysis for One-Step Lignocellulose Delignification and Lignin Valorization to High Value Methoxyphenols,FY 15,2,1,4/6/2015,4/5/2017,1428278400,1491350400,"$999,999 ",Feedstock Supply and Logistics,40.425869,-86.908066
"KSE, Inc", Sunderland,MA,Process Intensification for the Production of Furandicarboxylic Acid,FY 15,2b,2,8/14/2015,8/13/2017,1439510400,1502582400,"$1,000,000 ",Feedstock Supply and Logistics,42.466373,-72.579511
"TDA Research, Inc.", Wheat Ridge,CO,Novel Method for Conversion of Biomass to Fuel,FY 15,2b,2,8/15/2015,8/11/2017,1439596800,1502409600,"$1,000,000 ",Feedstock Supply and Logistics,39.766098,-105.077206
Industrial Microbes,Emeryville,CA,Engineering Methane and Carbon Dioxide Pathways to Turn Renewable Biogas into Higher-Value Chemicals,FY 16,1,1,2/22/2016,11/21/2016,1456099200,1479686400,"$150,000 ",Waste to Energy,37.831316,-122.285247
Sasya,Plymouth,MN,Carbon and energy capture from biogas for the production of biochemicals,FY 16,1,1,2/22/2016,10/21/2016,1456099200,1477008000,"$150,000 ",Waste to Energy,45.010519,-93.455509
"T2C Energy, LLC",Tampa,FL,Conversion of Landfill Gas to Drop-in Renewable Fuel,FY 16,1,1,2/22/2016,11/21/2016,1456099200,1479686400,"$149,998 ",Waste to Energy,27.950575,-82.457178
Visolis,Berkeley,CA,Production of C5 Hydrocarbons from Waste Biomass,FY 16,1,1,2/22/2016,11/22/2016,1456099200,1479772800,"$149,386 ",Waste to Energy,37.871101,-122.267726
"Zymochem, Inc.",Emeryville,CA,A carbon conserving biosynthetic pathway for the microbial production of fatty acids for glycerol-rich waste streams,FY 16,1,1,2/22/2016,11/21/2016,1456099200,1479686400,"$150,000 ",Waste to Energy,37.831316,-122.285247
Altex Technologies Corporation, Sunnyvale,CA,"Design and Fabrication of Solid Handling for Biomass Conversion Systems, ""Innovative Feeding System (IFS) for Biomass""",FY 16,1,2,6/13/2016,3/12/2017,1465776000,1489276800,"$149,982 ",Feedstock Supply and Logistics,37.36883,-122.03635
"Shockkwave, LLC", Des Moines,IA,Fractionation and Dehydration of Existing Feedstock for Biomass and Biopower Production,FY 16,1,2,6/13/2016,3/12/2017,1465776000,1489276800,"$146,942 ",Feedstock Supply and Logistics,41.600545,-93.609106
"CF Technologies, Inc.", Hyde Park,MA,"Coversion of Waste Water Treatment Plant Fats Oils and Greases ""Brown Grease"" Into Bio Diesel Using Supercitical Fluids and Robust Catalyst Processes",FY 16,1,2,6/13/2016,5/12/2017,1465776000,1494547200,"$146,059 ",Waste to Energy,42.256529,-71.124056
"Dynaflow, Inc.", Jessup,MD,Enhanced Subcritical Water Extraction of Biomass using Hydrodynamic Cavitation,FY 16,1,2,6/13/2016,3/12/2017,1465776000,1489276800,"$150,000 ",Waste to Energy,39.149275,-76.775249
Mainstream Engineering Corporation, Rockledge,FL,Hydrothermal Liquefaction of Food Waste and Remediation of Aqueous Byproducts,FY 16,1,2,6/13/2016,3/12/2017,1465776000,1489276800,"$149,955 ",Waste to Energy,28.31645,-80.726985
Microvi Biotech Inc., Hayward,CA,Engineered Consortium-Based Biogas Conversion Platforms,FY 16,1,2,6/13/2016,3/12/2017,1465776000,1489276800,"$150,000 ",Waste to Energy,37.668821,-122.080796
