Institution,City,State,Zip,Title,FY,SBIR Phase,Start,End,Amount,Program,Subtotal,FY Total
"Spero Energy, Inc.", West Lafayette, IN,47906,Selective Catalysis for One-Step Lignocellulose Delignification and Lignin Valorization to High Value Methoxyphenols,FY 15,2,4/6/2015,4/5/2017,"$999,999 ",FSL,,
"KSE, Inc", Sunderland, MA,01375-9420,"Process Intensification for the Production of Furandicarboxylic Acid
",FY 15,2b,8/14/2015,8/13/2017,"$1,000,000 ",FSL,,
"TDA Research, Inc.", Wheat Ridge, CO,80033-1916,Novel Method for Conversion of Biomass to Fuel,FY 15,2b,8/15/2015,8/11/2017,"$1,000,000 ",FSL,"$2,999,999 ","$2,999,999 "
"Manta Biofuel, LLC", Reisterstown, MD,21136,Development of a High Throughput Algal Dewatering System Using Magnetic Particles,FY 16,2,8/1/2016,7/31/2018,"$999,996 ",Algae,,
MicroBio Engineering, Berkeley, CA,94710,Algal Bioflocculation for Solid-Liquid Separation,FY 16,2,8/1/2016,7/31/2018,"$999,963 ",Algae,,
"Techverse, Inc.", Cary, NC,27519,"Advanced, Low-Cost, System for Algae Dewatering",FY 16,2,8/1/2016,7/31/2018,"$1,000,000 ",Algae,"$2,999,959 ",
"Faraday Technology, Inc.", Englewood, OH,45387-8983,Low-Cost Alloy Coatings by Pulsed Electrodeposition for Combustors,FY 16,2,8/1/2016,7/31/2018,"$999,997 ",Cookstoves,,
Altex Technologies Corporation,Sunnyvale, CA,94086-4087,"Design and Fabrication of Solid Handling for Biomass Conversion Systems, ""Innovative Feeding System (IFS) for Biomass""",FY 16,1,6/13/2016,3/12/2017,"$149,982 ",FSL,,
"Shockkwave, LLC", Des Moines, IA,50317-2144,Fractionation and Dehydration of Existing Feedstock for Biomass and Biopower Production,FY 16,1,6/13/2016,3/12/2017,"$146,942 ",FSL,,
"Zymochem, Inc.",Emeryville,CA,94608-1522,Carbon conserving microbial production of adipic acid from sugars and crude glycerol feedstocks,FY 16,2,4/11/2016,4/10/2018,"$1,010,000 ",FSL,,
"Forest Concepts, LLC", Auburn, WA,98001-2457,Low-Energy Rotary Shear for Sub-millimeter Particle Production,FY 16,2b,8/1/2016,7/31/2018,"$1,000,000 ",FSL,"$2,306,924 ",
Industrial Microbes,Emeryville,CA,94608-2901,Engineering Methane and Carbon Dioxide Pathways to Turn Renewable Biogas into Higher-Value Chemicals,FY 16,1,2/22/2016,11/21/2016,"$150,000 ",WTE,,
Sasya,Plymouth,MN,55446,Carbon and energy capture from biogas for the production of biochemicals,FY 16,1,2/22/2016,10/21/2016,"$150,000 ",WTE,,
"T2C Energy, LLC",Tampa,FL,34689,Conversion of Landfill Gas to Drop-in Renewable Fuel,FY 16,1,2/22/2016,11/21/2016,"$149,998 ",WTE,,
Visolis,Berkeley,CA,94704-1910,Production of C5 Hydrocarbons from Waste Biomass,FY 16,1,2/22/2016,11/22/2016,"$149,386 ",WTE,,
"Zymochem, Inc.",Emeryville,CA,94608-1522,A carbon conserving biosynthetic pathway for the microbial production of fatty acids for glycerol-rich waste streams,FY 16,1,2/22/2016,11/21/2016,"$150,000 ",WTE,,
"CF Technologies, Inc.", Hyde Park, MA,02136-2075,"Coversion of Waste Water Treatment Plant Fats Oils and Greases ""Brown Grease"" Into Bio Diesel Using Supercitical Fluids and Robust Catalyst Processes",FY 16,1,6/13/2016,5/12/2017,"$146,059 ",WTE,,
"Dynaflow, Inc.", Jessup, MD,20794-9381,Enhanced Subcritical Water Extraction of Biomass using Hydrodynamic Cavitation,FY 16,1,6/13/2016,3/12/2017,"$150,000 ",WTE,,
Mainstream Engineering Corporation, Rockledge, FL,32955-5327,Hydrothermal Liquefaction of Food Waste and Remediation of Aqueous Byproducts,FY 16,1,6/13/2016,3/12/2017,"$149,955 ",WTE,,
Microvi Biotech Inc., Hayward, CA,94545-3711,Engineered Consortium-Based Biogas Conversion Platforms,FY 16,1,6/13/2016,3/12/2017,"$150,000 ",WTE,,
MOgene Green Chemicals, Saint Louis, MO,63132-2900,An optimized biocatalyst for efficient conversion of CH4 and CO2 into bioproducts,FY 16,1,6/13/2016,3/12/2017,"$149,893 ",WTE,,
