Location,School/Institution,Degree/Certificate,Associated Lab/Research Center/Program,Tags,Link,Zip Code,City/State,Latitude,Longitude,Description,Course Type,Bioenergy Systems,Consortium
Alabama,Auburn University,Bachelors; Masters; Doctorate,Department of Biosystems Engineering,Engineering; Sciences,http://eng.auburn.edu/bsen/,36849,"Auburn, AL",32.60242,-85.487341,"The bioprocess engineering option focuses on the technologies used for converting biological materials to value-added products. Graduate study in the Department of Biosystems Engineering may
 lead to the Master of Science (M.S.) or Doctor of Philosophy (Ph.D.) At
 the graduate level, students can specialize in the following: Bioenergy
 and Bioproducts Engineering, Ecological Engineering, Metabolic and
 Biological Engineering, Off-Highway Vehicle Engineering, ",Classroom,Terrestrial,
Arizona,University of Arizona,Bachelors; Masters; Doctorate; Graduate Certificate,Insititute for Energy Solutions,Engineering; Architecture; Law; Management; Economics; Social and Behavioral Sciences; ,https://energy.arizona.edu/education/programs-study ,85721,"Tuscon, AZ",32.23083,-110.95036,The University of Arizona offers a wealth of opportunities in energy-related education. Many full programs from the undergraduate to doctoral level offer a focus on energy and the environment led by renowned researchers in the fields that create and contribute to the Institute for Energy Solutions. Below is a list of these programs with a link to the primary webpage that details each program and provides contact information.,Classroom,Terrestrial,
Arizona,Arizona State University-Polytechnic Campus,,The Arizona Center for Algae Technology and Innovation (AzCATI); Center for Bioenergy and Photosythesis (CB&P),Engineering; Sciences,http://www.azcati.com/,85212,"Mesa, AZ",33.342476,-111.635307,"Arizona State University scientists are developing cyanobacteria and algae as sources of environmentally friendly fuel that is efficiently produced by solar energy conversion. Unlike other biofuels, ASU's production processes can be carried out in closed systems on barren lands, saving farmland for food production, avoiding increases in food prices and saving water resources. The Center for Bioenergy and Photosynthesis pursues the development or use of biological and biologically based artificial systems to address societal energy needs, with an emphasis on solar energy conversion and bio-inspired energy transformation that can be sustained, cost-effictive and carbon-neutral, and conserve high-value land.",Classroom,Algae,
Arkansas,East Arkansas Community College,Certificate; Associates,Renewable Energy Technology,Sciences,https://www.eacc.edu/pages?id=123,72335,"Forrest City, AR ",35.026272,-90.859555,Certificate programs provide the student a concentration in a specific technical/occupational area. These programs are intended for students who plan to enter the workforce after the completion of the program or who are currently working and want to upgrade their skills,Classroom,Terrestrial,
Arkansas, University of Arkansas-Phillips,Certificate ,Renewable Energy Technology,Sciences; Infrastructure; Manufacturing,http://www.pccua.edu/catalog/program/renewable-energy-technology1,72342,"Helena-West Helena, AR",34.52955,-90.59177,"Certificate program that focuses on renewable energy, infrastructure maintenance, and design. Coursework in biofuels introduces the history and early applications of biodiesel and ethanol. Understanding biochemical methods involved in the generation of biodiesel from feedstocks, animal fats, and waste vegetable oil. Structure, function and production of ethanol and its uses. Social, environmental, and economical aspects of the production and usage of alternative fuels. Exploring the new advancements in alternative fuel production.",Classroom,Terrestrial,
California,University of California-San Diego,Certificate ,Industrial Biotechnology,Agriculture and Environmental Sciences; Biological Sciences; Engineering,https://extension.ucsd.edu/courses-and-programs/algae-biotechnology-science,92037,"La Jolla, CA",32.856347,-117.250058,"Come explore UC San Diego's extension courses in industrial biotech, including microbial fermentation and algae biotechnology, that will enable you to develop a deep understanding of the science that will impact the world.",Classroom,Algae,
California,University of California-Berkley ,,Plant and Microbial Biology,,http://plantandmicrobiology.berkeley.edu/biofuels,94720,"Berkely, CA",37.8746,-122.25467,"Our faculty, students and research staff are dedicated to finding new ways to develop sustainable energy and to reduce our dependence on fossil fuels.",Classroom,Both,Energy Biosciences Institute; Joint BioEnergy Institute
California,University of California-Davis,Minor; Bachelors; Masters; Doctorate,Sustainable Transportation Energy Pathways (STEP),Dept of Plant and Microbial Biology; Dept of Bioengineering,https://steps.ucdavis.edu/biofuels/,95616,"Davis, CA",38.56296,-121.81601,"The biofuels track examines questions surrounding the feasibility, business case for, and sustainability of future biofuels. Much of the focus of this track is on non-corn based biofuels such as renewable diesel, cellulosic ethanol, and drop-in petroleum replacements, among others. Our research answers important policy questions for the state of California, the United States, and the world using a variety of economic, modelling/simulation, and life cycle methods. Broadly, the track examines how and to what extent biofuels can contribute to a sustainable energy future.",Classroom,Terrestrial,Joint BioEnergy Institute
Illinois,Eastern Illinois University,Bachelors; Masters,Center for Clean Energy Research and Education  (CENCERE),Interdisciplinary; Sciences,http://castle.eiu.edu/energy/,61920,"Charlston, IL",39.5135,-88.16175,"CENCERE is an innovative approach to energy research and education.  Committed to the development of clean, sustainable energy sources, CENCERE partners with a picturecross-disciplinary team engaged in catalyzing new initiatives in energy research and education.  Within the 5000 plus square foot CENCERE facility, students conduct hands-on research on sources suitable for renewable energy development.",Classroom,Terrestrial,
Illinois,Illinois State University,Bachelors,Renewable Energy,Technology; Engineering,https://illinoisstate.edu/academics/renewable-energy/,61790,"Normal, IL",40.52451,-89.00934,"The Renewable Energy major addresses real-world social, economic, and technical sustainability issues. These issues are often encountered across a wide-range of careers.This major prepares you for a diverse set of jobs in the fields of biofuels and biomass energy development.
",Classroom,Terrestrial,
Illinois,Illinois State University,Masters; Doctorate,Graduate School,Biological Sciences,https://illinoisstate.edu/academics/bioenergy-masters/,61790-4040,"Normal, IL",40.51032,-88.99803,"Both masters and PhD program in which students can perform thesis research on bioenergy-related topics. The School of Biological Sciences, offers an M.S. sequence in Bioenergy Sciences, which provides students with the background to conduct thesis research focusing on questions related to biological and/or environmental aspects of using/engineering plants and microbes for the production of bio-based fuels. Ultimately, students will be prepared for pursuing higher degrees or entering professions related to bioenergy.",Classroom,Terrestrial,
Illinois,University of Illinois at Urbana-Champaign,Masters,Bioprocessing & Bioenergy,Engineering; Sciences; Infrastructure,https://psm.illinois.edu/bioprocessing-bioenergy,61820,"Champaign, IL",40.10789,-88.244266,The master's in bioprocessing and bioenergy integrates science and business to meet demands for sustainable energy and bioproducts as well as providing the workforce for the growth in industrial biotech.,Classroom,Terrestrial,Energy Biosciences Institute
