Location,School/Institution,Degree/Certificate,Associated Lab/Research Center/Program,Tags,Link,Zip Code,City/State,Latitude,Longitude,Description,Course Type,Bioenergy Systems,Consortium
Alabama,Auburn University,Bachelors; Masters; Doctorate; Graduate Certificate,Department of Biosystems Engineering,Engineering; Sciences,http://eng.auburn.edu/bsen/,36849,"Auburn, AL",32.60242,-85.487341,"Auburn University's bioprocess engineering option focuses on the technologies used for converting biological materials to value-added products. Graduate study in the Department of Biosystems Engineering may  lead to the Master of Science or Doctor of Philosophy. At the graduate level, students can specialize in the following: Bioenergy and Bioproducts Engineering, Food and Biological Engineering, Ecological Engineering, Metabolic and Biological Engineering, Production and Process Engineering, Off-Highway Vehicle Engineering.",Classroom; Online,Terrestrial,
Arizona,University of Arizona,Bachelors; Masters; Doctorate; Graduate Certificate,Department of Biosystems Engineering,Engineering; Agriculture; Sciences; ,https://be.arizona.edu/,85721,"Tucson, AZ",32.23083,-110.95036,"How will we fuel the future? As a leading public research university, the University of Arizona is working hard to answer this question through pioneering research in alternative biofuels. Arizona has great potential as a large-scale producer of renewable energy and bioproducts from sugar, oil, green waste, and algal sources. There currently is one full-scale ethanol production facility in our region, and we have been working with them to utilize new sources of biomass.

The Biosystems Engineering Department is developing innovative systems to sustainably feed an increasing population through cutting-edge technology, sustainable practices, and the drive to make a difference in the world. We build sustainable solutions that create resilience among society, the environment and the economy. We are also an ideal pre-health track. Biosystems Engineering is currently working on many bioenergy-related projects, including the following: Optimizing growth conditions in controlled environment agriculture; Finding alternative fuel and feed sources; Irrigating crops sustainably; Analyzing big data sets generated from using sensors and controls and looking at metagenomics.",Classroom,Terrestrial,
Arizona,University of Arizona,Bachelors; Masters; Doctorate; Graduate Certificate,Institute for Energy Solutions,Engineering; Architecture; Law; Management; Economics; Social and Behavioral Sciences; ,https://energy.arizona.edu/education/programs-study ,85721,"Tucson, AZ",32.23083,-110.95036,"The University of Arizona offers a wealth of opportunities in energy-related education. Many full programs from the undergraduate to doctoral level offer a focus on energy and the environment led by renowned researchers in the fields that create and contribute to the Institute for Energy Solutions.  Learn about bioenergy topics such as using solar glass to help microalgae grow faster for the production of biofuels. The University of Arizona Regional Algal Feedstock Testbed (RAFT) research project is a $8 million DOE-funded project to create a long-term cultivation data necessary to understand and promote biomass production.  With funding and support from U.S. Department of Agriculture, the Sustaianble Bioeconomy for Arid Regions (SBAR) research focuses on guayule and guar as means to address the need for domestic bioproduct and biofuel production in the Southwest. ",Classroom,Terrestrial,
Arizona,Arizona State University-Polytechnic Campus,Workshop,The Arizona Center for Algae Technology and Innovation (AzCATI),Engineering; Sciences,http://www.azcati.com/,85212,"Mesa, AZ",33.3222,-111.62812,"The Arizona Center for Algae Technology and Innovation (AzCATI) harnesses bioenergy technology to produce renewable energy, food, feed, and other valuable products from algae while performing environmental services to support a more sustainable future for society. Our core competencies are organized into three main platforms: Research, Education and Training, and Services. AzCATI offers superior formal and informal bioenergy education and training in the use of microalgae as feedstock for biofuels and coproducts, through hands-on learning opportunities, workshops, and seminars held at our testbed site and partner sites and selected public events.",Classroom,Algae,"DISCOVR

Algae Technology Educational Consortium"
California,University of California-Berkeley ,Bachelors; Doctorate,Plant and Microbial Biology,Sciences,https://plantandmicrobiology.berkeley.edu/,94720,"Berkeley, CA",37.8746,-122.25467,"The Department of Plant and Microbial Biology is committed to the University of California’s mission of dedicated research and providing a superior education in plant biology, microbiology, and related life sciences. Bioenergy is examined from the point-of-view of potential biofuels, including aspects of the biological generation of hydrogen, hydrocarbons, fatty acids, lipids, and bio-oils, polymers and related materials. Our Plant Biology program focuses on basic research and on the design of biotechnologies. We conduct research programs and teach in many areas of plant biology, including molecular, cellular, genetic, biochemical, physiological, developmental, structural biology, and plant-microbe interactions. Our Microbiology program focuses on understanding the microbial world to comprehend the global ecosystem, evolution, and diversity of life. We pursue fundamental and applied research in microbial physiology and biochemistry, microbial development and genetics, microbial ecology and evolution, and host-microbe interactions.",Classroom,Both,Energy Biosciences Institute; Joint BioEnergy Institute
California,University of California-Davis,Bachelors; Masters; Doctorate,"

Department of Plant Sciences—Biomass and Biofuels",Sciences,https://www.plantsciences.ucdavis.edu/,95616,"Davis, CA",38.56296,-121.81601,"At the University of California-Davis, the Department of Plant Sciences-Biomass and Biofuels track examines questions surrounding the feasibility, business case, and sustainability of future biofuels. The track studies plant adaptability to changing climates, genetics and genomics of leafy salad crops, and non-food woody biomass crops for bioenergy. Much of the focus of this track is on non-corn based biofuels such as renewable diesel, cellulosic ethanol, and drop-in petroleum replacements, among others. Our bioenergy research answers important policy questions for the state of California, the United States, and the world using a variety of economic, modeling/simulation, and life cycle methods. Broadly, the track examines how and to what extent biofuels can contribute to a sustainable energy future.",Classroom,Terrestrial,Joint BioEnergy Institute
Illinois,Eastern Illinois University,Bachelors; Masters,Center for Clean Energy Research and Education  (CENCERE),Interdisciplinary; Sciences,http://castle.eiu.edu/energy/,61920,"Charleston, IL",39.5135,-88.16175,"Eastern Illinois University's Center for Clean Energy Research and Education (CENCERE) is an innovative approach to bioenergy research and education.  Committed to the development of clean, sustainable energy sources, CENCERE partners with a cross-disciplinary team engaged in catalyzing new initiatives in bioenergy research and education. Within the 5,000 plus square foot CENCERE facility, students conduct hands-on research on sources suitable for renewable energy development.",Classroom,Terrestrial,
Illinois,Illinois State University,Bachelors,Sustainable and Renewable Energy,Technology; Engineering,https://illinoisstate.edu/academics/renewable-energy/,61790,"Normal, IL",40.52451,-89.00934,"Illinois State University's Sustainable & Renewable Energy major addresses real-world social, economic, and technical sustainability issues. These issues are often encountered across a wide range of careers. This major prepares you for a diverse set of energy-related jobs in the fields of energy sustainability, energy efficiency, wind, solar, biofuels, biomass energy development, and regulatory and government policy analysis.",Classroom,Terrestrial,
Illinois,Illinois State University,Masters; Doctorate,School of Biological Sciences,Biological Sciences,https://illinoisstate.edu/academics/bioenergy-masters/,61790,"Normal, IL",40.51032,-88.99803,"The School of Biological Sciences at Illinois State University has both a Ph.D. program and a master's degree program in which students can perform thesis research on bioenergy-related projects. For students interested in taking the master's degree track, the School of Biological Sciences offers an M.S. sequence in Bioenergy Sciences, which provides students with the background to conduct thesis research focusing on questions related to biological and/or environmental aspects of using/engineering plants and microbes for the production of bio-based fuels. Ultimately, students will be prepared for pursuing higher degrees or entering professions related to bioenergy.",Classroom,Terrestrial,
Illinois,University of Illinois at Urbana-Champaign,Masters,Bioprocessing & Bioenergy,Engineering; Sciences; Infrastructure,https://psm.illinois.edu/bb/overview,61820,"Champaign, IL",40.10789,-88.244266,"Whether interested in a career using plants or biomass for bioenergy, processing food products, or industrial biotechnology, the University of Illinois at Urbana-Champaign's Illinois Professional Science Master’s in bioprocessing and bioenergy integrates science and business to prepare students for careers on the cutting edge of multidisciplinary technology. Students will have the opportunity to learn from world-renowned scientists and researchers working to develop new technologies inside the state-of-the-art Integrated Bioprocessing Research Laboratory (IBRL). The IBRL is prepared to lead the way in bioenergy and bioprocessing research and education. The facility provides students with hands-on experience in pilot plant processing, analytical lab work, while working side-by-side with industry clients and partners.",Classroom,Terrestrial,Energy Biosciences Institute
Kansas,Kansas State University,Certificate,Bio-Based Products and Bioenergy,Engineering; Sciences; Agronomy,http://catalog.k-state.edu/preview_program.php?catoid=2&poid=3827,66506,"Manhattan, KS",39.196032,-96.583875,"The Kansas State University certificate in Bio-Based Products and Bioenergy is offered through the Graduate School, currently through the collaboration of the Departments of Agronomy, Biological and Agricultural Engineering, Chemical Engineering, and Grain Science and Industry. Chemical feedstocks, materials, and fuels derived from biomass have received increasing emphasis nationally and are seen as being very desirable from a number of standpoints. Private industry now actively recruits individuals with specific training in bioprocessing and bio-based materials. With the interest in green chemistry and in sustainability increasing along with the escalation of crude oil prices, emphasis on the utilization of biomass for energy and materials can only continue to increase.",Classroom,Terrestrial,
Maine,University of Maine,Bachelors,"Forest Operations, Bioproducts, and Bioenergy",Engineering; Sciences; Forestry,http://catalog.umaine.edu/preview_program.php?catoid=70&poid=9523&returnto=2346,4469,"Orono, ME",44.901059,-68.668317,"The interdisciplinary Bachelor of Science in Forest Operations, Bioproducts, and Bioenergy at the University of Maine extends basic forestry training to include analysis of harvesting operations as well as forest resources utilization through a series of focused courses. Those courses focus on forest harvesting and wood uses in sawmills, pulp and paper manufacturing, composite materials and energy generation using biomass.",Classroom,Terrestrial,
Michigan,Michigan State University,Bachelors; Masters; Doctorate,"College of Engineering, Department of Biosystems and Agricultural Engineering",Engineering; Sciences; Infrastructure,https://reg.msu.edu/ACADEMICPROGRAMS/ProgramDetail.aspx?Program=2445,48824,"East Lansing, MI",42.728334,-84.488226,"Degrees in Biosystems Engineering at Michigan State University prepares biosystems engineers to design solutions to technical problems that involve a critical biological component. Graduates will learn to apply quantitative skills to create products, processes, and systems that improve human existence. Working at the interface of engineering and biology, biosystems engineers are engaged in the most important challenges of our time. Concentrations offered include Bioenergy and Bioproduct Engineering.",Classroom,Terrestrial,
Minnesota,University of Minnesota,Bachelors,"College of Science and Engineering, Department of Bioproducts and Biosystems Engineering Undergraduate Program",Sciences; Engineering,https://bbe.umn.edu/undergraduate/bbe,55108,"St. Paul, MN",44.980614,-93.177122,"At the University of Minnesota a degree in Bioproducts and Biosystems Engineering (BBE) prepares students to address society's growing material, food, and energy demands using renewable resources, and develop engineering solutions to protect and enhance our environment. BBE gives students the skills they need to design and implement solutions for sustainable manufacturing of bioenergy products such as biofuels, biochemicals, bioplastics, paper, building materials, and composites. The BBE degree has commonalities with chemical engineering and environmental engineering, with the same scientific foundations as these and other engineering disciplines. BBE diverges from chemical engineering with a singular focus on renewable resources (algae, wood, organic waste, etc.) to produce renewable energy, and bio-based materials and chemicals.",Classroom,Both,
Minnesota,University of Minnesota,Masters; Doctorate,"College of Science and Engineering, Department of Bioproducts and Biosystems Science, Engineering and Management Graduate Degree Program",Sciences; Engineering,https://bbe.umn.edu/graduate,55108,"St. Paul, MN",44.980614,-93.177122,"At the University of Minnesota the Bioproducts and Biosystems Science, Engineering and Management Graduate Degree Program equips future bioenergy industry leaders with a solid foundation in the fundamental sciences, engineering, and management required to operate and advance the bioeconomy. After sophomore year, student interests can be combined with a bioproducts engineering emphasis to design and develop sustainable process and product solutions to meet the world's growing material, chemical, and energy demands.",Classroom,Both,
Montana,Montana State University-Northern,Certificate; Associates; Bachelors,College of Technical Sciences; Advanced Fuels Center,Agriculture; Engineering; Sciences; Infrastructure,https://www.msun.edu/academics/cots/,59501,"Havre, MT",48.55417,-109.67853,"The Montana State University-Northern's (MSU-Northern) College of Technical Sciences (COTS) mission is to develop a source of professionally educated, highly skilled, and motivated employees for industry. The COTS offers an array of technical degree programs, including cutting-edge research in advanced biofuels. An MSU-Northern Agricultural Operations associates or bachelors degree provides the background for a changing agricultural scene that includes biofuels. The Bio-Energy Center of Excellence provides research, product development, and commercialization of non-food biomass for the bioenergy industry. Research activities address the obstacles concerning the production of biofuels and other bio-based fuel additives considering feedstock quality, conversion process, economic viability, and public awareness. The Advanced Fuels Center has grown from a testing facility to a research center with the focus on developing drop-in, sustainable fuels and biomass-based additives.",Classroom,Terrestrial,
New Mexico,Santa Fe Community College,Certificate; Associates,"Biofuels School of Trades, Advanced Technologies, and Sustainability",Sciences; Agriculture; Engineering,https://www.sfcc.edu/programs/biofuels/,87508,"Santa Fe, NM",35.534288,-106.014164,"In the Biofuels program at Santa Fe Community College, students will learn to create ethanol and biodiesel and cultivate algae, a renewable resource that grows well in the Southwest. Biofuels are a sustainable energy source made from organic materials or recycled oils converted into liquid fuels that supply us with bioenergy. The most common types of biofuels are ethanol; an alcohol made from plant biomass, and biodiesel; a combination of alcohol and oil or fat. Study advanced vehicle technologies and sustainable technologies along with biology, chemistry, and electrical and mechanical fundamentals to prepare to work as a sustainability coordinator, plant or lab technician, project engineer/developer, or launch a business. Research facilities include the SFCC Biofuels Center of Excellence.
",Classroom,Both,
New Mexico,Santa Fe Community College,Certificate; Associates,"Algae School of Trades, Advanced Technologies, and Sustainability",Sciences; Agriculture,https://www.sfcc.edu/programs/algae/,87508,"Santa Fe, NM",35.51793,-105.95547,"Algae offer a realistic potential to provide the world with a sustainable source of bioenergy. Algal biomass can be transformed into a diverse array of fuels, such as ethanol, hydrogen, jet fuel and biodiesel. At the Santa Fe Community College's Algae School of Trades, Advanced Technologies, and Sustainability students will be provided with an overview of algal biology and train them in key method for algal biomass production.",Online,Algae,Algae Technology Educational Consortium
North Carolina,North Carolina State University,Masters; Doctorate,"College of Natural Resources, Department of Forest Biomaterials",Sciences; Engineering,https://cnr.ncsu.edu/fb/graduate-programs/,27695,"Raleigh, NC",35.797692,-78.625265,"At North Carolina State University, graduate students in Forest Biomaterials learn the theory and applications of chemistry, physics and engineering as it pertains to biomaterial science and engineering. Major areas of activity are concentrated in the bioenergy, biopolymers, wood and paper fields. Research/coursework topics include bioenergy.",Classroom; Online,Terrestrial,
Ohio,Ohio State University,Certificate; Associates,Agricultural Technical Institute,Agriculture; Sciences,https://undergrad.osu.edu/majors-and-academics/majors/detail/310,44691,"Wooster, OH",40.830699,-81.895377,"The increasing demand for energy and renewable energy sources will continue to drive the need for trained bioenergy technicians. The Ohio State University's Agricultural Technical Institute certificate program in bioenergy prepares students with the skills and knowledge to get started in the industry. The Agricultural Technical Institute is a great choice for students seeking degrees in agriculture, horticulture, environmental science, business, construction and hydraulics. ",Classroom,Terrestrial,
Oregon,Oregon State University,Bachelors,Bioresource Research,Sciences; Agriculture; Engineering; Forestry,https://catalog.oregonstate.edu/college-departments/agricultural-sciences/bioresource-research-bs-hbs/,97331,"Corvallis, OR",44.565613,-123.278957,"Oregon State University's BioResource Research (BRR) is an interdisciplinary biosciences major centered around research aimed at understanding and protecting the planet's biological resources and exploring their novel and sustainable uses. 

The Bioproducts and Bioenergy option is concerned with the innovative discovery and production of biomaterials (e.g. biodegradable plastics and composites), bioenergy (e.g. fuel ethanol, hydrogen and biodiesel), or biochemicals (e.g. antibiotics, pharmaceuticals and herbicides) from plant, animal, or microbial biomass. BRR students complete a comprehensive mentored research experience, in a cutting-edge area of agricultural, biological, chemical, environmental, food, or health science. In addition to research expertise, BRR students graduate with a strong background in biosciences, job training, and problem-solving and communication skills.
",Classroom,Terrestrial,
South Dakota,South Dakota State University,Certificate,Bioenergy and Sustainable Technology,Engineering; Sciences; Agriculture,http://catalog.sdstate.edu/preview_program.php?catoid=28&poid=6296,57007,"Brookings, SD",44.369696,-96.790705,"At South Dakota State University the online graduate certificate program in Bioenergy and Sustainable Technology has been developed to support continuing education needs of the workforce in bio-based industries. The rapidly expanding industry of bioenergy and bio-based products requires a well trained workforce. Chemical feedstocks, materials, and fuels derived from biomass have received increasing emphasis nationally and are seen as being very desirable for many reasons. With a rising interest in green chemistry and sustainability, and escalating crude oil prices, biorefinery industry now actively recruits individuals with specific training in bioprocessing and biobased materials.",Online,Terrestrial,
Tennessee,University of Tennessee-Institute of Agriculture,Bioenergy Concentration; Bachelors ,Department of Plant Sciences,Agronomy; Biotechnology; Business and Economics; Chemistry; Engineering; Microbiology,https://ag.tennessee.edu/plantsciences/Pages/bioenergy.aspx,37996,"Knoxville, TN",35.990142,-83.96218,The University of Tennessee-Institute of Agriculture bioenergy concentration is intended for students who are interested in pursuing careers in the biofuels and bioenergy fields. The graduate will have the background and internship experience to enter directly into the bioenergy workforce.,Classroom,Terrestrial,
Tennessee,University of Tennessee-Knoxville,Bachelors,"Bioenergy Concentration in Plant Sciences, Biosystems Engineering",Engineering; Sciences; Agriculture,http://catalog.utk.edu/preview_program.php?catoid=5&poid=1553,37996,"Knoxville, TN",35.990142,-83.96218,"At the University of Tennessee-Knoxville, the bioenergy concentration for the Plant Science major is intended for students who are interested in pursuing careers in the quickly-expanding biofuels and bioenergy fields.",Classroom,Terrestrial,
Tennessee,University of Tennessee-Knoxville,Masters; Doctorate,Herbert College of Agriculture,Engineering; Agriculture; Sciences,https://catalog.utk.edu/preview_program.php?catoid=33&poid=16041,37996,"Knoxville, TN",35.990142,-83.96218,"The University of Tennessee-Knoxville's graduate program leading to the master of science degree with a major in biosystems engineering technology is available to graduates of a recognized curriculum in agriculture or other related fields. The program emphasizes the application of engineering to agricultural and other biological systems. Biosystems engineers work toward advancing bioenergy technologies to convert biomass, including wastes, into useful products, fuels, and fuel additives, among other things. Major focus areas of the program are machinery systems; environmental quality and resource conservation; instrumentation, sensor, and control systems; and bioprocessing.",Classroom,Terrestrial,
Texas,Austin Community College,Certificate; Associates,Biotechnology,Engineering; Sciences,http://www.austincc.edu/academic-and-career-programs/areas-of-study/science-engineering-and-math/biotechnology,78752,"Austin, TX",30.33411,-97.69994,"Austin Community College’s (ACC) Biotechnology Program is a key partner in developing a biotech education center and is home to the Bioscience Incubator, which provides students with valuable exposure to emerging research. ACC is preparing the next generation of bioenergy professionals by offering associate degrees, entry-level certifications, and post-graduate qualifications in bioenergy-related fields. Student's will learn to record and analyze data, participate in research studies, and create reports for publication for both private- and public-sector laboratories. ",Classroom,Both,Algae Technology Educational Consortium
Washington,Washington State University ,Masters; Doctorate,Bioenergy and Bioproducts Engineering,Engineering; Sciences,https://bsyse.wsu.edu/research/bioenergy/,99164,"Pullman, WA",46.730917,-117.152568,"The Washington State University Bioenergy and Bioproducts Engineering program develops scientists that work toward advancing science and technologies to convert biomass, including wastes, into useful products, fuels, and fuel additives. Highlights of this research program include:
-Producing lipids from lignocellulosics for upgrading into renewable jet fuels, diesel, and gasoline
-Producing integrated algal fuels, including culture processes and extractions of co-products and lipids
-Developing anaerobic digestion technologies for producing biogas, co-products, and nutrient recovery
-Producing multiscale models of biorefining processes and systems
-Devising a feasible process to deconstruct  cellulosic biomass
-Identifying pathways to convert lignin to jet fuel
-Developing thermochemical conversion processes for producing advanced biofuels, chemicals, and bioproducts.",Classroom,Both,
Wisconsin,University of Wisconsin-Madison,Masters,Life Sciences Communication,Life sciences;  Communications,http://guide.wisc.edu/graduate/life-sciences-communication/life-sciences-communication-ms/,53706,"Madison, WI",43.07477,-89.41121,"Teaching and research in the Life Sciences Communication department at the University of Wisconsin-Madison focus on science communication in the areas of emerging technologies, bioenergy, environment, agriculture, health, and food. The M.S. in Life Sciences Communication graduate program provides advanced professional training in communication and preparation for communication research and teaching. Students in the professional track M.S. program are studying for careers in a variety of fields, including consulting, policy, journalism, strategic communication, marketing and market research, particularly in science-related fields.",Classroom,Terrestrial,Great Lakes Bioenergy Research Center
Wisconsin,University of Wisconsin-Madison,Bachelors,Biological Systems Engineering,Engineering; Sciences,https://guide.wisc.edu/undergraduate/agricultural-life-sciences/biological-systems-engineering/biological-systems-engineering-bs/,53706,"Madison, WI",43.07477,-89.41121,"The Biological Systems Engineering (BSE) program at University of Wisconsin-Madison is the application of engineering principles to biological and agricultural systems which greatly impact our food, fiber, and renewable energy resources. In addition to developing renewable biofuels and bioenergy and sustainable biomaterials and goods, Biological Systems Engineers also work to find solutions to food insecurity, establish sustainable agriculture methods, and more. Graduates work in career fields associated with the growth, harvest, transportation, processing, and storage of food, feedstuffs, biomass for energy production, and forestry products.",Classroom,Terrestrial,
Wyoming,University of Wyoming,Bachelors,Energy Systems Engineering Program,Engineering; Sciences,http://www.uwyo.edu/mechanical/,82071,"Laramie, WY",41.715061,-105.797388,"At the University of Wyoming Energy Systems Engineering (ESE) students examine topics like environmental engineering, sustainability, renewable energy, and public policy issues relevant to energy conversion systems. The ESE degree program considers both technical engineering issues, as well as other practical aspects of energy utilization and implementation not typically covered in engineering education. The bioenergy industry can benefit from energy systems engineering talent. Engineers trained in Energy Systems will be better equipped than traditional Mechanical Engineers to deal with the environmental, legal, political, and economic aspects of new energy projects. ",Classroom,Terrestrial,
Idaho,University of Idaho,Bachelors; Masters; Doctorate,Biological Engineering,Engineering,https://www.uidaho.edu/engr/departments/chbe/degrees/be,83844,"Moscow, ID",46.7288,-117.0126,"At the University of Idaho, students study biological systems and integrate them with fundamental principles of engineering for the purpose of designing processes and systems that influence, control, or utilize biological materials and organisms to benefit humanity. Blending the study of engineering with biology, chemistry, math, and physics, the Biological Engineering program prepares students to solve engineering problems in biotechnology, agriculture, environment, natural resources, medicine, and pharmaceutics. Also taught are design components, systems, and processes for areas like healthcare technology, precision agriculture, sustainable bioenergy and environmental remediation. Much of the education takes place in the laboratory.",Classroom,Terrestrial,
Indiana ,Purdue University ,Bachelors,Biological Engineering; College of Agriculture and College of Engineering,Engineering,https://www.admissions.purdue.edu/majors/a-to-z/biological-engineering-multiple-concentrations.php,47907,"West Lafayette, IN",40.4237,-86.9212,"Purdue University's Biological Engineering (BE) program is consistently highly ranked with a practical curriculum providing excellent career opportunities in some of the most stable industries in the world. The world has a tremendous need for solutions to problems related to the environment, energy, health, food, and sustainability. Biological systems are related to or at the heart of all of these issues. A Biological Engineer learns to design and analyze biological systems to develop innovative and practical solutions. The program prepares graduates for careers in the bioenergy industry, food industry, pharmaceutical industry, biotechnology, and bioprocessing, as well as entrance into graduate or medical school. Students may select a major and plan of study within biological engineering tailored to their specific career goal.",Classroom; Online,Terrestrial,
