Program,Activity,ProjectLead,ProjectTitle,City,State,Latitude,Longitude,DOE Project Web Page,Concise_Description,Funding Type,Status
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,Lawrence Berkeley National Laboratory,2030 District Program and Small Commercial Toolkit,Berkeley,CA,37.871593,-122.272747,http://energy.gov/eere/buildings/downloads/lbnl-architecture-2030-district-toolkit-2015-peer-review,"Lawrence Berkeley National Laboratory will provide a suite of organizational, analysis, implementation, and verification methodologies, tools, and resources to help small commercial buildings meet the 2030 District Challenge to reduce energy by 20%. This support aims to help small commercial buildings in major U.S. cities save up to 2.4 billion kBtu a year.",Funding Opportunity,Inactive
Residential Buildings Integration,Technology & Systems Validation,IBACOS (Integrated Building and Construction Solutions),"A ""Plug-n-Play"" Air Delivery System for Low-Load Homes and Evaluation of a Residential Thermal Comfort Rating Method",Pittsburgh,PA,40.440625,-79.995886,http://energy.gov/eere/buildings/downloads/plug-n-play-air-delivery-system-low-load-homes-and-evaluation-residential,"IBACOS will investigate a simplified residential air delivery system to resolve comfort issues reported in low-load, production-built homes. This project could result in state-of-the-art comfort distribution systems, as well as a thermal comfort metric that helps builders and HVAC contractors measure and communicate the value of improved comfort delivery systems.",Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",University of Florida,"A Combined Water Heater, Dehumidifier, and Cooler",Gainesville,FL,29.651634,-82.324826,http://energy.gov/eere/buildings/downloads/combined-water-heater-dehumidifier-and-cooler-whdc,"The University of Florida will develop a technology for compact, low-cost combined water heating, dehumidification, and space cooling. This technology has the potential to save 480 TBtu/year in water heating and an additional 135 TBtu/year by reducing the air conditioning load.",Funding Opportunity,Inactive
Residential Buildings Integration,Technology & Systems Validation,"Home Innovation Research Labs, Inc.",A Constructible and Durable High-Performance Walls System: Extended Plate and Beam,Upper Marlboro,MD,38.815947,-76.749691,http://energy.gov/eere/buildings/downloads/constructible-and-durable-high-performance-walls-system-extended-plate-and,"Home Innovation Research Labs, Inc. will work to make the extended plate and beam system of incorporating insulation more accessible to builders through demonstration projects, technical documents, and code compliance assistance. Findings from these activities could play a critical role in improving the efficiency of home heating and cooling, which typically account for 40% of a home's energy consumption.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Window & Building Envelope,"Industrial Science and Technology Network, Inc.",A New Generation of Building Insulation by Foaming Polymer Blend Materials,Lancaster,PA,40.037876,-76.305514,http://energy.gov/eere/buildings/downloads/new-generation-building-insulation-foaming-polymer-blend-materials-co2,"The Industrial Science & Technology Network, Inc. will develop an environmentally clean, cost-effective building insulation with superior performance. Commercialization of this technology would reduce U.S. energy consumption related to building envelope components by 7%, equal to $8 billion in annual economic savings.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Building Energy Modeling,Lawrence Berkeley National Laboratory,A New Hybrid Approach to Energy Modeling,Berkeley,CA,37.871593,-122.272747,http://energy.gov/eere/buildings/downloads/benefit-new-hybrid-approach-energy-modeling,Lawrence Berkeley National Laboratory will identify an alternative method to estimate two difficult-to-measure inputs used in building energy modeling. The end product will simplify and help automate the process of creating a calibrated model for existing buildings.,Funding Opportunity,Inactive
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,Seventhwave,Accelerate Performance,Madison,WI,43.073052,-89.40123,http://energy.gov/eere/buildings/downloads/seventhwave-accelerate-performance,Seventhwave's Accelerate Performance scales owner demand for energy performance at a cost comparable to current construction by eliminating key market bariers. This program will achieve an average of 50% realized savings compared to traditional 30% modeled savings for aggressive new construction projects.,Funding Opportunity,Inactive
Emerging Technologies,R&D - Window & Building Envelope,Lawrence Berkeley National Laboratory,Accelerated Aging of Roofing Materials,Berkeley,CA,37.871593,-122.272747,http://energy.gov/eere/buildings/downloads/accelerated-aging-roofing-materials,"Lawrence Berkeley National Laboratory aims to reduce the time to rate aged materials from three years to a few days, which will speed next-generation cool roofing materials to market. This cost-effective technology can boost annual sales of cool roofs per manufacturer by ~$2-5M, supporting US manufacturing and exports.",Lab Award,Inactive
Emerging Technologies,R&D - Sensors & Controls,KWJ Engineering Inc.,Accurate Micro-Amperometric CO2 Gas Sensor for Indoor Air Quality and Building Control Network,Newark,CA,37.529659,-122.04024,https://www.sbir.gov/sbirsearch/detail/1207009,"KWJ Engineering Inc. (Newark, CA) will develop a novel CO2 air quality sensor for use with energy-efficient commercial and residential green building ventilation control systems.",Small Business Innovation Research,Inactive
Residential Buildings Integration,Technology & Systems Validation,University of Minnesota - Twin Cities,Affordable High-R Panel Wall System Demonstration,Minneapolis,MN,44.977753,-93.265011,http://www.energy.gov/eere/buildings/downloads/affordable-high-r-panel-wall-system-demonstration,"The University of Minnesota will field test an innovative insulated solid-panel building envelope system that (1) eliminates thermal bridging, improves durability, and reduces construction costs compared to conventional, wood-framed construction; and (2) is appropriate for the affordable housing market.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Window & Building Envelope,Argonne National Laboratory,Acoustic Building Infiltration Measurement System (ABIMS),Argonne,IL,41.715444,-87.983456,http://energy.gov/eere/buildings/downloads/acoustic-building-infiltration-measurement-system-abims,"Argonne National Laboratory will develop an acoustic method of measuring the infiltration of a building envelope. The method will enable infiltration measurement of all buildings, which could lead to decreased building energy use.",Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Adhesive Bonding of Aluminum and Copper in HVAC&R Applications,Oak Ridge,TN,36.010356,-84.269645,http://www.energy.gov/eere/buildings/downloads/adhesive-bonding-aluminum-and-copper-hvacr-applications#\\vse-endc-file02\home\AIsaacson\BTO Comms\Projects Map\Phase 3 Update 1\FY16FOAProjectPages.xlsx#Sheet1!D2,"Oak Ridge National Lab (ORNL), with its partner 3M, is developing adhesive chemistries for bonding aluminum and copper during heat exchanger manufacture, resulting in enhanced bonding and significant energy savings.",Funding Opportunity,Inactive
