Program,Activity,Presenting_Organization,Project_Title,Year,URL,Text
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,Seventhwave,Accelerate Performance,2016,http://energy.gov/eere/buildings/downloads/seventhwave-accelerate-performance,"<p>Weighted Average: 3.24   # of Reviewers: 4</p> 
<p>Relevance: 3.50    Approach: 3.13   Accomplishments: 3.25  Project Collaboration: 3.38   Future Work: 3.25</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Overall, this project was very well regarded by reviewers, who felt that it was well thought out, supported BTO's long term goal of reducing energy use intensity (EUI) in commercial buildings, and provided an excellent opportunity to demonstrate that new buildings can be built to consume 50% less energy than code. Reviewers noted that the project did a good job of simplifying innovation and implementation, and that it wisely leveraged existing energy efficiency programs and their related resources.</p> 
<p>Reviewers felt that interim goals appeared achievable, though they expressed concern that the project’s energy savings targets were imprecise, potentially rendering progress difficult to track. Reviewers also noted that anticipated energy savings might not materialize until after the 3-year, BTO-funded performance period had closed, suggesting that a longer period of performance may be required for long-term goals to be achieved.</p>
<p>Reviewers highlighted that the project was heavily focused on a critical barrier to energy-efficient commercial construction – namely, that business customers are not asking for high performance buildings, and that energy efficiency is not being considered in new construction until too late in the process – but also pointed out that there were other important barriers which the project failed to address, including financing, measurement and verification, and the long duration between design and measured savings.</p> 
<p>Furthermore, one reviewer was concerned that the project’s solution for the barrier of interest (i.e., tapping utilities to be lead in promoting the project’s procurement model) had its own myriad limitation. This reviewer highlighted that until highly energy-efficient construction was no longer cost prohibitive, it would need to be heavily incentivized; this reviewer found it difficult to believe that utility funding would be able to finance all project activities, recommending that project staff should consider a utility energy services contract (UESC) approach to financing new work where appropriate.</p> 
<p>In terms of partnerships and collaboration, reviewers felt that this was an exemplar project, featuring close collaboration between project staff and energy efficiency programs and other stakeholder in the regions being targeted. One reviewer noted, however, that while stakeholder engagement was particularly impressive in Illinois, additional work remained to gather stakeholders on the ground in Minnesota, Colorado, and Connecticut. In all locations, one reviewer made note of the project’s failure to collaborate with banks and other financial institutions, an activity which could help address financing shortfalls that arise.</p>
<p>Some reviewers thought that the project’s future plans were good, at least within the scope of work presented, but others remained concerned that activities and impacts would need to take place beyond the project’s 3-year period of performance.</p>
<p>Program Response:</p>  
<p>Accelerate Performance has produced very promising initial results. Seventhwave has successfully integrated a pipeline of projects and owners in three different, regionally diverse utility territories. Performance-based procurement and utility program development is well underway with regulatory approval moving forward. Problems and barriers with programmatic development are often proactively identified and addressed as the project moves forward. Useful approaches and lessons learned will support replication by in other projects and regions. DOE shares concern with the term of the project considering the length new building construction and the time necessary to verify post-construction performance. However, Seventhwave is progressing ahead of schedule and has met all milestones to date. Resources and practices to support replication will be developed within the three year project timeframe. DOE will be looking for monitoring and verification protocols to support utility program development, as well as regulatory approval of pilot offerings by at least one utility, in the next budget period.</p>"
Commercial Buildings Integration,Technology Demonstration & Deployment,Los Angeles Cleantech Incubator ,SoCal Edge,2016,http://energy.gov/eere/buildings/downloads/los-angeles-cleantech-incubator-socal-edge,"<p>Weighted Average: 2.54   # of Reviewers: 4</p> 
<p>Relevance: 2.50    Approach: 2.63   Accomplishments: 2.38  Project Collaboration: 2.75   Future Work: 2.50</p>
<p>Brief Summary of Reviewer Comments</p>
<p>Reviewers agreed on this project’s relevance to and alignment with BTO goals. However, one reviewer was not clear on what innovation was being introduced by the project’s work plan, and another reviewer was concerned that the project’s premise was based on very broad and unproven assumptions: that a technology which demonstrated energy savings in a U.S. General Services Administration (GSA) demonstration project would perform the same in a different building application.</p>
<p>One reviewer noted that the project team did a nice job of identifying an “on-ramp” market adoption strategy for emerging technologies, but another warned that conducting a handful of pilot projects may not be enough to develop a single ""on-ramp"" process. Furthermore, a reviewer cautioned that if the “on-ramp” strategy cannot reliably deliver predictable energy savings from the commercial buildings it is targeting, its value is low. One reviewer lauded the important barrier being addressed by project’s development of technical specifications for equipment and buildings, but another felt that the project’s activity was modest, and that certain critical barriers were not being considered, notably the potential lack of an installation and servicing network.</p>
<p>Reviewers highlighted that because the project had operated for less than a year, there have not yet been significant accomplishments or impacts. However, they also noted that the project had already met key milestones and appeared on track to meet stated goals and accomplishments.</p> 
<p>One reviewer felt that progress was difficult to assess because the specific technologies being pursued in demonstration project were not identified, while another felt that the project lacked a practical roadmap to accomplish its goals. A frequent reviewer comment was that the planned project timeline of 2 years would be insufficient to complete project activities and accomplish project goals. Finally, a third reviewer noted that the project’s plan (i.e., to identify best-in-class technologies, leverage DOE performance specifications, and engage utility partners to deliver reliable and repeatable energy savings) was a significant undertaking. Being unfamiliar with the project team’s testing, analysis, and deployment expertise, this reviewer was unsure if the project could reliably and repeatedly accomplish its goals.</p>
<p>One reviewer though that the project demonstrated good local engagement, while another highlighted the project’s creative matching of interested and motivated building owners with an incubator of new, innovative technologies. One reviewer did express concern that, for a project focused on leveraging partnerships, the project was not leveraging the Design Lights Consortium's Qualified Products List for light-emitting diode (LED) lighting.</p>
<p>One reviewer thought that the project’s future work plan appeared sound, if not a little ambitious, and identified no major red flags in planned work. However, another reviewer was concerned about the lack of clear metrics for measuring success, while another was not clear on how the project’s planned approach would continue after DOE funding has concluded.</p>
<p>Program Response:</p> 
<p>The objective of SoCal Edge is to create a regional model to increase the conversion of technology demonstrations to larger regional adoption, thus providing local “boots on the ground” to scale up energy savings across regional buildings. Piloting this process includes screening and vetting tools, approaches and developing strategic networks to expand the program's reach, like the Los Angeles Department of Water and Power and major building owners. DOE will look for program replicability and sustainability as the project moves forward over the longer term. In the next budget period, the Los Angeles Cleantech Incubator (LACI) and the L.A. Better Buildings Challenge (BBC) will be exploring the benefits of expanding its deployment reach by focusing more engagement with the L.A. Department of Water and Power to use demonstration project results to inform incentive program development. LACI and L.A. BBC will identify the best in class approaches to achieve the project's impact objective: 100 buildings adopting technologies that achieve 20-50% savings per project.</p> "
Commercial Buildings Integration,Technology Demonstration & Deployment,Building IQ Inc,Advanced Retro-commissioning Technology: Predictive Energy Optimization (PEO) and Automated Demand Response for Commercial Building HVAC,2016,http://energy.gov/eere/buildings/downloads/buildingiq-inc-predictive-energy-optimization,"<p>Weighted Average: 2.83   # of Reviewers: 3</p> 
<p>Relevance: 3.00    Approach: 2.67   Accomplishments: 2.83  Project Collaboration: 2.83   Future Work: 3.33</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers agreed that the project was relevant to BTO goals, and that it held significant promise for cutting energy use and peak demand. Furthermore, they remarked that if the project were successful in overcoming the critical barrier posed by buildings managers’ inability to optimize operations of their buildings, the opportunities for improving building energy efficiency will be enhanced, and will result in utility bill cost reductions.</p> 
<p>However, reviewers felt that the project did not demonstrate a strong understanding of barriers to wide-scale implementation, with one reviewer observing that the project team did not acknowledge that many building owners and operators are skeptical about energy savings from an unproven concept. This reviewer noted that having project partner Lawrence Berkeley National Laboratory (LBNL) provide monitoring and verification of savings could substantially address this “new concept” barrier, and that bringing utilities on board to offer incentives could also help mitigate “risk adverse” concerns.</p> 
<p>Reviewers commented that the project team identified other barriers that would limit the ability to reach certain building types, including commercial buildings controlled via real estate investment trusts (REIT), but one reviewer explained that this market barrier would only limit future penetration of the technology, not prevent the project’s success. Another reviewer remarked that the project’s current focus on U.S. General Services Administration (GSA) and other government- and university-owned buildings was not representative of the broader commercial building market, and that marketing the project to skeptical building owners on a one-off basis would be more difficult.</p>
<p>Reviewers expressed mixed opinions on progress achieved. One reviewer thought that the project seemed significantly behind schedule, that the schedule appeared to be unrealistic, and that it was unclear what results and impacts would be demonstrated at project end. In contrast, another reviewer felt the project was progressing as planned, but explicitly highlighted the risk posed by the ongoing difficulties integrating project technologies into GSA facilities. Finally, a third reviewer felt that the project had met performance goals identified in the timeline.</p> 
<p>One reviewer felt that the project team demonstrated a good understanding of those stakeholders necessary to move its technology into the market, while another highlighted that the GSA Green Proving Ground and the District of Columbia Department of General Services (DC DGS) were useful partners, but that it was not clear how much these partners were being engaged. Further, this reviewer felt that certain other partners’ roles were entirely unclear.</p>
<p>One reviewer felt that the project’s plan for future work seemed reasonable, but that the planned project schedule would need to be extended given the delays experienced already. This reviewer also thought that the plan to roll out the project to all GSA buildings was well conceived, but felt that it would only be effective if the GSA building data barrier could be resolved. Another reviewer recommended that the project’s best market opportunities were in the healthcare and higher education sectors, given the likely limited penetration into REIT-controlled offices and the current challenge posed by GSA systems.</p>
<p>Program Response:</p>
<p>No Program Response Provided.</p>"
Commercial Buildings Integration,Technology Demonstration & Deployment,Northeast Energy Efficiency Partnerships,Commercial Advanced Lighting Control (ALC) Demonstration and Deployment,2016,http://energy.gov/eere/buildings/downloads/northeast-energy-efficiency-partnerships-advanced-lighting-controls,"<p>Weighted Average: 2.97   # of Reviewers: 3</p> 
<p>Relevance: 3.33    Approach: 3.00   Accomplishments: 2.83  Project Collaboration: 3.17   Future Work: 3.00</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers agreed on the relevance of this project to BTO’s goals, noting that the project was working to commercialize technologies that BTO had supported for many years through research, development, and demonstration (RD&D). Reviewers commented that the project was advancing a complex and confusing technology, where BTO had correctly identified a need in the market. Reviewers also noted that there was potential for substantial savings in the solid-state lighting (SSL) controls arena, and further that the project was taking some much needed steps in the right direction, but that no one could expect all SSL lighting issues to be solved with this project.</p>
<p>Reviewers agreed that the project’s overall approach seemed very sound and well thought out, but warned that barriers to advanced lighting controls were significant and should not be underestimated. Reviewers remarked that the project team had correctly identified market roadblocks and had formulated a good approach to begin moving SSL lighting controls into mainstream utility program offerings. However, one reviewer felt that while the project’s focus on training installers would contribute to increased cost-effectiveness, this reviewer was left wondering how the project would address the high cost of equipment.</p>
<p>In terms of progress, one reviewer thought the project appeared to be running a bit behind, while another thought that the project was making good progress towards its goals. One reviewer noted that while there was a “systems based energy efficiency program offering” that was described as being completed in December 2015, no information was available on the project website; this reviewer was concerned that project outputs were only being made available to project partners and not the broader public and marketplace.</p>
<p>One reviewer commented that the project was taking a holistic approach by engaging so many stakeholders in the process, and another remarked on the project’s very broad and impressive group of collaborators, which the reviewer thought was the result of the project team’s success with other technology initiatives in recent years. One reviewer made note that the project team’s pre-existing relationships with manufacturers could be a powerful tool, but cautioned that it remained to be seen how past experiences would translate to advanced controls deployment, which required a systems versus individual product approach. Another reviewer remarked that there appeared to be a large number of utility partners involved, which might help define a course for utility programs to advance SSL controls adoption.</p>
<p>Reviewers thought that proposed future work seemed reasonable, and remarked that completion of pilot training and other energy efficiency programs by the end of 2016 should provide time for analysis of the results before the project end date. However, reviewers did feel that there should be more requirements that project materials be made publicly available, and also recommended that the project team should be sure to focus on control solutions that were incredibly simple and user friendly.</p>
<p>Program Response:</p>
<p>No Program Response Provided.</p>"
Commercial Buildings Integration,Technology Demonstration & Deployment,A.O. Smith Corporation,Demonstration of micro-CHP in Light of Commercial Hot Water Applications,2016,http://energy.gov/eere/buildings/downloads/ao-smith-demonstrate-underutilized-micro-chp,"<p>Weighted Average: 2.55   # of Reviewers: 2</p> 
<p>Relevance: 3.00    Approach: 2.50   Accomplishments: 2.50  Project Collaboration: 2.75   Future Work: 2.50</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers agreed on the relevance of this project to BTO goals, and also on the technical potential for project outcomes to achieve significant energy savings, but there was disagreement on reviewers’ expecations for the success of the technology and the ultimate impact of project activities. One reviewer expressed serious concern that market and technical barriers would prevent large-scale adoption of micro-combined heat and power (CHP) technology, thus limiting its impact. Another reviewer was optimistic that the potential and promise of micro-CHP technology was sufficient to drive market adoption, provided certain obstacles could be overcome (e.g. development of a plug-and-play model, ability to cost-effectively meet stringent state-level emissions standards, development of a strong network of installation and servicing contractors); however, even this reviewer highlighted the real threat posed by these obstacles to the project’s success.</p> 
<p>One reviewer felt that the project appeared to be well positioned to contribute to BTO’s interim market goals, but others felt that no significant progress or impact had been made outside of the identification of a few demonstration project sites. Reviewers agreed that opportunities were missed for engaging with key partners and stakeholders who might support or contribute to the project – notably the natural gas industry and relevant engineering, mechanical, electrical trades – and recommended that outreach to these groups be a priority. Reviewers did commend the depth of collaboration with existing partners in the water heater industry, but agreed that partnering with a well-established water heater manufacturer was a mixed-proposition that did not guarantee successful market impact.</p> 
<p>Reviewers agreed that future work plans were at least adequate, with one reviewer noting that future plans did a good job of mitigating risks. However, here too reviewers remarked on the risks posed by certain market barriers and technical obstacles to successful product deployment and wide-scale market adoption.</p>
<p>Program Response:</p>
<p>No Program Response Provided.</p>"
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,Envision Charlotte ,Envision Charlotte Project,2016,http://www.energy.gov/eere/buildings/downloads/envision-charlotte-project,"<p>Weighted Average: 3.44   # of Reviewers: 4</p> 
<p>Relevance: 3.75    Approach: 3.63   Accomplishments: 3.38  Project Collaboration: 3.38   Future Work: 3.25</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers described this project as highly relevant to BTO, with one noting that there was a clear and direct link between Envision Charlotte's well-articulated and measurable efforts on one hand and BTO's goals on the other. One reviewer warned that because the project was very targeted to one region, it might be prevented from having a significant dent in BTO’s nationwide objectives; however, this warning was tempered by a note that the project’s replicability could lead to broad impact.</p> 
<p>Overall, reviewers felt that the project was a great model for the reduction of resources by end users, and recommended that the project should share its experience with other cities to help maximize the project’s impact in other parts of the country. In particular, reviewers recommended exchanging notes about their processes with the City of Milwaukee, who is implementing a similar, well-regarded project.</p>
<p>Reviewers felt that the project’s approach was very well thought out and focused on critical market barriers. However, reviewers also noted that the City of Charlotte had the luxury of being home to many forward thinking businesses, which helped the program to both succeed and grow. One reviewer noted that while the project’s design appeared effective, it relied on slightly unproven strategies and did not have a clear plan for scaling. Another reviewer highlighted that the approach was not entirely clear in all aspects, including around how energy efficiency measures would be financed and what occupant engagement strategies would be used.</p> 
<p>Reviewers felt that progress was being made towards project goals, and expressed every confidence that the project would move ahead as planned. One noted that project activities appeared to be moving well toward BTO performance goals, but that a little “tuning” might be necessary to achieve BTO targets and to scale the project’s activities to other cities. Reviewers felt that all parties involved – including Duke Energy, key city partners, and the University of North Carolina (UNC) – were actively engaged and steadily working towards the project’s goals. One reviewer noted that the project team showed a strong understanding of the diverse networks of city and utility stakeholders, but could do a better job of interfacing with the private sector to drive creative energy efficiency solutions and business models.</p> 
<p>Reviewers felt that it was too early to know how well the project's proposed future work had been designed, but that efforts appeared to be headed in the right direction. Some concern was noted regarding work on behavioral change, citing that those types of programs are very difficult to apply effectively; reviewers counselled project staff to carefully consider what behavior change can realistically achieve. Another reviewer noted that scalability may be difficult because the approach was tailored to specific building stock, but another noted project’s efforts to expand the program within the city, and that the project’s success was evidenced by Duke Energy wanting to move the program to elsewhere in its service area.</p>
<p>Program Response:</p>
<p>No Program Response Provided.</p>"
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,Retail Industry Leaders Association ,Financial Management for Retail Energy Efficiency,2016,http://www.energy.gov/eere/buildings/downloads/financial-management-retail-energy-efficiency,"<p>Weighted Average: 2.63   # of Reviewers: 4</p>   
<p>Relevance: 2.50    Approach: 2.75   Accomplishments: 2.38  Project Collaboration: 2.88   Future Work: 2.75</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>There was agreement among reviewers that this project was relevant to BTO goals and objectives. However, one reviewer remarked on the modesty of the project’s goals, while another expressed concern that there was not a clear metric – nor any estimate of magnitude – for measuring the project’s contribution toward BTO's energy savings targets.</p> 
<p>Reviewers disagreed on the appropriateness of project’s approach. One reviewer commented that the project’s approach was well thought out, noting in particular that the project did a good job of addressing keys issues involved in financing retail energy efficiency improvements. Another reviewer, however, expressed concern that the project was too limited in scope, did not describe how relevant information would be diffused to retailers outside of the Retail Industry Leaders Association’s (RILA’s) membership, and did not address certain other and important market barriers. A third reviewer was concerned about the lack of specificity on certain approach details, while another noted that the project offered no real innovation, focusing instead on activities that are routinely carried out as part of other BTO projects and programs. One reviewer recommended that the project team consider Strategic Energy Management as a comprehensive framework that participating companies could use for goal setting, and implementing measures over time.</p>
<p>In regards to project accomplishments, one reviewer lauded the project’s success in developing implementation models and securing commitments from its membership, but other reviewers felt that no significant direct program accomplishments were presented, remarking furthermore that RILA was working under the assumption that their implementation models would work without demonstrating that this was true. One reviewer felt that industry partnerships and collaboration were a strength of the project, given how it was bringing together the largest retailers to discuss industry-leading practices. However, another reviewer saw partnerships and collaboration as a weakness, noting that key stakeholders like landlords, contractors, governments, and utilities were omitted from the project’s analysis.</p>
<p>Looking forward, reviewers were mixed on their evaluation of the project’s stated future plans. Some reviewers felt that the project had potential to be influential in this market, expressing that a clear path forward was presented. However, one reviewer stated that project offered little-to-no information on if and how it would build upon the successes of the BTO-funded program, while another was concerned that no explanation was offered on how the project would ensure that diffusion of information and demonstrations would lead to actual energy-savings activities on the part of retailers.</p>
<p>Program Response:</p>
<p>DOE has requested that RILA report the following metrics for energy projects implemented by retailers where available:</p>
<ul>
<li>energy savings as energy use intensity (EUI) in thousands of Btu per square foot (kBtu/SF) for 12 months before and after a project’s completion;</li>
<li>greenhouse gas (GHG) reductions (metric tons);</li>
<li>number of buildings retrofitted or impacted;</li>
<li>private sector dollars invested in project;</li>
<li>workers trained as part of project; and</li>
<li>jobs created as part of project.</li>
</ul>
<p>Building energy use and project information is to be reported to the Building Performance Database if available.</p> 
<p>Implementation Models (i.e., case studies) developed by RILA with market leaders (adidas, Regency Centers, etc.) will be replicated with other retail partners through the Environmental Defense Fund (EDF) Climate Corps fellowships. Additional best practices uncovered during these fellowships may also be turned into Implementation Models which can be used during subsequent years of the project by Climate Corps fellows working with retailers.</p> 
<p>Implementation Models are publicly available for all retailers to access through the Better Buildings Solution Center. All project resources will also be publicly available through a Retail Energy Management website to be created as a part of the project. RILA will be sharing outcomes of the initial work with retailers through the EDF Climate Corps fellowships with their membership with the intention to expand adoption of these practices across the industry.</p> "
Commercial Buildings Integration,Technology Demonstration & Deployment,QM Power,High Efficiency Motors for Refrigerated Open Display Cases,2016,http://energy.gov/eere/buildings/downloads/qm-power-inc-commercial-refrigeration-fan-applications,"<p>Weighted Average: 3.82   # of Reviewers: 3</p> 
<p>Relevance: 3.67    Approach: 3.83   Accomplishments: 4.00  Project Collaboration: 3.50   Future Work: 3.67</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers overwhelmingly agreed on this project’s relevance to BTO goals, its approach, its market integration, and its plans for future work. One reviewer went so far as to call this project a “success story for BTO,” based on the project’s strong support of BTO’s goal of reducing building energy use and its success in tackling and overcoming potential installation pitfalls for its technology through forward-looking product design.</p> 
<p>Reviewers referred to the project’s approach as very sound, highlighting in particular the project’s responsiveness to customer and stakeholder input early in the deployment and demonstration process, as well as its focus on critical market barriers. They described the project as having successfully developed a commercially- and retrofit-ready deployable product that was delivering significant energy savings, was reaching strong market penetration in a very short period, and had already obtained UL certification. Reviewers agreed that the project was on time, on budget, and ahead of near term installation targets, and was therefore likely to make a transformative contribution to or exceed the interim market goal.</p> 
<p>Reviewers felt that project staff demonstrated an excellent understanding of the key stakeholders necessary to move this technology to market. They noted that while there did not seem to be a large group of stakeholders involved, the project was extremely responsive to what worked best for customers, adapting the product offering to make it easier for retrofits and simple installations. Therefore, reviewers concluded that the level of integration and collaboration met the needs to have a very successful project, with strong ongoing market prospects and energy savings.</p> 
<p>Overall, reviewers agreed that proposed future work appeared very reasonable and would continue to build upon and substantiate performance and energy savings; they anticipated that the project would thus avoid nearly all potential risks that could impede full deployment of its technology.</p>
<p>Program Response:</p>
<p>No Program Response Provided.</p>"
Commercial Buildings Integration,Technology Demonstration & Deployment,City of Milwaukee,Better Buildings Challenge - Milwaukee,2016,http://www.energy.gov/eere/buildings/downloads/better-buildings-challenge-milwaukee,"<p>Weighted Average: 3.30   # of Reviewers: 4</p> 
<p>Relevance: 3.25    Approach: 3.50   Accomplishments: 3.13  Project Collaboration: 3.38   Future Work: 3.25</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers remarked that the project’s energy efficiency upgrade plan for commercial buildings was in exact alignment with BTO’s goals. One remarked, however, that the project's problem statement and direction were relatively open-ended and ambiguous, and recommended that the problem statement be tied directly to specific metric-based goals that linked to BTO targets. Another reviewer observed that the relevance will be on target once the project is a bit more mature, though at the time it was too much in its infancy stages.</p>
<p>Reviewers agreed that the project’s approach seemed to be on target, given its early stages, and further that the project was moving in the right direction to get its program off the ground. One reviewer remarked that project staff appeared to have given thought to nearly every potential barrier that could impede progress toward overarching goals. Another noted that the project's design appeared to address the market barriers identified at face value, but that it was difficult to see whether the project was taking clear action toward its objectives. For the age of the project, reviewers felt that project staff had a good base of knowledge and direction, and also that there appeared to be a clear plan for the project to deliver progress toward the relevant goals. However, reviewers felt that it was far too early in its timeline for the project to have had identifiable progress to report.</p>
<p>Reviewers observed that the project has an impressive array of partnerships, and that, as it was early on, it was still engaging others to participate. One reviewer remarked that the project appeared to coordinate well across a large field of stakeholders, and demonstrated an ability to properly utilize stakeholders, as necessary, while leading a process that appeared uncomplicated to its users. Another reviewer felt that once the project was more established and had a proven track record, other businesses would also want to participate.</p>
<p>In terms of future work, reviewers felt that the overall approach to the full project cycle was very thorough, and gave thought to the degree of attention that each step required. One reviewer commented that there had clearly been a lot of good input in the project's design, and that the project team appeared have a clear handle on what the next steps were. However, another noted that the proposal for future work presented only a “broad strokes” vision of what the project should look like, whereas the reviewer would have liked to see more details.</p>
<p>One reviewer recommended that the project team reach out to Envision Charlotte team to have a conversation on lessons learned from Charlotte’s successful program.</p>
<p>Program Response:</p>  
<p>Milwaukee will continue outreach through partners, training with auditing tools, and trialing the customer management tool to identify improvements. In the next budget period, DOE will be looking for the establishment of a new work study program and testing of the customer management tool with 30-50 buildings in multiple commercial building sectors.</p>"
Commercial Buildings Integration,Energy Data Analysis & Modeling Tools,Institute for Market Transformation,Putting Data to Work,2016,http://energy.gov/eere/buildings/downloads/institute-market-transformation-putting-data-work,"<p>Weighted Average: 2.87   # of Reviewers: 5</p> 
<p>Relevance: 3.00    Approach: 2.70   Accomplishments: 2.80  Project Collaboration: 3.30   Future Work: 2.80</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers agreed on the relevance of this project to BTO’s goals, noting their expectations that the project’s activities would expand energy efficiency programs, and lead to more efficiency investments in the two pilot cities. One reviewer noted that it might be difficult to attribute city-wide efficiency improvements to this project, highlighting the importance of monitoring and evaluation, while another recommended the project focus more on substantiating any progress made toward its goals. Overall, many reviewers were optimistic about the potential for this project to have a positive impact in New York City, Washington, D.C., and other cities, although a few questioned whether the project’s activities could be effectively replicated across the country.</p>
<p>Reviewers expressed mixed opinions about the project’s approach and accomplishments, though some attributed a negative appraisal to the project’s nascence. Reviewers commented that the project’s activities were a good first step to reduce energy consumption in existing buildings, and that the project was adequately making progress given its early stages. However, reviewers highlighted several concerns about the project’s planned activities, notably that project did not fully or adequately identify market barriers to energy efficiency in the multifamily and commercial buildings sectors, nor did it explain how these barriers would be overcome.</p> 
<p>Other reviewer concerns included that reviewers uncertainty with how the project would make building performance data any more actionable than they already are; whether the toolkit would be effectively disseminated to the proper organizations in other pilot cities;, and – importantly – how energy audits would be completed so as to lead to the completion of energy efficiency retrofits. In regards to the toolkit that will be developed as party of this project, some reviewers felt that its details remained unclear, that no firm implementation plan had been presented, and that there was risk that the toolkit would not be properly distributed.</p>
<p>Reviewers felt that the project was connecting with some of the right people in pilot cities, including government officials and utility providers, but also that some important stakeholders in the private sector were being left out. Though project staff expressed their intention to collaborate with the private sector, reviewers felt that no clear-cut next steps were provided in this regard.</p>
<p>In terms of future work, one reviewer felt that there was a clear path forward for the initial 3 years. However, others remained concerned that, unless incentives were addressed by the project, building owners would likely not take action on their own to reduce energy consumption. Another reviewer stressed that the project needed to clarify how its toolkit would add value over and above the data already collected by energy efficiency programs.</p> 
<p>Reviewers recommended that the project had to effectively share its best practices in order to help other cities jump start their own programs, and also that the project should focus its deliverables according to target markets, noting that officials in different cities need very different resources and solutions.</p>
<p>Program Response:</p>
<p>Given some of the challenges that were expressed by the reviewers, the project will likely include a new Go/No-Go decision point to encourage incremental progress in both the development of the toolkit and the articulation of the value that this data can provide to program implementers. Steps will be taken to gather feedback on the toolkit throughout the duration of the project, leveraging new and existing networks through DOE and the Institute for Market Transformation (IMT), will support the effort to distribute and implement the final version of that toolkit that will provide an easily replicable solution for cities looking to gain value through leveraging their data resources.</p>"
