Program,Activity,Presenting Organization,Project Title,URL,Text
Cross-Cutting,Overview,U.S. Department of Energy,Building Technologies Office Overview,https://www.energy.gov/eere/buildings/downloads/building-technologies-office-overview-bto-peer-review-2018,Overview of the Building Technologies Office.
Cross-Cutting,Plenary and Panel Session,Panel,Programs in Action,https://www.energy.gov/eere/buildings/downloads/programs-action-bto-peer-review-2018,"Opening plenary panel session introducing BTO's Emerging Technologies, Residential Buildings Integration, and Commercial Buildings Integration Programs and exploring how other organizations are addressing BTOâ€™s research interests."
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",U.S. Department of Energy,"HVAC, Water Heating, and Appliances Overview",https://www.energy.gov/eere/buildings/downloads/hvac-water-heating-and-appliances-overview-bto-peer-review-2018,"Overview of the BTO's HVAC, Water Heating, and Appliances R&D subprogram."
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Optimized Thermal Systems,Advanced Serpentine Heat Exchangers,http://www.energy.gov/eere/buildings/downloads/advanced-serpentine-heat-exchangers-minimize-number-joints-and-leakage,"<p><b>Weighted Average:</b> 3.05<span style='padding-left:1em'></span><b># of Reviewers:</b> 6</p><p><b>Approach:</b> 3.00<span style='padding-left:1em'></span><b>Impact:</b> 2.83<span style='padding-left:1em'></span><b>Progress:</b> 2.83</p><p><b> Collaboration & Coordination:</b> 3.67<span style='padding-left:1em'></span><b>Remaining Project Work:</b> 2.83</p><br />
<p><b>BRIEF SUMMARY OF REVIEWER COMMENTS</b></p>
<p>Reviewers agreed that this project’s approach was solid, as it addresses key problems in heat exchanger (HX) manufacturing and can produce incremental improvements in performance by reducing the number of HX joints. Reviewers did identify several potential issues with the approach, however. One reviewer flagged that there was no risk mitigation strategy for the HX design’s split-type joints, while another remarked that further validation was required to demonstrate that the new joint type does not result in higher leakage that offsets the gains of a serpentine design. One reviewer was “suspicious” about the long-term viability of the split-type joints, while another flagged that the project team was not considering internally enhanced tubes, which the reviewer identified as being a significant part of the HVAC industry today. To address some of these issues, reviewers made a number of recommendations, including conducting performance testing earlier in the process to identify potential issues as soon as possible and conducting an analysis of energy savings potential due to reduced leakage versus energy consumption increases due to pressure drop.</p>
<p>Many of the reviewers were unclear on this novel HX design’s potential impact, with one commenting that not all brazing joints have the same risk of leaking, and another flagging that the general serpentine joint may help reduce leakage, but it might also cost more energy as a result of the pressure drop. Two reviewers, highlighted the potentially significant impact of the technology if a prototype is validated, commercialized, and adopted widely.</p>
<p>Reviewers agreed that the project had progressed satisfactorily based on the project team’s schedule, though one reviewer noted that the project is somewhat behind in its efforts to optimize fin geometry. The team has partnered with several companies along the entire supply chain, which all reviewers applauded, with one reviewer noting in particular how these strategic collaborations would help with technology development and commercialization.</p>
<p>As the project continues, a majority of reviewers found the remaining project work to be on track, though two reviewers voiced concerns. One reviewer noted in particular that a very significant challenge that remains is scaling up the project’s approach for manufacturability, commenting further that, at this stage, performance and manufacturing issues will pose the highest risk to the project’s success and market adoption. Another reviewer similarly highlighted the potential challenges of transitioning from analysis to prototyping.</p>"
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Trane,Improved Braze Joint Quality Through use of Enhanced Surface Technologies,http://www.energy.gov/eere/buildings/downloads/improved-braze-joint-quality-through-use-enhanced-surface-technologies,"<p><b>Weighted Average:</b> 3.18<span style='padding-left:1em'></span><b># of Reviewers:</b> 5</p><p><b>Approach:</b> 3.40<span style='padding-left:1em'></span><b>Impact:</b> 3.20<span style='padding-left:1em'></span><b>Progress:</b> 2.60</p><p><b> Collaboration & Coordination:</b> 3.40<span style='padding-left:1em'></span><b>Remaining Project Work:</b> 3.00</p><br />
<p><b>BRIEF SUMMARY OF REVIEWER COMMENTS</b></p>
<p>Reviewers generally found this project’s use of enhanced surface braze joints to reduce refrigerant leakage to be innovative. One reviewer described that the approach’s focus on improving a specific manufacturing process reduced the project’s scope of effort required to achieve its goal, and minimized the variables that could negatively impact project outcomes. In contrast, however, a different reviewer remarked that the approach was actually unclear based on the Peer Review presentation, describing further that the efforts of the project team and its partners appeared to be totally independent, and that it was not clear how the project’s modeling and experimental efforts would be utilized in the future.</p>
<p>Across the board, reviewers felt that this project had the potential to positively impact the incidence of refrigeration leaks and brazing issues, as well as reduce the quantity of brazing materials used. Reviewers did note, however, that the project team did not quantify an impact on energy savings, and also that the project could potentially cause a large increase in production costs, which would limit adoption and therefore impact.</p>
<p>Reviewers were split on their appraisal of the progress that the project had made. One noted the project’s 6 month delay due to problems with the test apparatus, two others commented that the project had progressed and was on schedule to meet future milestones, and one opined that the Peer Reviewer presentation could have included more precise measure of accomplishments. Reviewers were also split on the remaining project work. Half of the reviewers noted that the project had a very specific project plan that was on schedule, while the other half felt that no details were shared, and that work that would be done in the future was unclear. One reviewer recommended that, as the project moves forward, the project team should consider other technologies for reducing braze materials, including 3D printing as well as polymer and composite materials.</p>
<p>All reviewers agreed on the success of the project’s partnerships and collaboration with industry and academia. One reviewer enthusiastically added that a government funded, original equipment manufacturer-led, academia-supported, peer-reviewed project was “the best arrangement for… applied R&D success!”</p> 
<p>Reviewers were most pleased with the project’s potential impacts, particularly it’s potential to reduce leaks and lower manufacturing costs. Another reviewer highlighted the project team’s work with Trane’s Advanced Manufacturing Engineering group—focused on validating and demonstrating the project’s joint strengthening design—as the project’s most significant strength. The most common weakness flagged by reviewers was the Peer Review presentation itself, with reviewers recommending that the project team share information on relevant outcomes and proposed impacts more directly.</p>"
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",University of Maryland,"Design and Manufacturing of High Performance, Reduced Charge Heat Exchangers",https://energy.gov/eere/buildings/downloads/design-and-manufacturing-high-performance-reduced-charge-heat-exchangers,"This project was presented, but not reviewed, at the 2018 BTO Peer Review."
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",United Technologies Research Center,High-Efficiency Low-GWP Compressor,http://energy.gov/eere/buildings/downloads/high-efficiency-low-global-warming-potential-gwp-compressor,"<p><b>Weighted Average:</b> 3.05<span style='padding-left:1em'></span><b># of Reviewers:</b> 5</p><p><b>Approach:</b> 3.00<span style='padding-left:1em'></span><b>Impact:</b> 3.40<span style='padding-left:1em'></span><b>Progress:</b> 3.00</p><p><b> Collaboration & Coordination:</b> 2.80<span style='padding-left:1em'></span><b>Remaining Project Work:</b> N/A</p><br />
<p><b>BRIEF SUMMARY OF REVIEWER COMMENTS</b></p>
<p>Reviewers offered mixed reviews of this project’s approach to designing and demonstrating a high-efficiency compressor for small-commercial rooftop units (RTUs) utilizing working fluids with low global warming potential (GWP). Three reviewers commented positively on the new compressor design, its high level of performance compared to existing technologies, and the rigor with which the project team tested the technology. Two reviewers, however, expressed that not enough information was provided for them to substantively evaluate the approach. Most reviewers similarly found the project’s weaknesses difficult to identify based on the data presented, but one reviewer did highlight that in order for the new compressor design to work well and cost-effectively, significant RTU system redesigns would be required.</p>
<p>Most reviewers commented that the project had hit its targets and met its project-specific goals, though one reviewer noted that an efficiency target was not hit for one of the Air-Conditioning & Refrigeration Institute’s standard operating conditions that was tested (i.e. ARI-B). Another reviewer commented that they felt there was insufficient enough information to judge the project’s progress.</p>
<p>Reviewers were unanimous on this project’s potential to achieve significant market impacts, in large part because of the new design’s use of low-GWP fluids and nonflammable, environmentally-safe refrigerants. Two reviewers highlighted the favorable market trends for this technology, predicting that compatible high-efficiency compressors will become valuable as the market moves toward low-GWP fluids, and also pointing to this technology’s potential application in a variety of products. </p>
<p>Reviewers were divided on the project’s collaborations. Two reviewers approved of, and applauded, the project team’s partnership with Carrier, commenting that having an original equipment manufacturer with significant market share on board could provide invaluable information on market forces, manufacturability, supply chain issues, as well as aid with commercialization. In contrast, one reviewer felt like the project team was not transparent about partner relationships, was critical of the fact that coordination with entities outside of Carrier was absent, and even identified the project’s close partnership with Carrier—and the fact that results from this federally-funded project could only be shared with Carrier—as a weakness that might hinder the long-term impact of the technology.</p>"
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",United Technologies Research Center,High-efficiency Low Global-Warming Potential (GWP) Packaged Rooftop System ,https://energy.gov/eere/buildings/downloads/high-efficiency-low-global-warming-potential-gwp-packaged-rooftop-system,"This project was presented, but not reviewed, at the 2018 BTO Peer Review."
Emerging Technologies,R&D - Sensors & Controls,U.S. Department of Energy,Sensors & Controls Overview,https://www.energy.gov/eere/buildings/downloads/sensors-controls-overview-bto-peer-review-2018,Overview of the BTO's Sensors and Controls R&D subprogram.
Emerging Technologies,R&D - Sensors & Controls,"PARC, a Xerox Company",Passively-Powered Adaptively-Located Flexible Hybrid Sensors ,https://energy.gov/eere/buildings/downloads/passively-powered-adaptively-located-flexible-hybrid-sensors,"<p><b>Weighted Average:</b> 3.49<span style='padding-left:1em'></span><b># of Reviewers:</b> 4</p><p><b>Approach:</b> 3.50<span style='padding-left:1em'></span><b>Impact:</b> 3.25<span style='padding-left:1em'></span><b>Progress:</b> 3.75</p><p><b> Collaboration & Coordination:</b> 3.50<span style='padding-left:1em'></span><b>Remaining Project Work:</b> 3.50</p><br />
<p><b>BRIEF SUMMARY OF REVIEWER COMMENTS</b></p>
<p>Overall, reviewers agreed that this project is implementing an innovative and well-thought-out approach for a low-cost, remotely-powered sensor platform, with one reviewer highlighting the strong capability of the platform’s equipment to be adapted to multiple communication protocols, building management systems (BMS), and transducer elements. Most reviewers, however, also pointed out limitations or uncertainties with the technology, including concerns over the power supply, communication distance, integration of multiple sensors within a single zone, and possible line-of-sight interference. One reviewer was also unclear about the backward communications from BMS to the sensors.</p>
<p>Multiple reviewers noted that the project is likely to meet programmatic goals related to wireless communication, reduced installation cost, and interoperability. However, reviewers disagreed on whether the project will meet its energy savings targets. One reviewer commented that the amount of energy savings from improving the granularity of building environmental (e.g., temperature and humidity) monitoring through additional sensors remains to be proven. Occupant comfort and thermal management might be more impactful applications. Another reviewer was concerned about the payback period limiting adoption and resulting energy savings.</p>
<p>All reviewers agreed that the project has progressed very well to-date and looks to be meeting scheduled planned milestones and deliverables. Reviewers also agreed that the project has a good mix of appropriate stakeholders, including BMS providers.</p>
<p>While most reviewers described the remaining work as meaningful, reasonable, and expected to be completed within the envisioned timeframe, one reviewer expressed concern over the short amount of time remaining to complete development of the remaining electronic components as well as to conduct the final testing and validation. Another reviewer noted that the project presentation did not include a commercialization process or plan. Finally, multiple reviewers suggested addressing cybersecurity issues, particularly in regards to vulnerabilities related to communication protocols.</p>"
