Program,Activity,Presenting Organization,Project Title,URL,Text,Activity_Detail
EMT: Emerging Technologies,R&D - Building Controls ,LBNL,AFDD: Evaluation of Fault Prevalence in Commercial Buildings,https://www.energy.gov/eere/buildings/downloads/evaluation-fault-prevalence-commercial-buildings,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Controls ,LBNL,AFDD: Test Datasets and Prioritization Methods,https://www.energy.gov/eere/buildings/downloads/fault-detection-and-diagnostics-test-datasets-and-prioritization-methods,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Controls ,LBNL,Benchmark Datasets ,https://www.energy.gov/eere/buildings/downloads/benchmarking-datasets-building-environmental-conditions-and-occupancy,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Controls ,LBNL,Risk-Based Framework for Dynamic Assessment and Prioritization of Flexible Building Loads,https://www.energy.gov/eere/buildings/downloads/risk-based-framework-dynamic-assessment-and-prioritization-flexible ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Controls ,ORNL,Hierarchical Model-Free Transactive Control,https://www.energy.gov/eere/buildings/downloads/hierarchal-model-free-transactive-control-building-loads-support-grid,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Controls ,ORNL,Scalable Load Management,https://www.energy.gov/eere/buildings/downloads/scalable-load-management-using-reinforcement-learning,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Controls ,NREL,Behind the Meter Storage Analysis with VTO and  SETO,https://www.energy.gov/eere/buildings/articles/behind-meter-storage-analysis-vto-and-seto,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Controls ,ORNL,Smart Neighborhoods,https://www.energy.gov/eere/buildings/downloads/smart-neighborhoods-research-and-field-verification,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Controls ,PNNL,Connected Homes Solution,https://energy.gov/eere/buildings/downloads/connected-neighborhood-southeast-us,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Controls ,PNNL,Scaling of Building Transactive Control (aka Campus project),https://www.energy.gov/eere/buildings/articles/scaling-building-transactive-control-aka-campus-project ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Controls ,ANL,Data Driven Weather and Energy Forecasting ,https://www.energy.gov/eere/buildings/downloads/spatial-temporal-data-driven-weather-and-energy-forecasting-improved,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Controls ,NREL,Machine-Learning-Driven Site-Specific Weather Inference ,https://www.energy.gov/eere/buildings/downloads/machine-learning-driven-site-specific-weather-inference-building-energy,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Controls ,NREL,Deep Reinforcement Learning for GEB,https://www.energy.gov/eere/buildings/downloads/deep-reinforcement-learning-grid-interactive-energy-efficient-buildings,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Controls ,LBNL,"Hot, Cold, or Just Right: Using a Wide-view Infrared Biometric Sensor to Improve Occupant Comfort and Reduce Overcooling in Buildings",https://www.energy.gov/eere/buildings/downloads/hot-cold-or-just-right-using-wide-view-infrared-biometric-sensor-improve,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Controls ,University of Central Florida,Building Intelligence with Layered Defense using Security-Constrained Optimization and Security Risk Detection (BUILD-SOS): A Probabilistic Approach,https://www.energy.gov/eere/buildings/downloads/building-intelligence-layered-defense-using-security-constrained,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Controls ,General Electric,Adaptive Cyber-Physical Resilience for Building Control System,https://www.energy.gov/eere/buildings/downloads/adaptive-cyber-physical-resilience-building-control-systems,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Controls ,Texas A&M University,Securing Grid-interactive Efficient Buildings (GEB) through Cyber Defense and Resilient System (CYDRES),https://www.energy.gov/eere/buildings/downloads/securing-grid-interactive-efficient-buildings-geb-through-cyber-defense-and,Reviewer comment summaries and scores coming soon.,
RBI: Residential Buildings Integration,R&D - Opaque Envelope,ORNL,Field Study of Modified Atmosphere Insulation Technology for Vinyl Siding Retrofit,https://www.energy.gov/eere/buildings/downloads/field-study-modified-atmosphere-insulation-technology-vinyl-siding-retrofit,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Technology to Market,LBNL,IMPEL+,https://www.energy.gov/eere/buildings/articles/impel ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Windows,ANL,Transparent Thermochromic Smart Window Films,https://www.energy.gov/eere/buildings/articles/transparent-thermochromic-smart-window-films ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Windows,NREL,"Combining High Thermal Performance, Switchability, and Energy Generation into a Unified Durable Window Platform (Switchable and Color-Neutral Photovoltaic Windows)",https://www.energy.gov/eere/buildings/downloads/combining-high-thermal-performance-switchability-and-energy-generation,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Windows,ORNL,Pulse Strengthened and Laser Edge Sealed Vacuum Insulation Glazing,https://www.energy.gov/eere/buildings/downloads/pulse-strengthened-and-laser-edge-sealed-vacuum-insulation-glazing-0,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Windows,University of Colorado,Robust Large-Scale Dynamic Windows using Reversible Metal Electrodeposition,https://energy.gov/eere/buildings/downloads/robust-large-scale-dynamic-windows-using-reversible-metal-electrodeposition,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Windows,University of Maryland,"Low-Cost, Reliable, High-Performance Vacuum Insulated Glass (VIG) for Retrofit of Single-Pane Windows",https://www.energy.gov/eere/buildings/articles/low-cost-vacuum-insulated-glass-vig-retrofit-single-pane-windows ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Windows,Polyceed,"Low-Cost, High-Performance Electrochromic Devices",https://www.energy.gov/eere/buildings/articles/low-cost-high-performance-electrochromic-devices ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,"R&D - Building Electric Appliances, Devices, and Systems",ORNL,Sensors Impact Evaluation and Verification,https://www.energy.gov/eere/buildings/downloads/sensor-impact-evaluation-and-verification,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,"R&D - Building Electric Appliances, Devices, and Systems",University of Virginia,Improving Energy Efficiency of Wireless Communication Circuitry in MELs,https://energy.gov/eere/buildings/downloads/improving-energy-efficiency-wireless-communication-circuitry-miscellaneous,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,"R&D - Building Electric Appliances, Devices, and Systems",Columbia University,"Reducing Plug Load Electricity Footprint of Residential Buildings through Low Cost, Non-Intrusive Sub Metering and Personalized Feedback Technology",https://www.energy.gov/eere/buildings/downloads/reducing-residential-plug-load-energy-use-through-nonintrusive-submetering,This project was not formally reviewed.,
