Title,Program_Area,State,City,County,Status,URL
US Department of Veterans Affairs - Asian American and Pacific Islander Employment Program,Asian Americans; Veterans,Nationwide; AL; AK; AZ; AR; CA; CO; CT; DC; DE; FL; GA; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MA; MI; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NY; NC; ND; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; WA; WV; WI; WY; GU; AS; VI; MP,,,,https://www.diversity.va.gov/programs/aapi.aspx
US Equal Employment Opportunity Commission - Asian-Americans in the American Workforce,Asian Americans,Nationwide; AL; AK; AZ; AR; CA; CO; CT; DC; DE; FL; GA; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MA; MI; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NY; NC; ND; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; WA; WV; WI; WY; GU; AS; VI; MP,,,,https://www.eeoc.gov/special-report/asian-americans-american-workforce
Alabama Works! - Resources,Disabled Persons; General; Veterans,AL,Montgomery,,,https://alabamaworks.com/resources/#employertraining
Mesa Community College - Commitment to Excellence Emplouer Perferred Skills,Disabled Persons; General; Veterans,AZ,Mesa,,,https://www.mesacc.edu/workforce-development
Asian Americans For Equality - Workforce Development Program Launched in Flushing,Asian Americans,NY,Manhattan,,,https://www.aafe.org/2013/12/workforce-development-program-launched-in-flushing.html
Alaska Department of Labor and Workforce Development - Design Workforce Development Programs,General,AK,Juneau,,,https://labor.alaska.gov/dets/step.htm
University of Alaska - Workforce Development,General,AK,Anchorage,,,https://www.alaska.edu/research/wd/plans/index.php
AIDT - AWTC - Alabama Workforce Training Center,General,AL,Montgomery,,,https://www.awtc.aidt.edu/index.php/about-us/our-parent-company
AL - Alabamas workforce development programs with the times,General,AL,This ,,,https://www.al.com/opinion/2018/07/alabama_workforce_development.html
AIDT - AWTC - Alabama Workforce Training Center,General,AL,Birmingham,,,https://www.aidt.edu/
Made in Alabama - Workforce and Training,General,AL,Montgomery,,,https://www.madeinalabama.com/why-alabama/workforce-training/workforce-initiatives/training-programs/adult-programs/
Arkansas Inc - Incentives,General,AR,Little Rock,,,https://www.arkansasedc.com/why-arkansas/business-climate/incentives/incentives
Entergy - Arkansas,General,AR,,,,https://goentergy.com/our-region/arkansas/
White River Planning & Development  Inc - Workforce Development and Training,General,AR,Batesville,,,https://www.wrpdd.org/workforce-development-and-training
Arizona Department of Economic Security - Your Partner for a Stronger Arizona,General,AZ,Phoenix,,,https://des.az.gov/content/arizona-state-plan
