Title,Program_Area,State,City,County,Status,URL,Comments
LIHEAP,Federal,Nationwide; AL; AK; AZ; AR; CA; CO; CT; DC; DE; FL; GA; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MA; MI; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NY; NC; ND; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; WA; WV; WI; WY; GU; AS; VI; MP,,,Rent; Own,https://www.acf.hhs.gov/ocs/programs/liheap,Eligible in each state
Alabama Power,State,AL,,,Rent; Own,https://www.alabamapower.com/residential/billing-and-payment-options/payment-assistance-programs.html,
Community Action Partnership Association of Alabama,State,AL,,,Rent; Own,https://capna.org/energy-assistance/,
Alaska Department of Health and Social Service - Division of Public Assistance,State,AK,,,Rent; Own,http://dhss.alaska.gov/dpa/Pages/hap/default.aspx,
Regional Housing Authority,State,AK,Juneau,,Rent; Own,https://www.regionalhousingauthority.org/improve-your-home/low-income-energy-assistance-program-liheap-2/,
Arizona Department of Economic Security (Utility Assistance),State,AZ,,,Rent; Own,https://des.az.gov/services/basic-needs/shelter-housing/utility-assistance,
Arizona Department of Economic Security (Community Action Agencies),Local,AZ,,,Rent; Own,https://des.az.gov/services/basic-needs/community-action-agencies,Eligible in specific Counties
Arkansas Department of Human Services (LIHEAP),State,AR,,,Rent; Own,https://humanservices.arkansas.gov/about-dhs/dco/programs-services,
US Department of Health and Human Services,State,AR,,,Rent; Own,https://liheapch.acf.hhs.gov/profiles/Arkansas.htm,
California Department of Community services & Development (LIHEAP),State,CA,Sacramento,,Rent; Own,https://csd.ca.gov/Pages/LIHEAPProgram.aspx,
Colorado Department of Human Services (LEAP),State,CO,,,Rent; Own,https://www.colorado.gov/pacific/cdhs/leap,
Energy Outreach Colorado,State,CO,,,Rent; Own,https://www.energyoutreach.org/programs-for-individuals/bill-payment-assistance/,
Connecticut's Official State Website,State,CT,,,Rent; Own,https://portal.ct.gov/DSS/Economic-Security/Winter-Heating-Assistance/Energy-Assistance---Winter-Heating,
Ever Source,State,CT; NH; MA,,,Rent; Own,https://www.eversource.com/content/ct-c/residential/my-account/billing-payments/help-pay-my-bill/conn-energy-assistance-program,
Delaware.gov (LIHEAP),State,DE,Dover,,Rent; Own,https://dhss.delaware.gov/dssc/liheap.html,
Delaware.gov (Weatherization),State,DE,Dover,,Rent; Own,https://dnrec.alpha.delaware.gov/climate-coastal-energy/renewable/assistance/,
Energy Assistance,State,FL,,,Rent; Own,https://www.energyassistance.us/state/florida,
Florida City Gas,State,FL,,,Rent; Own,https://www.floridacitygas.com/residential/energy-assistance,
Low-Income Home Energy Assistance Program,State,FL,,,Own,http://www.liheap.us/florida-heap/,
Department of Human Services Division of Family & Children Services,State,GA,Atlanta,,Rent; Own,https://dfcs.georgia.gov/services/low-income-home-energy-assistance-program-liheap,
Georgia Power,State,GA,,,Rent; Own,https://www.georgiapower.com/energyassistance,
Department of Human Services (LIHEAP),State,HI,,,Rent; Own,http://humanservices.hawaii.gov/bessd/liheap/,
Department of Commerce and Consumer Affairs,State,HI,,,Rent; Own,http://cca.hawaii.gov/dca/hawaii-low-income-home-energy-assistance-program-liheap/,
Community Action Partnership Association of Idaho (LIHEAP),State,ID,Boise,,Rent; Own,https://www.benefits.gov/benefit/1555,
Keep warm Illinois (LIHEAP),State,IL,,,Rent; Own,https://www2.illinois.gov/sites/KeepWarm/Pages/FamilyAssistance.aspx,
Illinois Department of commerce and Economic Opportunity,State,IL,,,Rent; Own,https://www2.illinois.gov/dceo/CommunityServices/UtilityBillAssistance/Pages/default.aspx,
Indiana Housing & Community Development Authority (LHIEAP),State,IN,,,Rent; Own,https://www.in.gov/ihcda/4067.htm,
Good Samaritan Network,Local,IN,Fishers,Hamilton,Rent; Own,https://www.gsnlive.org/energyassistanceprogram,
Iowa Department of Human Rights (LIHEAP),State,IA,,,Rent; Own,https://humanrights.iowa.gov/dcaa/liheap,
Iowa Department of Human Rights (WAP),State,IA,,,Rent; Own,https://humanrights.iowa.gov/dcaa/weatherization,
Kansas Department for Children and Families (Economic and Employment Services/ Energy Assistance),State,KS,,,Rent; Own,http://www.dcf.ks.gov/services/ees/Pages/Energy/EnergyAssistance.aspx,
Kentucky Cabinet for Health and Family Services,State,KY,,,Rent,https://chfs.ky.gov/agencies/dcbs/dfs/pdb/Pages/liheap.aspx,
Louisiana Housing Corporation (Energy Assistance),State,LA,Baton Rouge,,Rent; Own,https://www.lhc.la.gov/energy-assistance,
US Department of Health and Human Services,State,LA,,,Rent; Own,https://liheapch.acf.hhs.gov/profiles/Louisiana.htm,
Louisiana Housing Corporation (Weatherization Assistance Program(WAP)),State,LA,,,Rent; Own,https://www.lhc.la.gov/weatherization-assistance-program-wap,
Maine State Housing Authority (LIHEAP),State,ME,,,Rent; Own,https://www.mainehousing.org/programs-services/energy/energydetails/low-income-home-energy-assistance-program,https://www.maine.gov/legis/housedems/liheap.htm
Maine State Housing Authority (Weatherization),State,ME,,,Rent; Own,https://www.mainehousing.org/programs-services/energy/energydetails/weatherization,
Department of Human Services,State,MD,Baltimore,,Rent; Own,http://dhs.maryland.gov/office-of-home-energy-programs/,
Mass.gov - Housing Energy Programs,State,MA,,,Rent; Own,https://www.mass.gov/housing-energy-programs,
Energy Assistance,State,MA,,,Rent; Own,https://www.energyassistance.us/state/massachusetts,
Mass.gov - Home Energy Assistance Programs,State,MA,,,Rent; Own,https://www.mass.gov/home-energy-assistance-programs,
Michigan Department of Health and Human Services,State,MI,,,Rent; Own,"https://www.michigan.gov/som/0,4669,7-192-47796-479528--,00.html",
Minnesota Energy Resources,State,MN,,,Rent; Own,https://accel.minnesotaenergyresources.com/home/lieap.aspx,
Minnesota Commerce Department,State,MN,,,Rent; Own,https://mn.gov/commerce/consumers/consumer-assistance/energy-assistance/,
Mississippi Department of Human Services (LIHEAP),State,MS,,,Rent; Own,https://www.mdhs.ms.gov/community-services/assistance-programs/,
Mississippi Department of Human Services (Weatherization),State,MS,,,Rent; Own,https://www.mdhs.ms.gov/community-services/weatherization-assistance/,
Missouri Department of Social Services,State,MO,,,Rent; Own,https://dss.mo.gov/fsd/energy-assistance/index.htm,
Montana Department of Public Health & Human Services (LIHEAP),State,MT,,,Rent; Own,https://dphhs.mt.gov/hcsd/energyassistance,
Energy Share of Montana,State,MT,Helena,,Rent; Own,https://www.energysharemt.com/,
Nebraska DHHS (Energy Assistance (LIHEAP),State,NE,,,Rent; Own,http://dhhs.ne.gov/Pages/Energy-Assistance.aspx,
Nevada DHHS Division of Welfare and Supportive Services,State,NV,,,Rent; Own,https://dwss.nv.gov/Energy/1_Energy_Assistance/,
Nevada Energy - Project REACH (Relief Through Energy Assistance to Prevent Customer Hardships),Local,NV,,,Rent; Own,https://www.nvenergy.com/account-services/assistance-programs/project-reach,Southern NV Services
Nevada's Special Assistance Fund for Energy (SAFE),Local,NV,,,Rent; Own,https://www.nvenergy.com/account-services/assistance-programs/safe,Northern NV Services
Office of Strategic Initiatives,state,NH,,,Own,https://www.nh.gov/osi/energy/programs/fuel-assistance/index.htm,Fuel
Human Service Department (LIHEAP),State,NM,,,Rent; Own,https://www.hsd.state.nm.us/LookingForAssistance/Low_Income_Home_Energy_Assistance_Program.aspx,
National Grid,State,NY; MN; RI,,,Rent; Own,https://www.nationalgridus.com/Upstate-NY-Home/Bill-Help/Energy-Affordability-Program,
NCDHHS,State,NC,,,Rent; Own,https://www.ncdhhs.gov/assistance/low-income-services/low-income-energy-assistance,
Cumberland County Department of Social Services,Local,NC,Fayetteville,Cumberland,Rent; Own,http://www.ccdssnc.com/energy-assistance-programs/,
North Dakota Human Services (LIHEAP),State,ND,,,Rent; Own,https://www.nd.gov/dhs/services/financialhelp/energyassist.html,
Ohio Development Services Agency,State,OH,Columbus,,Rent; Own,https://www.development.ohio.gov/is/is_energyassist.htm,
Ohio Public Utilities Commission,State,OH,Columbus,,Rent; Own,https://www.puco.ohio.gov/be-informed/consumer-topics/energy-assistance-programs-help-with-paying-your-utility-bills/,
Oklahoma Human Services (LIHEAP),State,OK,,,Rent; Own,http://www.dcf.ks.gov/services/ees/Pages/Energy/EnergyAssistance.aspx,
Oregon Housing and Community Services (LIHEAP),State,OR,Salem,,Rent; Own,https://www.oregon.gov/ohcs/Pages/low-income-energy-assistance-oregon.aspx,
State of Rhode Island Office of Energy Resources,State,RI,,,Own,http://www.energy.ri.gov/policies-programs/programs-incentives/,
State of Rhode Island Department of Human Services,State,RI,,,Rent; Own,http://www.dhs.ri.gov/Programs/HEAPProgramInfo.php,
South Carolina Office of Economic Opportunity,State,SC,,,Rent; Own,http://oeo.sc.gov/liheap.html,
Dominion Energy,State,SC,,,Rent; Own,https://www.sceg.com/paying-my-bill/assistance-programs,
South Carolina Office of Economic Opportunity,State,SC,,,Rent; Own,http://oeo.sc.gov/weatherization.html,
