Title,Program_Area,State,City,County,Status,URL,Comments,
Alabama Power,State,AL,,,Rent; Own,https://www.alabamapower.com/residential/billing-and-payment-options/payment-assistance-programs.html,,
Alaska Department of Health and Social Service - Division of Public Assistance,State,AK,,,Rent; Own,http://dhss.alaska.gov/dpa/Pages/hap/default.aspx,,
Arizona Department of Economic Security (Community Action Agencies),Local,AZ,,,Rent; Own,https://des.az.gov/services/basic-needs/community-action-agencies,Eligible in specific Counties,
Arizona Department of Economic Security (Utility Assistance),State,AZ,,,Rent; Own,https://des.az.gov/services/basic-needs/shelter-housing/utility-assistance,,
Arkansas Department of Human Services (LIHEAP),State,AR,,,Rent; Own,https://humanservices.arkansas.gov/about-dhs/dco/programs-services,,
Bear River Association of Governments,Local,UT,Perry/Logan,,Rent; Own,http://brag.utah.gov/test-1/heat-utility-assistance-program/,,
Benefits .gov,State,TN,,,Rent; Own,https://www.benefits.gov/benefit/1577,Eligible in each county https://s3.amazonaws.com/thda.org/Documents/Business-Partners/Grant-Administrators/LIHEAP-Contacts-2.pdf,
BGE,State,MD,Baltimore,,Rent; Own,https://www.bge.com/MyAccount/CustomerSupport/Pages/BillPaymentAssistance.aspx,,
Bureau for Children and Families,State,WV,,,Rent; Own,https://dhhr.wv.gov/bcf/Services/familyassistance/Pages/Utility-Assistance.aspx,,
California Department of Community services & Development (LIHEAP),State,CA,Sacramento,,Rent; Own,https://csd.ca.gov/Pages/LIHEAPProgram.aspx,,
Colorado Department of Human Services (LEAP),State,CO,,,Rent; Own,https://www.colorado.gov/pacific/cdhs/leap,,
Community Action,State,ND,,,Rent; Own,https://www.sendcaa.org/energy_rehab/programs/coolingassistance.html,,
Community Action Partnership Association of Alabama,State,AL,,,Rent; Own,https://capna.org/energy-assistance/,,
Community Action Partnership Association of Idaho (LIHEAP),State,ID,Boise,,Rent; Own,https://www.benefits.gov/benefit/1555,,
Connecticut's Official State Website,State,CT,,,Rent; Own,https://portal.ct.gov/DSS/Economic-Security/Winter-Heating-Assistance/Energy-Assistance---Winter-Heating,,
Cumberland County Department of Social Services,Local,NC,Fayetteville,Cumberland,Rent; Own,http://www.ccdssnc.com/energy-assistance-programs/,,
DC.Gov,State,DC,Washington,,Rent; Own,https://dc.gov/page/utilities-shutdown,,
DC.Gov,State,DC,Washington,,Rent; Own,https://doee.dc.gov/liheap,,
Delaware.gov (LIHEAP),State,DE,Dover,,Rent; Own,https://dhss.delaware.gov/dssc/liheap.html,,
Delaware.gov (Weatherization),State,DE,Dover,,Rent; Own,https://dnrec.alpha.delaware.gov/climate-coastal-energy/renewable/assistance/,,
Department for Children and Families,State,VT,,,Rent; Own,https://dcf.vermont.gov/benefits/eap,,
Department of Commerce and Consumer Affairs,State,HI,,,Rent; Own,http://cca.hawaii.gov/dca/hawaii-low-income-home-energy-assistance-program-liheap/,,
Department of Community affairs,State,NJ,Trenton,,Rent; Own,https://www.nj.gov/dca/divisions/dhcr/offices/hea.html,,
Department of Human Services,State,MD,Baltimore,,Rent; Own,http://dhs.maryland.gov/office-of-home-energy-programs/,,
Department of Human Services (LIHEAP),State,HI,,,Rent; Own,http://humanservices.hawaii.gov/bessd/liheap/,,
Department of Human Services Division of Family & Children Services,State,GA,Atlanta,,Rent; Own,https://dfcs.georgia.gov/services/low-income-home-energy-assistance-program-liheap,,
Department of Public Service - Vermont Energy Saver,State,VT,,,Rent; Own,https://energysaver.vermont.gov/programs-incentives,,
Department of Social Services,State,MO,Jefferson City,,Rent; Own,https://dss.mo.gov/fsd/energy-assistance/,,
Dominion Energy,State,SC,,,Rent; Own,https://www.sceg.com/paying-my-bill/assistance-programs,,
DSS Strong Families - South Dakota's Foundations and Our Future,State,SD,,,Rent; Own,https://dss.sd.gov/economicassistance/energyassistance/lowincome.aspx,,
DSS Strong Families - South Dakota's Foundations and Our Future (Weatherization),State,SD,,,Rent,https://dss.sd.gov/economicassistance/energyassistance/weatherization.aspx,,
Energy,State,KS,,,Rent; Own,https://www.evergy.com/manage-account/billing/financial-help/low-income-energy-assistance-program,,
Energy Assistance,State,FL,,,Rent; Own,https://www.energyassistance.us/state/florida,,
Energy Assistance,State,MA,,,Rent; Own,https://www.energyassistance.us/state/massachusetts,,
Energy Outreach Colorado,State,CO,,,Rent; Own,https://www.energyoutreach.org/programs-for-individuals/bill-payment-assistance/,,
Energy Share of Montana,State,MT,Helena,,Rent; Own,https://www.energysharemt.com/,,
Ever Source,State,CT; NH; MA,,,Rent; Own,https://www.eversource.com/content/ct-c/residential/my-account/billing-payments/help-pay-my-bill/conn-energy-assistance-program,,
Florida City Gas,State,FL,,,Rent; Own,https://www.floridacitygas.com/residential/energy-assistance,,
Georgia Power,State,GA,,,Rent; Own,https://www.georgiapower.com/energyassistance,,
Georgia Public Service Commission,State,GA,Atlanta,,Rent; Own,http://www.psc.state.ga.us/consumer_corner/cc_advisory/payassist.asp,,
Good Samaritan Network,Local,IN,Fishers,Hamilton,Rent; Own,https://www.gsnlive.org/energyassistanceprogram,,
Home Energy (WHEAP),State,WI,,,Own,http://homeenergyplus.wi.gov/category.asp?linkcatid=239&linkid=118&locid=25,,
Hub Nashville Customer Service,Local,TN,Nashville,Davidson,Rent; Own,https://www.nashville.gov/Metro-Action-Commission/Community-Programs/Utility-Assistance-Program.aspx,,
Human Service Department (LIHEAP),State,NM,,,Rent; Own,https://www.hsd.state.nm.us/LookingForAssistance/Low_Income_Home_Energy_Assistance_Program.aspx,,
Idaho Power,State,ID,Carol Stream,,Rent; Own,https://www.idahopower.com/accounts-service/make-payment/help-paying-bill/,,
Illinois Department of commerce and Economic Opportunity,State,IL,,,Rent; Own,https://www2.illinois.gov/dceo/CommunityServices/UtilityBillAssistance/Pages/default.aspx,,
In Charge,State,FL,Orlando,,Rent; Own,https://www.incharge.org/debt-relief/i-cant-pay-electric-bill-get-help/,,
Indiana Housing & Community Development Authority (LHIEAP),State,IN,,,Rent; Own,https://www.in.gov/ihcda/4067.htm,,
Iowa Department of Human Rights (LIHEAP),State,IA,,,Rent; Own,https://humanrights.iowa.gov/dcaa/liheap,,
