Title,Program_Area,State,City,County,Status,URL,Comments
Alabama Power Energy Assistance,State,AL,,,Rent; Own,https://www.alabamapower.com/residential/billing-and-payment-options/payment-assistance-programs.html,
Alaska Department of Health and Social Service - Division of Public Assistance,State,AK,,,Rent; Own,http://dhss.alaska.gov/dpa/Pages/hap/default.aspx,
Arizona Department of Economic Security (Community Action Agencies),Local,AZ,,,Rent; Own,https://des.az.gov/services/basic-needs/community-action-agencies,Eligible in specific Counties
Arizona Department of Economic Security (Utility Assistance),State,AZ,,,Rent; Own,https://des.az.gov/services/basic-needs/shelter-housing/utility-assistance,
Arkansas Department of Human Services (LIHEAP),State,AR,,,Rent; Own,https://humanservices.arkansas.gov/about-dhs/dco/programs-services,
Bear River Association of Governments,Local,UT,Perry/Logan,,Rent; Own,http://brag.utah.gov/test-1/heat-utility-assistance-program/,
Benefits .gov,State,TN,,,Rent; Own,https://www.benefits.gov/benefit/1577,Eligible in each county https://s3.amazonaws.com/thda.org/Documents/Business-Partners/Grant-Administrators/LIHEAP-Contacts-2.pdf
BGE Bill Pay Assistance,State,MD,Baltimore,,Rent; Own,https://www.bge.com/MyAccount/CustomerSupport/Pages/BillPaymentAssistance.aspx,
Bureau for Children and Families Utilities Assistance,State,WV,,,Rent; Own,https://dhhr.wv.gov/bcf/Services/familyassistance/Pages/Utility-Assistance.aspx,
California Department of Community services & Development (LIHEAP),State,CA,Sacramento,,Rent; Own,https://csd.ca.gov/Pages/LIHEAPProgram.aspx,
Colorado Department of Human Services (LEAP),State,CO,,,Rent; Own,https://www.colorado.gov/pacific/cdhs/leap,
SENDCAA Cooling Assistance Program,State,ND,,,Rent; Own,https://www.sendcaa.org/energy_rehab/programs/coolingassistance.html,
Community Action Partnership Association of Alabama,State,AL,,,Rent; Own,https://capna.org/energy-assistance/,
Community Action Partnership Association of Idaho (LIHEAP),State,ID,Boise,,Rent; Own,https://www.benefits.gov/benefit/1555,
Connecticut's Official State Website,State,CT,,,Rent; Own,https://portal.ct.gov/DSS/Economic-Security/Winter-Heating-Assistance/Energy-Assistance---Winter-Heating,
Cumberland County Department of Social Services,Local,NC,Fayetteville,Cumberland,Rent; Own,http://www.ccdssnc.com/energy-assistance-programs/,
DC.Gov (Utilities Assistance),State,DC,Washington,,Rent; Own,https://dc.gov/page/utilities-shutdown,
DC.Gov (LIHEAP),State,DC,Washington,,Rent; Own,https://doee.dc.gov/liheap,
Delaware.gov (LIHEAP),State,DE,Dover,,Rent; Own,https://dhss.delaware.gov/dssc/liheap.html,
Delaware.gov (Weatherization),State,DE,Dover,,Rent; Own,https://dnrec.alpha.delaware.gov/climate-coastal-energy/renewable/assistance/,
Department for Children and Families (Energy Assistance Program) ,State,VT,,,Rent; Own,https://dcf.vermont.gov/benefits/eap,
Department of Commerce and Consumer Affairs (Energy Assistance Program),State,HI,,,Rent; Own,http://cca.hawaii.gov/dca/hawaii-low-income-home-energy-assistance-program-liheap/,
Department of Community Affairs (LIHEAP),State,NJ,Trenton,,Rent; Own,https://www.nj.gov/dca/divisions/dhcr/offices/hea.html,
Department of Human Services (Office of Home Energy Programs),State,MD,Baltimore,,Rent; Own,http://dhs.maryland.gov/office-of-home-energy-programs/,
Department of Human Services (LIHEAP),State,HI,,,Rent; Own,http://humanservices.hawaii.gov/bessd/liheap/,
Department of Human Services Division of Family & Children Services,State,GA,Atlanta,,Rent; Own,https://dfcs.georgia.gov/services/low-income-home-energy-assistance-program-liheap,
Department of Public Service - Vermont Energy Saver,State,VT,,,Rent; Own,https://energysaver.vermont.gov/programs-incentives,
Department of Social Services,State,MO,Jefferson City,,Rent; Own,https://dss.mo.gov/fsd/energy-assistance/,
Dominion Energy (Energy Assistance),State,SC,,,Rent; Own,https://www.sceg.com/paying-my-bill/assistance-programs,
DSS Strong Families - South Dakota's Foundations and Our Future,State,SD,,,Rent; Own,https://dss.sd.gov/economicassistance/energyassistance/lowincome.aspx,
DSS Strong Families - South Dakota's Foundations and Our Future (Weatherization),State,SD,,,Rent,https://dss.sd.gov/economicassistance/energyassistance/weatherization.aspx,
Evergy (LIHEAP),State,KS,,,Rent; Own,https://www.evergy.com/manage-account/billing/financial-help/low-income-energy-assistance-program,
Florida Energy Assistance,State,FL,,,Rent; Own,https://www.energyassistance.us/state/florida,
Massachusetts Energy Assistance,State,MA,,,Rent; Own,https://www.energyassistance.us/state/massachusetts,
Energy Outreach Colorado,State,CO,,,Rent; Own,https://www.energyoutreach.org/programs-for-individuals/bill-payment-assistance/,
Energy Share of Montana,State,MT,Helena,,Rent; Own,https://www.energysharemt.com/,
Ever Source (Energy Assistance Program) ,State,CT; NH; MA,,,Rent; Own,https://www.eversource.com/content/ct-c/residential/my-account/billing-payments/help-pay-my-bill/conn-energy-assistance-program,
Florida City Gas Energy Assistance,State,FL,,,Rent; Own,https://www.floridacitygas.com/residential/energy-assistance,
Georgia Power Energy Assistance,State,GA,,,Rent; Own,https://www.georgiapower.com/energyassistance,
Georgia Public Service Commission Assistance,State,GA,Atlanta,,Rent; Own,http://www.psc.state.ga.us/consumer_corner/cc_advisory/payassist.asp,
Good Samaritan Network,Local,IN,Fishers,Hamilton,Rent; Own,https://www.gsnlive.org/energyassistanceprogram,
Home Energy (WHEAP),State,WI,,,Own,http://homeenergyplus.wi.gov/category.asp?linkcatid=239&linkid=118&locid=25,
Hub Nashville Customer Service Utility Assistance Program ,Local,TN,Nashville,Davidson,Rent; Own,https://www.nashville.gov/Metro-Action-Commission/Community-Programs/Utility-Assistance-Program.aspx,
Human Service Department (LIHEAP),State,NM,,,Rent; Own,https://www.hsd.state.nm.us/LookingForAssistance/Low_Income_Home_Energy_Assistance_Program.aspx,
Idaho Power Payment Assistance,State,ID,Carol Stream,,Rent; Own,https://www.idahopower.com/accounts-service/make-payment/help-paying-bill/,
Illinois Department of commerce and Economic Opportunity Utility Bill Assistance,State,IL,,,Rent; Own,https://www2.illinois.gov/dceo/CommunityServices/UtilityBillAssistance/Pages/default.aspx,
In Charge Payment Assistance,State,FL,Orlando,,Rent; Own,https://www.incharge.org/debt-relief/i-cant-pay-electric-bill-get-help/,
Indiana Housing & Community Development Authority (LHIEAP),State,IN,,,Rent; Own,https://www.in.gov/ihcda/4067.htm,
Iowa Department of Human Rights (LIHEAP),State,IA,,,Rent; Own,https://humanrights.iowa.gov/dcaa/liheap,
Iowa Department of Human Rights (WAP),State,IA,,,Rent; Own,https://humanrights.iowa.gov/dcaa/weatherization,
Kansas Department for Children and Families (Economic and Employment Services/ Energy Assistance),State,KS,,,Rent; Own,http://www.dcf.ks.gov/services/ees/Pages/Energy/EnergyAssistance.aspx,
Keep warm Illinois (LIHEAP),State,IL,,,Rent; Own,https://www2.illinois.gov/sites/KeepWarm/Pages/FamilyAssistance.aspx,Eligible in each state
Kentucky Cabinet for Health and Family Services (LIHEAP),State,KY,,,Rent,https://chfs.ky.gov/agencies/dcbs/dfs/pdb/Pages/liheap.aspx,
Office Of Community Services (LIHEAP),Federal,Nationwide; AL; AK; AZ; AR; CA; CO; CT; DC; DE; FL; GA; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MA; MI; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NY; NC; ND; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; WA; WV; WI; WY; GU; AS; VI; MP,,,Rent; Own,https://www.acf.hhs.gov/ocs/programs/liheap,
Louisiana Housing Corporation (Energy Assistance),State,LA,Baton Rouge,,Rent; Own,https://www.lhc.la.gov/energy-assistance,
Louisiana Housing Corporation (Weatherization Assistance Program(WAP)),State,LA,,,Rent; Own,https://www.lhc.la.gov/weatherization-assistance-program-wap,https://www.maine.gov/legis/housedems/liheap.htm
Florida (LIHEAP),State,FL,,,Own,http://www.liheap.us/florida-heap/,
Maine State Housing Authority (LIHEAP),State,ME,,,Rent; Own,https://www.mainehousing.org/programs-services/energy/energydetails/low-income-home-energy-assistance-program,
Maine State Housing Authority (Weatherization),State,ME,,,Rent; Own,https://www.mainehousing.org/programs-services/energy/energydetails/weatherization,
Mass.gov - Home Energy Assistance Programs,State,MA,,,Rent; Own,https://www.mass.gov/home-energy-assistance-programs,
Mass.gov - Housing Energy Programs,State,MA,,,Rent; Own,https://www.mass.gov/housing-energy-programs,
Michigan Department of Health and Human Services,State,MI,,,Rent; Own,"https://www.michigan.gov/som/0,4669,7-192-47796-479528--,00.html",
Michigan.gov,State,MI,Lansing,,Rent; Own,"https://www.michigan.gov/mpsc/0,9535,7-395-93308_93327_93336---,00.html",
Milwaukee County DHHS,Local,WI,Milwaukee,Milwaukee,Rent; Own,https://county.milwaukee.gov/EN/DHHS/Energy-Assistance,
Minnesota Commerce Department,State,MN,,,Rent; Own,https://mn.gov/commerce/consumers/consumer-assistance/energy-assistance/,
Minnesota Energy Resources,State,MN,,,Rent; Own,https://accel.minnesotaenergyresources.com/home/lieap.aspx,
Mississippi Department of Human Services (LIHEAP),State,MS,,,Rent; Own,https://www.mdhs.ms.gov/community-services/assistance-programs/,
Mississippi Department of Human Services (Weatherization),State,MS,,,Rent; Own,https://www.mdhs.ms.gov/community-services/weatherization-assistance/,
Missouri Department of Social Services,State,MO,,,Rent; Own,https://dss.mo.gov/fsd/energy-assistance/index.htm,
Montana Department of Public Health & Human Services (LIHEAP),State,MT,,,Rent; Own,https://dphhs.mt.gov/hcsd/energyassistance,
Energy Affordability Program - National Grid,State,NY; MN; RI,,,Rent; Own,https://www.nationalgridus.com/Upstate-NY-Home/Bill-Help/Energy-Affordability-Program,
Low Income Energy Assistance - North Carolina Department of Health and Human Services,State,NC,,,Rent; Own,https://www.ncdhhs.gov/assistance/low-income-services/low-income-energy-assistance,
"Nebraska Department of Environment & Energy Air, Land & Energy",State,NE,Lincoln,,Rent; Own,https://neo.ne.gov/programs/wx/wx.html,
Nebraska Department of Health and Human Services - Energy Assistance (LIHEAP),State,NE,,,Rent; Own,http://dhhs.ne.gov/Pages/Energy-Assistance.aspx,Southern NV Services
Nevada - Division of Welfare and Supportive Services,State,NV,,,Rent; Own,https://dwss.nv.gov/Energy/1_Energy_Assistance/,Northern NV Services
Nevada Energy - Project REACH (Relief Through Energy Assistance to Prevent Customer Hardships),Local,NV,,,Rent; Own,https://www.nvenergy.com/account-services/assistance-programs/project-reach,
Nevada Energy - Special Assistance Fund for Energy (SAFE),Local,NV,,,Rent; Own,https://www.nvenergy.com/account-services/assistance-programs/safe,Fuel
New Mexico Gas Company - Low-Income Assistance,State,NM,Albuquerque,,Rent; Own,https://www.nmgco.com/en/low_income_assistance,
North Dakota Human Services (LIHEAP),State,ND,,,Rent; Own,https://www.nd.gov/dhs/services/financialhelp/energyassist.html,
Office of Strategic Initiatives - Fuel Assistance Program,State,NH,,,Own,https://www.nh.gov/osi/energy/programs/fuel-assistance/index.htm,
Office of Strategic Initiatives -Electric Assistance Program,State,NH,Concord,,Rent; Own,https://www.nh.gov/osi/energy/programs/electric-assistance/index.htm,
Ohio Development Services Agency - Home Energy Assistance Program (HEAP),State,OH,Columbus,,Rent; Own,https://www.development.ohio.gov/is/is_heap.htm,
Oklahoma Human Services (LIHEAP),State,OK,Oklahoma City,,Rent; Own,http://www.okdhs.org/services/liheap/Pages/UtilityServicesLIHEAPMain.aspx,
Kansas Department for Children and Families - Energy Assistance,State,KS,Topeka,,Rent; Own,http://www.dcf.ks.gov/services/ees/Pages/Energy/EnergyAssistance.aspx,
Oregon Housing and Community Services (LIHEAP),State,OR,Salem,,Rent; Own,https://www.oregon.gov/ohcs/Pages/low-income-energy-assistance-oregon.aspx,
Pennsylvania Department of Human Services - eating Assistance/LIHEAP,State,PA,Harrisburg,,Rent; Own,https://www.dhs.pa.gov/Services/Assistance/Pages/LIHEAP.aspx,
Pennsylvania Public Utilities Commission - Energy Assistance Programs,State,PA,Harrisburg,,Rent; Own,http://www.puc.state.pa.us/consumer_info/electricity/energy_assistance_programs.aspx,
Regional Housing Authority - LIHEAP,State,AK,Juneau,,Rent; Own,https://www.regionalhousingauthority.org/improve-your-home/low-income-energy-assistance-program-liheap-2/,
South Carolina Office of Economic Opportunity - LIHEAP,State,SC,,,Rent; Own,http://oeo.sc.gov/liheap.html,
South Carolina Office of Economic Opportunity - WAP,State,SC,,,Rent; Own,http://oeo.sc.gov/weatherization.html,
New Jersey Board of Public Utilities - Utility Assistance Programs,State,NJ,Trenton,,Rent; Own,https://www.state.nj.us/bpu/assistance/programs/,
Rhode Island Department of Human Services - HEAP,State,RI,,,Rent; Own,http://www.dhs.ri.gov/Programs/HEAPProgramInfo.php,
Rhode Island Department of Human Services - WAP,State,RI,,,Rent; Own,http://www.dhs.ri.gov/Programs/WAPProgramInfo.php,
Tennessee Housing Development Agency - LIHEAP,State,TN,,,Rent; Own,https://thda.org/business-partners/liheap,
Texas Department of Housing and Community Affairs (CEAP),State,TX,,,Rent; Own,http://www.tdhca.state.tx.us/community-affairs/ceap/index.htm,
US Department of Health and Human Services - Arkansas,State,AR,,,Rent; Own,https://liheapch.acf.hhs.gov/profiles/Arkansas.htm,Eligible in each County
US Department of Health and Human Services - Louisiana,State,LA,,,Rent; Own,https://liheapch.acf.hhs.gov/profiles/Louisiana.htm,
Virginia Department of Social Services - Energy Assictance,State,VA,,,Rent; Own,https://www.dss.virginia.gov/benefit/ea/,
Washington State Department of Commerce - LIHEAP,State,WA,Olympia,,Rent; Own,https://www.commerce.wa.gov/growing-the-economy/energy/low-income-home-energy-assistance/,Eligible in each County https://jobs.utah.gov/housing/scso/seal/offices.html
West Virginia Community Action Partnership - LIEAP,State,WV,Charleston,,Rent; Own,http://www.wvcommunityactionpartnership.org/lieap.html,
Wisconsin Public Service - Energy Assistance,State,WI,,,Rent; Own,https://accel.wisconsinpublicservice.com/home/wi_assistance.aspx,
"Workforce Services, Housing & Community Development - Home Energy Assistance Target (HEAT)",State,UT,,,Rent; Own,https://jobs.utah.gov/housing/scso/seal/heat.html,
"Workforce Services, Housing & Community Development - Home Electric Lifeline Program (HELP)",State,UT,,,Rent; Own,https://jobs.utah.gov/housing/scso/seal/help.html,
Wyoming Department of Family Services - LIHEAP,State,WY,,,Rent; Own,https://dfs.wyo.gov/assistance-programs/home-utilities-energy-assistance/low-income-energy-assistance-lieap/,
Wyoming LIEAP | WAP Assistance Programs,State,WY,,,Rent; Own,https://www.lieapwyo.org/,
Wyoming Department of Family Services - WAP,State,WY,,,Rent; Own,https://dfs.wyo.gov/assistance-programs/home-utilities-energy-assistance/weatherization-assistance-program-wap/,
