ID,Specification_Title,Specification_Description,Specification_Template_Language,Specification_Background,Requirements,Solicitation_Section,Array_Type,System_Component,Specification_Topic,Images,Specialized_Topic
1,Government Objectives,"<p>This section allows the agency to convey strategic and overarching agency goals to project bidders. Establishing clear goals can help bidders and contractors craft solutions to meet these goals. Although not legally enforceable, this language can be very useful for agencies to convey to bidders.</p>","<p>Include objectives for the solar PV system(s), for example:</p>
<ul>
<li>Annual solar PV production is to be at least <X%> of annual site consumption (kWh), as averaged over the previous three years.
</li><li>Decrease reliance on greenhouse gas-emitting energy-generating systems.
</li><li>Exceed federal and internal agency sustainability mandates and goals.
</li><li>Provide leadership by example within the federal government.
</li><li>Make effective use of ground, roof, and carport areas on federal sites for solar PV arrays.</li><li>Ensure severe weather resistance/hardware resiliency.
<p>Additional objectives for specific systems:</p>
<ul>
<li>For EV-ready carport systems: Create locations for electrical vehicle (EV) charging stations by integrating them into shaded carports.
</li><li>For carport systems: Provide fleet vehicle shade protection from direct exposure to sunlight as part of the solar PV systems installed in parking lots.
</li></ul></li>
</ul>",,Advanced,Specifications,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
2,Background,"<p>This section provides much of the basic information that Contractors need to understand what will be expected of them and the solar PV system. 

</p>","<p>The Contractor shall generate safe and reliable electricity from solar photovoltaic (PV) system(s) sited on <Site Name> over the contract life. The electricity shall feed into Government electrical distribution systems on the ""customer side"" of the utility meter. The Contractor will design and construct, own, and operate the solar PV system(s) built and operated on-site. The system will be owned by <Agency or third-party>.If specified, the services of the Contractor shall include the operation and maintenance of the solar PV system(s). </p>

<p><p>The system shall convert solar radiation into AC electric power at a voltage compatible with the local utility grid power distribution system and acceptable to the local utility distribution company. At a minimum, each system shall consist of:</p>

<ul><li>A solar PV generation system
</li><li>All necessary support structures and mounting provisions
</li><li>All necessary reinforcement of the existing support structure
</li><li>Terminal and combiner boxes
</li><li>Quick-connect solar panel electrical connector
</li><li>Cable and wiring
</li><li>Conduits
</li><li>DC disconnect
</li><li>Grid-tied inverter or module-level power electronics
</li><li>AC disconnect
</li><li>All metering and control equipment
</li><li>System monitoring and data retrieval subsystem
</li><li>Ground and arc fault protection and alarming
</li><li>An electrical grounding subsystem
</li><li>Everything necessary to interconnect with the site electrical distribution system</li></ul>

<p>In addition, the Contractor shall provide all incidentals required, such as the agency's electrical distribution system impact studies and needed modifications, permits, approvals, environmental and historic compliance, freight, financing, procurement, monitoring, inspection, and billing as necessary to design, construct, operate, and maintain all the complete solar PV systems, described hereinafter.</p>",,Advanced,Specifications,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
3,Generally Encompassed Specifications,<p>This section describes what the Contractor is responsible for from the start of the project to the end.</p>,"<p>The Contractor shall provide all labor, material, equipment, engineering, maintenance, and capital to design, install, commission, interconnect, maintain, and operate solar photovoltaic (PV) systems as required herein.  All one-time and recurring efforts, soft and hard costs, shall be the Contractor's responsibility. </p>",,Minimum,Specifications,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
4,Generally Encompassed Specifications (Advanced),<p>This section describes what the Contractor is responsible for from the start of the project to the end.</p>,"<p>The Contractor shall provide all labor, material, equipment, engineering, maintenance, and capital to design, install, commission, interconnect, maintain, and operate solar photovoltaic (PV) systems as required herein.  The Government shall pay the Contractor solely on the basis of a price per kilowatt-hour plus an ""Option Increment"" of the power produced by each system and delivered to each Contractor-owned billing meter, as described herein.</p><p>

The Contractor is responsible for permits, approvals, environmental and historic compliance, freight, financing, procurement, monitoring, inspection, billing, and incidentals as necessary to design, construct, interconnect, operate, and maintain the complete solar PV generation systems, described hereinafter. For ground-mounted arrays, the Contractor is responsible for all costs in establishing and maintaining grounds within the array boundary. All areas under the Contractor's control shall be maintained in a neat, clean fashion.</p><p>

For third-party owned systems: The Contractor, or any special purpose entity designated by the Contractor, shall maintain title to the systems. The Government will grant utility easements to the Contractor for nonexclusive use of ground or parking lot space so the Contractor can keep and maintain the systems. The solicitation is structured with the intent for the Contractor to be able to take advantage of the solar investment tax credit (ITC) and accelerated depreciation. The Contractor is solely responsible for ensuring that the project meets the Internal Revenue Service Notice requirements for the desired ITC amount.</p><p>

In addition, the Contractor shall provide all incidentals required, such as the agency's electrical distribution system impact studies and needed modifications, permits, approvals, environmental and historic compliance, freight, financing, procurement, monitoring, telemetry, inspection, and billing as necessary to design, construct, operate, and maintain all the complete solar PV systems, described hereinafter.</p>",,Advanced,Specifications,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
5,For Space-Constrained Sites,<p>This section describes language that an agency can use when faced with space constraints and the need to keep the PV array(s) as small as possible while also achieving maximum benefits.</p>,"<p>Agency sites (roof, ground, and carport) with limited array surface areas shall be considered space constrained. In this case, open areas made available by federal agencies are to be viewed as a scarce resource. Federal agencies seek solar PV systems that are engineered and constructed with high-quality, efficient components and best practice methods in order to maximize kWh production and dollar savings per square foot. For sites with time-of-use (TOU) and/or demand rates, solar PV systems are to be designed to offset the greatest amount of electricity in higher cost-rate periods and achieve the greatest annual dollar savings.</p>","<p>If you have limited space, and/or would like to keep the solar PV array footprint as small as possible, it is important to emphasize this project objective at the beginning. In addition to the sample language below, there are other important terms and conditions you will want to consider adding. These are covered in later sections of this document. </p>",Advanced,Specifications,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
6,Existing Feasibility Studies and Engineering Studies Done by Others,<p>This section describes the feasibility studies that need to be done by the Contractor regardless of any existing studies that have been performed in the past.</p>,"<p>If any existing drawings, engineering studies, or reports are provided through this solicitation from the site information package or directly from agency representative, the Contractor shall independently verify all information provided. </p>",,Minimum,Specifications,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
7,Existing Feasibility Studies and Engineering Studies Done by Others (Advanced),<p>This section describes the feasibility studies that need to be done by the Contractor regardless of any existing studies that have been performed in the past.</p>,"<p>Feasibility studies to determine the potential size of solar PV systems have not been completed. The Contractor is responsible for ascertaining relevant site conditions to determine project feasibility and final system size according to the terms of this solicitation. If any existing engineering studies or facility conditions reports are provided through this solicitation from the site information package or agency representative, the Contractor shall independently verify all information provided. </p>",,Advanced,Specifications,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
8,"Discovery of Site Conditions ""Differing Site Conditions Clause, Federal Acquisition Regulation 52.236-2""",<p>This section describes the work the Contractor will conduct at the existing facilities that are relevant to completing the project. The relevant FAR clause is included as reference.</p>,"<p>As the project develops, it may evolve and change as new information is discovered. Minor changes in the project shall be expected, and the Contractor shall make necessary adjustments accordingly. However, in the event of major or material changes, then the Contracting Officer shall follow FAR 52.236-2 procedures.</p>",,Minimum,Specifications,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
9,"Discovery of Site Conditions ""Differing Site Conditions Clause, Federal Acquisition Regulation 52.236-2"" (Advanced)",<p>This section describes the work the Contractor will conduct at the existing facilities that are relevant to completing the project. The relevant FAR clause is included as reference.</p>,"<p>The Contractor shall conduct all work necessary to explore, inventory, and evaluate existing facilities (including, but not limited to: mechanical, electrical, utility, structural, and architectural conditions of the facilities) in order to complete the project. Where this exploratory and inventory work requires opening of finish surfaces, uncovering, demolition, and/or excavation, the Contractor shall promptly return all such areas to pre-construction conditions or better upon completion of the investigation(s). </p><p>

As the project develops, it may evolve and change as new information is discovered. Minor changes in the project shall be expected, and the Contractor shall make necessary adjustments accordingly. However, in the event of major or material changes, the Contracting Officer shall follow FAR 52.236-2 procedures. </p>",,Advanced,Specifications,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
10,"Codes, Standards, and Regulations",<p>This section makes reference to the codes and standards that are relevant to the project.</p>,"<p>The Public Buildings Amendments of 1988, Public Law 100-678, Section 21 requires that for new construction and renovation projects, the Government shall, to the maximum extent feasible, be in compliance with one of the nationally recognized model building codes and with other applicable nationally recognized codes. The latest edition of the nationally recognized codes and any updated supplements in effect at the time of contract award shall be used throughout the project design and construction. All relevant codes and standards organizations, as well as their websites, can be found in Table 1. Codes and standards applicable to your solar PV project can be found summarized in Table 2. </p>",,Advanced,Specifications,All,,Codes and Standards,,All
