,Mandatory FEMP Standby Power Requirement,Declared Standby Power,Product Category,Company Name - Brand Name,Model Name,Model Number,Additional Model Information,UNSPSC Code,ENAC Code,Wake on LAN (WOL) Status as Shipped (Workstations Only),Notes
0,Compliant,0 to 1 W,Computer - Thin Client,"LG Electronics, Inc. - LG",CQ6**I,CQ6**I-**,",,* = 0-9, A-Z or blank  are according to color of stand or enclosure.",43211506,LF,,
1,Compliant,0 to 1 W,Computer - Thin Client,Leadtek Research Inc. - LEADTEK,Thin Client,29BA,,43211506,LF,,
2,Compliant,0 to 1 W,Computer - Thin Client,"LG Electronics, Inc. - LG",CQ6**W,CQ6**W-**,",,*= 0-9, A-Z or blank",43211506,LF,,
3,Compliant,0 to 1 W,Computer - Thin Client,Fujitsu Limited - Fujitsu,TCM1,FUTRO S9011 ESTAR,,43211506,LF,,
4,Compliant,0 to 1 W,Computer - Thin Client,Fujitsu Limited - Fujitsu,TCS6,FUTRO S7011 ESTAR,"TCS6,FUTRO S5011 ESTAR,; TCS6,FUTRO S7011 ESTAR,",43211506,LF,,
5,Compliant,0 to 1 W,Computer - Thin Client,Dell Inc. - DELL,D15U,OptiPlex 3000 TC,,43211506,LF,,
6,Compliant,0 to 1 W,Computer - Thin Client,Dell Inc. - DELL,D15U,OptiPlex 3000 TC,,43211506,LF,,
7,Compliant,0 to 1 W,Computer - Thin Client,IGEL Technology GmbH - IGEL,IGEL-H860C,UD7,"IGEL-H860C,UD7-LX,",43211506,LF,,
8,Compliant,0 to 1 W,Computer - Thin Client,IGEL Technology GmbH - IGEL,IGEL-M250C,UD2,"IGEL-M250C,UD2-LX,; IGEL-M250C,UD2-W10,",43211506,LF,,
9,Compliant,0 to 1 W,Computer - Thin Client,ASUSTeK Computer Inc. - ASUS,Commercial Chromebox 4,Commercial Chromebox 4,,43211506,LF,,
10,Compliant,0 to 1 W,Computer - Thin Client,ASUSTeK Computer Inc. - ASUS,Chromebox 4,Chromebox 4******************,",,(Additional Identifying Model Information - * = A-Z, a-z, - , 0-9 or blank)",43211506,LF,,
11,Compliant,0 to 1 W,Computer - Thin Client,HP Inc. - HP,HP t628 Thin Client,TPC-W027-TC,,43211506,LF,,
12,Compliant,0 to 1 W,Computer - Thin Client,Lenovo Group Limited - Lenovo,ThinkCentre M75n,11G4,",,All models are identical to each other except for model numbers.; ThinkCentre M75n,11G5,All models are identical to each other except for model numbers.; ThinkCentre M75n,11G6,All models are identical to each other except for model numbers.; ThinkCentre M75n,11G7,All models are identical to each other except for model numbers.",43211506,LF,,
13,Compliant,0 to 1 W,Computer - Thin Client,Leadtek Research Inc. - LEADTEK,PF2215 ULTRA-THIN CLIENT,29B3,"GX-215JJ,,",43211506,LF,,
14,Compliant,0 to 1 W,Computer - Thin Client,"LG Electronics, Inc. - LG",CK500W,CK500W,,43211506,LF,,
15,Compliant,0 to 1 W,Computer - Thin Client,HP Inc. - HP,TPC-I041-TC,HP t638 Thin Client,,43211506,LF,,
16,Compliant,0 to 1 W,Computer - Thin Client,HP Inc. - HP,HP t240 Thin Client,TPC-HC01-TC,,43211506,LF,,
17,Compliant,0 to 1 W,Computer - Thin Client,IGEL Technology GmbH - IGEL,IGEL-M350C,UD3,"IGEL-M350C,UD3-LX,",43211506,LF,,
18,Compliant,0 to 1 W,Computer - Thin Client,Lenovo Group Limited - Lenovo,ThinkCentre M90n-1,11AH,",,Different Model Number means different  market, not effect power consumption.",43211506,LF,,
19,Compliant,0 to 1 W,Computer - Thin Client,Dell Inc. - DELL,N2A,Wyse 5470 AIO,,43211506,LF,,
20,Compliant,0 to 1 W,Computer - Thin Client,Lenovo Group Limited - Lenovo,Thinkcentre M625q,10TL,"Thinkcentre M625q,10UY,; Thinkcentre M625q,10V0,; Thinkcentre M625q,10V1,; Thinkcentre M625q,10V2,",43211506,LF,,
21,Compliant,0 to 1 W,Computer - Thin Client,Dell Inc. - DELL,N10D,Wyse 3040,,43211506,LF,,
22,Compliant,0 to 1 W,Computer - Thin Client,Dell Inc. - DELL,N11D,Wyse 5070,,43211506,LF,,
23,Compliant,0 to 1 W,Computer - Thin Client,Dell Inc. - DELL,N12D,Wyse 5070 Ext,,43211506,LF,,
24,Compliant,0 to 1 W,Computer - Thin Client,Lenovo Group Limited - Lenovo,ThinkCentre M75n,11BW,",,All models are identical to each other except for model numbers.; ThinkCentre M75n,11BX,All models are identical to each other except for model numbers.; ThinkCentre M75n,11G8,All models are identical to each other except for model numbers.; ThinkCentre M75n,11G9,All models are identical to each other except for model numbers.",43211506,LF,,
25,Compliant,0 to 1 W,Computer - Thin Client,HP Inc. - HP,HP t430 Thin Client,TPC-W053-TC,,43211506,LF,,
26,Compliant,0 to 1 W,Computer - Thin Client,HP Inc. - HP,HP t530 Thin Client,TPC-W041-TC,,43211506,LF,,
27,Compliant,0 to 1 W,Computer - Workstation,Dell Inc. - DELL,D05X,Precision 7960 Tower,"D05X,Precision 7960 Tower TCO Certified,",43211515,LF,Shipped Disabled,
29,Compliant,0 to 1 W,Computer - Workstation,Dell Inc. - DELL,D03T,Precision 7865 Tower,"D03T,Precision 7865 Tower TCO Certified,",43211515,LF,Shipped Disabled,
30,Compliant,0 to 1 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P358 Tower,30GL,"ThinkStation P358 Tower,30GK,; ThinkStation P358 Tower,30GM,; ThinkStation P358 Tower,30GN,",43211515,LF,Shipped Enabled Under All Conditions,
33,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z2 Mini G9 Workstation Desktop PC,FCW-I001DM-280,,43211515,LF,Shipped Enabled Under All Conditions,
34,Compliant,0 to 1 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P360 Tiny,30FA,"ThinkStation P360 Tiny,30F8,; ThinkStation P360 Tiny,30F9,; ThinkStation P360 Tiny,30FB,; ThinkStation P360 Tiny,30FC,; ThinkStation P360 Tiny,30FD,; ThinkStation P360 Tiny,30FE,; ThinkStation P360 Tiny,30FF,; ThinkStation P360 Tiny,30FG,; ThinkStation P360 Tiny,30FH,; ThinkStation P360 Tiny,30FJ,; ThinkStation P360 Tiny,30FK,",43211515,LF,Shipped Enabled Under All Conditions,
35,Compliant,0 to 1 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P360 Tower,30FM,"ThinkStation P360 Tower,30FN,; ThinkStation P360 Tower,30FQ,; ThinkStation P360 Tower,30FR,; ThinkStation P360 Tower,30FS,; ThinkStation P360 Tower,30FT,; ThinkStation P360 Tower,30FU,; ThinkStation P360 Tower,30FV,; ThinkStation P360 Tower,30FW,; ThinkStation P360 Tower,30FX,",43211515,LF,Shipped Enabled Under All Conditions,
36,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z2 Tower G9 Workstation Desktop PC ENERGY STAR,Z2 Tower G9 Workstation Desktop PC,,43211515,LF,Shipped Enabled Under All Conditions,
37,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z2 G8 Tower Workstation Desktop PC ENERGY STAR,Z2 G8 Tower,,43211515,LF,Shipped Enabled Under All Conditions,
38,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z2 G8 SFF Workstation Desktop PC ENERGY STAR,Z2 G8 SFF,,43211515,LF,Shipped Enabled Under All Conditions,
39,Compliant,0 to 1 W,Computer - Workstation,Dell Inc. - DELL,D16U,Precision 3260 Compact,,43211515,LF,Shipped Enabled Under All Conditions,
40,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z2 SFF G9 Workstation Desktop PC ENERGY STAR,Z2  SFF G9 Workstation Desktop PC,,43211515,LF,Shipped Enabled Under All Conditions,
42,Compliant,0 to 1 W,Computer - Workstation,Dell Inc. - DELL,D17S,Precision 3460 SFF,"D17S,Precision 3460 SFF TCO Certified,",43211515,LF,Shipped Enabled Under All Conditions,
43,Compliant,0 to 1 W,Computer - Workstation,Dell Inc. - DELL,D30M,Precision 3660 Tower,"D30M,Precision 3660 Tower TCO Certified,",43211515,LF,Shipped Disabled,
44,Compliant,0 to 1 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P348,30EQ,"ThinkStation P348,30ER,; ThinkStation P348,30ES,; ThinkStation P348,30ET,",43211515,LF,Shipped Enabled Under All Conditions,
45,Compliant,0 to 1 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P350,3000000,"ThinkStation P350,30E6,",43211515,LF,Shipped Enabled Under All Conditions,
46,Compliant,0 to 1 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P350,30000,"ThinkStation P350,30E4,",43211515,LF,Shipped Enabled Under All Conditions,
47,Compliant,0 to 1 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P350 Tiny,30EF,"ThinkStation P350 Tiny,30EG,; ThinkStation P350 Tiny,30EH,; ThinkStation P350 Tiny,30EJ,; ThinkStation P350 Tiny,30EK,; ThinkStation P350 Tiny,30EL,",43211515,LF,Shipped Enabled Under All Conditions,
48,Compliant,0 to 1 W,Computer - Workstation,Dell Inc. - DELL,D15S,Precision 3450 SFF,,43211515,LF,Shipped Enabled Under All Conditions,
50,Compliant,0 to 1 W,Computer - Workstation,Apple Inc. - Apple,Mac Pro,A1991 / A2304,",A1991, A2304, Z0W3, Z0YZ,",43211515,LF,Shipped Enabled When Operating on Ac Power Only,
51,Compliant,0 to 1 W,Computer - Workstation,Apple Inc. - Apple,Mac Pro,A1991 / A2304,",A1991, A2304, MTEK2, MX7M2,",43211515,LF,Shipped Enabled When Operating on Ac Power Only,
57,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z4 G4 Workstation ENERGY STAR,Z4 G4,,43211515,LF,Shipped Enabled Under All Conditions,
58,Compliant,0 to 1 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P520,30BE00B7US,"ThinkStation P520,30BE00B8US,",43211515,LF,Shipped Enabled Under All Conditions,
59,Compliant,0 to 1 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P520c,30BX0095US,"ThinkStation P520c,30BX0096US,",43211515,LF,Shipped Enabled Under All Conditions,
60,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z2 Mini G4 Workstation ENERGY STAR,Z2 Mini G4,,43211515,LF,Shipped Enabled Under All Conditions,
62,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z2 SFF G5 Workstation ENERGY STAR,Z2 SFF G5,,43211515,LF,Shipped Enabled Under All Conditions,
64,Compliant,0 to 1 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P330 Tiny,30CE,",30CF, 30CG,",43211515,LF,Shipped Enabled Under All Conditions,
65,Compliant,0 to 1 W,Computer - Workstation,Dell Inc. - DELL,D02T,Precision 5820 Tower,"D02T,Precision 5820 Tower TCO certified,",43211515,LF,Shipped Disabled,
66,Compliant,0 to 1 W,Computer - Workstation,Dell Inc. - DELL,D02T,Precision 7820 Tower,"D02T,Precision 7820 Tower TCO certified,",43211515,LF,Shipped Disabled,
67,Compliant,0 to 1 W,Computer - Workstation,Dell Inc. - DELL,D04X,Precision 7920 Tower,"D04X,Precision 7920 Tower TCO certified,",43211515,LF,Shipped Disabled,
68,Compliant,0 to 1 W,Computer - Workstation,ASUSTeK Computer Inc. - ASUS,Pro E500 G6 Series,Pro E500 G6,"Pro E500 G6 Series,WS720T,",43211515,LF,Shipped Enabled Under All Conditions,
69,Compliant,0 to 1 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P330,30D10011US,",30D10012US, 30D10013US, 30D10014US, 30D10015US, 30D2S02X00, 30D2S01R00, 30D2S04U00, 30D2S0WU00, 30D2S0RD00, 30D2S1MY00, 30D10010AR, 30D10010CL, 30D10018AR, 30D10018CL, 30D1000PAR, 30D1000PLL, 30D1000PCL,",43211515,LF,Shipped Enabled Under All Conditions,
70,Compliant,0 to 1 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P330,30D1000AUS,",30D1000BUS, 30D1000CUS, 30D1000DUS, 30D1000EUS, 30D1000FUS, 30D1000HUS, 30D1000JUS, 30D1000KUS, 30D1000LUS, 30D1000PUS, 30D1000QUS, 30D1000UUS, 30D1000VUS, 30D1000XUS, 30D10010US,",43211515,LF,Shipped Enabled Under All Conditions,
71,Compliant,0 to 1 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P330,30D10029GE,",30D1002BGE, 30D1002NGE, 30D1001XGE, 30D10028GE, 30D10020GE, 30D10025GE, 30D1001VGE, 30D2000BJP, 30D2000CJP, 30D2S0WU00, 30D2S01R00, 30D10010LL, 30D10018LM, 30D10008US, 30D10009US,",43211515,LF,Shipped Enabled Under All Conditions,
72,Compliant,0 to 1 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P330,30D1000GUS,",30D10018US, 30D10016US, 30D10017US, 30D1000RUS, 30D1000SUS, 30D1000WUS, 30D1000TUS, 30D1000YUS, 30D1001QGE, 30D1001RGE, 30D1001SGE, 30D1001TGE, 30D1001UGE, 30D10024GE, 30D10026GE,",43211515,LF,Shipped Enabled Under All Conditions,
73,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z2 Tower G5 Workstation ENERGY STAR,Z2 Tower G5,,43211515,LF,Shipped Enabled Under All Conditions,
74,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z2 SFF G4 Workstation ENERGY STAR,Z2 SFF G4,,43211515,LF,Shipped Enabled Under All Conditions,
75,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z2 Tower G4 Workstation ENERGY STAR,Z2 Tower G4,,43211515,LF,Shipped Enabled Under All Conditions,
