,Mandatory FEMP Standby Power Requirement,Declared Standby Power,Product Category,Company Name - Brand Name,Model Name,Model Number,Additional Model Information,UNSPSC Code,ENAC Code,Wake on LAN (WOL) Status as Shipped (Workstations Only),Notes
0,Compliant,0 to 1 W,Computer - Thin Client,IGEL Technology GmbH - IGEL,IGEL-H860C,UD7,"IGEL-H860C,UD7-LX,",43211506,LF,,
1,Compliant,0 to 1 W,Computer - Thin Client,IGEL Technology GmbH - IGEL,IGEL-M250C,UD2,"IGEL-M250C,UD2-LX,; IGEL-M250C,UD2-W10,",43211506,LF,,
2,Compliant,0 to 1 W,Computer - Thin Client,ASUSTeK Computer Inc. - ASUS,Commercial Chromebox 4,Commercial Chromebox 4,,43211506,LF,,
3,Compliant,0 to 1 W,Computer - Thin Client,ASUSTeK Computer Inc. - ASUS,Chromebox 4,Chromebox 4******************,",,(Additional Identifying Model Information - * = A-Z, a-z, - , 0-9 or blank)",43211506,LF,,
4,Compliant,0 to 1 W,Computer - Thin Client,HP Inc. - HP,HP t628 Thin Client,TPC-W027-TC,,43211506,LF,,
5,Compliant,0 to 1 W,Computer - Thin Client,HP Inc. - HP,HP t430 Thin Client,TPC-W053-TC,,43211506,LF,,
6,Compliant,0 to 1 W,Computer - Thin Client,HP Inc. - HP,HP t530 Thin Client,TPC-W041-TC,,43211506,LF,,
7,Compliant,0 to 1 W,Computer - Thin Client,"LG Electronics, Inc. - LG",CK500W,CK500W,,43211506,LF,,
8,Compliant,0 to 1 W,Computer - Thin Client,Dell Inc. - DELL,N10D,Wyse 3040,,43211506,LF,,
9,Compliant,0 to 1 W,Computer - Thin Client,Dell Inc. - DELL,N11D,Wyse 5070,,43211506,LF,,
10,Compliant,0 to 1 W,Computer - Thin Client,Dell Inc. - DELL,N12D,Wyse 5070 Ext,,43211506,LF,,
11,Compliant,0 to 1 W,Computer - Thin Client,Fujitsu Technology Solutions GmbH - Fujitsu,FUTRO S740,FUTRO S740,".,FUTRO S540,",43211506,LF,,
12,Compliant,0 to 1 W,Computer - Thin Client,Fujitsu Technology Solutions GmbH - Fujitsu,FUTRO Q940,FUTRO Q940,".,FUTRO S940,",43211506,LF,,
13,Compliant,0 to 1 W,Computer - Thin Client,Leadtek Research Inc. - LEADTEK,PF2215 ULTRA-THIN CLIENT,29B3,"GX-215JJ,,",43211506,LF,,
14,Compliant,0 to 1 W,Computer - Thin Client,Lenovo Group Limited - Lenovo,Thinkcentre M625q,10TL,"Thinkcentre M625q,10UY,; Thinkcentre M625q,10V0,; Thinkcentre M625q,10V1,; Thinkcentre M625q,10V2,",43211506,LF,,
15,Compliant,0 to 1 W,Computer - Thin Client,Lenovo Group Limited - Lenovo,ThinkCentre M90n-1,11AH,",,Different Model Number means different  market, not effect power consumption.",43211506,LF,,
16,Compliant,0 to 1 W,Computer - Thin Client,Fujitsu Technology Solutions GmbH - Fujitsu,FUTRO S7010,FUTRO S7010,".,FUTRO S5010,",43211506,LF,,
17,Compliant,0 to 1 W,Computer - Thin Client,Fujitsu Technology Solutions GmbH - Fujitsu,FUTRO Q9010,FUTRO Q9010,".,FUTRO S9010,",43211506,LF,,
18,Compliant,0 to 1 W,Computer - Thin Client,HP Inc. - HP,HP t240 Thin Client,TPC-HC01-TC,,43211506,LF,,
19,Compliant,0 to 1 W,Computer - Thin Client,Lenovo Group Limited - Lenovo,ThinkCentre M75n,11BW,",,All models are identical to each other except for model numbers.; ThinkCentre M75n,11BX,All models are identical to each other except for model numbers.; ThinkCentre M75n,11G8,All models are identical to each other except for model numbers.; ThinkCentre M75n,11G9,All models are identical to each other except for model numbers.",43211506,LF,,
20,Compliant,0 to 1 W,Computer - Thin Client,Lenovo Group Limited - Lenovo,ThinkCentre M75n,11G4,",,All models are identical to each other except for model numbers.; ThinkCentre M75n,11G5,All models are identical to each other except for model numbers.; ThinkCentre M75n,11G6,All models are identical to each other except for model numbers.; ThinkCentre M75n,11G7,All models are identical to each other except for model numbers.",43211506,LF,,
21,Compliant,0 to 1 W,Computer - Thin Client,HP Inc. - HP,TPC-I041-TC,HP t638 Thin Client,,43211506,LF,,
22,Compliant,0 to 1 W,Computer - Thin Client,"Fujian Centerm Information Co., Ltd. - ALTOS",T420,T420,,43211506,LF,,
23,Compliant,0 to 1 W,Computer - Thin Client,Altos Computing Incorporated - ALTOS,T415,T415,,43211506,LF,,
24,Compliant,0 to 1 W,Computer - Thin Client,"Fujian Centerm Information Co., Ltd. - CENTERM",F610,F610,",,All models are identical to each other except for model designation.; C92,C92,",43211506,LF,,
