Utility_Name,Wastewater_Reclamation_Facility,Facility_Street_Address,City,State,Year_Data_Provided_by_Utility,Latitude,Longitude,Reclaimed_Water_Type
Town of Oro,Oro Valley Reclaimed WDS,11000 N. La Canada Drive,Ajo,AZ,2010,32.41,-111,Municipal and Public Areas
Arizona City,Sanitary District,12922 S. Kashmir Rd.,Arizona City,AZ,2010,32.66,-111.55,Municipal and Public Areas
Liberty Water,Gold Canyon WWTP,6520 E. Hwy 60,Arizona City,AZ,2010,33.25,-111.54,Commercial
Town of Buckeye,Central Buckeye WWTP,915 S. 9Th Street,Buckeye,AZ,2010,33.25,-112.89,Municipal and Public Areas
Town of Buckeye,Festival Ranch WRF,18940 N. 287Th Avenue,Buckeye,AZ,2010,33.47,-112.59,Commercial
Town of Buckeye,Sundance WRF,21760 W. Watkins Road,Buckeye,AZ,2010,33.25,-112.89,Commercial
Town of Cave Creek,Rancho Manana WWTP,5610 E. Rancho Manana Blvd,Cave Creek,AZ,2010,33.83,-111.96,Municipal and Public Areas
Town of Florence,South WWTP,100 S. Plant Road,Florence,AZ,2010,32.83,-111.19,Municipal and Public Areas
Fountain Hills,Fountain Hills SD WWTP,16941 E. Pepperwood Circle,Fountain Hills,AZ,2010,33.62,-111.71,Municipal and Public Areas
Town of Gilbert,Neely WRF/Greenfield WRF,402 N. Neely Rd/4376 S. Greenfield Rd.,Gilbert,AZ,2010,33.26,-111.71,Municipal and Public Areas
Pinewood SD,Kay S. Blackman WWTF,18075 S. Navajo Road,Munds Park,AZ,2010,34.94,-111.65,Commercial|Municipal and Public Areas
City of Page,Lake Powell National Golf Course WRF,Clubhouse Drive,Page,AZ,2010,36.84,-111.15,Municipal and Public Areas
City of Phoenix,Cave Creek WRP,22841 N. Cave Creek Rd,Phoenix,AZ,2010,33.69,-112.03,Municipal and Public Areas
City of Prescott,Airport WRF,2800 Melville Road,Prescott,AZ,2010,34.6,-112.42,Municipal and Public Areas
City of Prescott,Sundog WWTP,1500 Sundog Ranch Road,Prescott,AZ,2010,34.57,-112.44,Commercial|Municipal and Public Areas
