Title,Node_ID,Description,Category,Agency,Location,Type
99th Regional Support Command Uses LED Lighting to Capture Significant Savings,/node/2129519,"Fact sheet describes how the Army Reserve 99th Regional Support Command cut energy consumption in half at the Support Command's Technical Sergeant Vernon McGarity Army Reserve Center by replacing more than 1,200 fluorescent fixtures with dimmable LED troffers.",Energy-Efficient Products and Technologies,DOD,PA,Fact sheet
Air Force Achieves Fuel Efficiency Through Industry Best Practices,/node/759411,Fact sheet provides an overview of the U.S. Air Force's fuel efficiency program.,Awards,DOD,PA,Fact sheet
Air Handler Condensate Recovery at the Environmental Protection Agency's Science and Ecosystem Support Division,/node/757301,Fact sheet details the U.S. Environmental Protection Agency's decision to address water conservation and management for its Science and Ecosystem Support Division due to a severe drought.,Water Management,EPA,GA,Fact sheet
Army Reserve 63d RSC Achieves 85% Savings in Parking Lot Lighting,/node/1561476,"Fact sheet describes how the Army Reserve 63rd Regional Support Command achieved 85% energy savings and $4,000 per year in cost savings by replacing 12 old light fixtures with LED fixtures in the military equipment parking area.",Energy-Efficient Products and Technologies,DOD,AR,Fact sheet
Aspinall Courthouse: GSA's Historic Preservation and Net-Zero Renovation,/node/978261,"Fact sheet provides an overview of the General Services Administration's decision to align historic preservation renovations with zero energy goals in the Wayne N. Aspinall Federal Building and U.S. Courthouse in Grand Junction, Colorado.",Facilities; Distributed Energy,GSA,CO,Fact sheet
Boiler Upgrades and Decentralizing Steam Systems Save Water and Energy at Naval Air Station Oceana,/node/757226,Fact sheet details how Naval Air Station Oceana met its heating needs more efficiently by replacing its central plant with a combination of distributed boilers and ground source heat pumps.,Water Management; Distributed Energy,DOD,VA,Fact sheet
Bureau of Land Management ESPC Across Six States,/node/759246,"Fact sheet describes how the U.S. Department of the Interior Bureau of Land Management  successfully implemented an energy savings performance contract  with Johnson Controls, Inc., to implement energy efficiency improvements at remote sites in six western states.",Energy Savings Performance Contracts,DOI,CO; ID; MT; NV; OR; WY,Fact sheet
Byron G. Rogers Federal Building Harvests Daylight and Super Savings,/node/2316281,Fact sheet describes how the Byron G. Rogers Federal Building replaced existing T12 and T8 luminaires with LED-dedicated troffers with advanced controls.,Energy-Efficient Products and Technologies,GSA,CO,Fact sheet
Camp Pendleton Saves 91% in Parking Lot Lighting,/node/1576391,Fact sheet describes how Marine Corps Base Camp Pendleton replaced high-pressure sodium fixtures in one parking lot with high-efficiency induction fixtures for energy and cost savings.,Energy-Efficient Products and Technologies,DOD,CA,Fact sheet
Case Study: Evaluating Liquid Versus Air Cooling in the Maui High-Performance Computing Center,/node/943961,Report evaluates the energy efficiency of a liquid-cooled computing system applied in a retrofit project at the U.S. Department of Defense's Maui High Performance Computing Center.,Data Centers,DOD,HI,Report
"Case Study: Innovative Energy Efficiency Approaches in NOAA's Environmental Security Computing Center in Fairmont, West Virginia",/node/918871,Report highlights three data centers evaluated for potential energy efficiency improvements in this National Oceanic and Atmospheric Administration computing center.,Data Centers,DOC,WV,Report
"Case Study: Mobile Photovoltaic System at Bechler Meadows Ranger Station, Yellowstone National Park",/node/811649,"Fact sheet describes the performance of a mobile photovoltaic system installed in 2011 to provide power to Bechler Ranger Station in Yellowstone National Park, Wyoming.",Distributed Energy,NPS; DOI,WY,Fact sheet
Case Study: Opportunities to Improve Energy-Efficiency in Three Federal Data Centers,/node/918876,Report details three data centers evaluated by Lawrence Berkeley National Laboratory for potential energy efficiency improvements.,Data Centers,DOE,N/A,Report
Comprehensive Energy Program at Patrick Air Force Base Set to Exceed Energy Goals,/node/760586,Fact sheet focuses on Patrick Air Force Base's use of a utility energy services contract to achieve its energy goals.,Utility Energy Service Contracts,DOD,FL,Fact sheet
Connecting Sustainability to the Agency's Mission,/node/757556,Fact sheet describes a case study on the USFW Energy Management Program's mission to increase energy awareness and efficiency through various projects funded through the American Recovery and Reinvestment Act.,Institutional Change,DOI,N/A,Fact sheet
"Data, Feedback, and Awareness Lead to Big Energy Savings",/node/757546,"Fact sheet describes how the Navy Region Southwest Metro San Diego Area regional energy management team achieved significant energy savings at the Naval Base Coronado, Naval Base San Diego, and Naval Base Point Loma.",Institutional Change,DOD,CA,Fact sheet
Data Center Optimization at NREL's Research Support Facility,/node/4450512,"Describes the National Renewable Energy Laboratory’s RSF data center, which supports innovative energy management and continuous building commissioning practices.",Data Centers; Facilities,DOE,CO,Web page
Driving Operational Changes Through an Energy Monitoring System,/node/757576,Fact sheet provides a case study of IBM's corporate energy efficiency monitoring program that focuses on basic improvements in its real estate operations.,Institutional Change,N/A,N/A,Fact sheet
Dyess Air Force Base Water Conservation and Green Energy,/node/759251,Fact sheet describes the successful water conservation energy savings performance contract project implemented at the Dyess Air Force Base in Texas.,Energy Savings Performance Contracts,DOD,TX,Fact sheet
Enabling Sustainable Acquisition by Improving Procurement Systems,/node/757616,"Fact sheet provides a case study of the implementation of a green procurement program at the U.S. Department of Energy Waste Isolation Pilot Plant. Details include primary procurement process modifications, new roles, rules, and tools, principles applied, and lessons learned from the experience. ",Institutional Change,DOE,NM,Fact sheet
Energy Efficiency Opportunities in Federal High-Performance Computing Data Centers,/node/757426,Report describes energy efficiency opportunities found at six U.S. Department of Defense High Performance Computing data centers.,Data Centers,DOD,N/A,Report
ESPC ESA Case Study: Energy Affordability at the Drug Enforcement Administration,/node/4306665,"Fact sheet describes the U.S. Drug Enforcement Administration’s 2.5-MW-DC photovoltaic system at their El Paso Intelligence Center on Fort Bliss in El Paso, Texas. This energy conservation measure was completed under an energy savings performance contract energy sales agreement (ESPC ESA) using the U.S. Department of Energy ESPC ENABLE contract vehicle.",Energy Savings Performance Contracts,DEA,TX,Fact sheet
