Community,Node_ID,latitude,longitude,state_full,State,Technology,Regional_Partners,Qualification,brief_description,Regional_Partner_URL
"Alaska Longline Fishermen's Association (ALFA), Sitka",https://energy.gov.gov/node/4816496,57.05050488,-135.3233443,Alaska,AK,Transportation,Alaska Center for Energy and Power,Remote,ETIPP is helping ALFA retrofit two fishing vessels for hybrid power generation and assess potential paths to carbon-free fishing. This effort will help reduce a key cost for ALFA's operation by reducing fuel consumption and mitigate a key vulnerability for the fishing industry by reducing carbon emissions.,https://acep.uaf.edu/
Dillingham,https://energy.gov.gov/node/4816497,59.05945964,-158.5677016,Alaska,AK,"Hydropower or Marine, Rates or Tariffs",Renewable Energy Alaska Project,Remote,"Home to the largest salmon river run worldwide, the Nuyakuk River is a significant natural and economic resource for Dillingham residents and five nearby Alaska Native villages. ETIPP is producing an economic model and decision support tool to help the Nushagak Electric and Telephone Company assess the potential impacts of river hydropower on local fisheries and tribal, residential, and commercial diesel fuel consumption.",https://alaskarenewableenergy.org/
Eastport,https://energy.gov.gov/node/4816498,44.9144516,-67.00676495,Maine,ME,"Hydropower or Marine, Microgrids, Storage",Island Institute,Island,"The city of Eastport is composed entirely of islands. ETIPP is performing a techno-economic analysis to help plan, site, and optimally size a community-scale microgrid for Eastport that draws baseload support from a marine hydrokinetic device. City leaders, along with Ocean Renewable Power Company, Inc., are working with ETIPP experts to ensure the project increases Eastport's energy resilience and leverages its huge tidal energy potential.",https://www.islandinstitute.org/
Honolulu,https://energy.gov.gov/node/4816499,21.31298747,-157.8124648,Hawaii,HI,Microgrids,Hawaii Natural Energy Institute,Island,ETIPP is working with Honolulu and the Hawaiian Electric Company to evaluate optimal hybrid microgrid locations and identify potential microgrid participants to improve electrical infrastructure resilience to severe weather. The project will also produce a hybrid microgrid opportunity map that demonstrates distributed energy resource availability for future planning.,https://www.hnei.hawaii.edu/
Islesboro,https://energy.gov.gov/node/4816500,44.30197765,-68.91177872,Maine,ME,"Energy Efficiency, Microgrids, Solar",Island Institute,Island,"The island of Islesboro relies on the mainland for electricity and experiences regular energy outages due to extreme weather. The Islesboro Energy Committee wants to identify local, resilient, and low-cost modes of energy production that will help the island achieve 100% fossil-free energy by 2030 and from which all residents can equitably benefit. ETIPP is performing a techno-economic analysis to identify optimal renewable energy pathways by which Islesboro can reach its goal.",https://www.islandinstitute.org/
Kauai,https://energy.gov.gov/node/4816502,22.09568432,-159.5092511,Hawaii,HI,Transportation,Hawaii Natural Energy Institute,Island,"Natural disaster vulnerabilities and high energy costs have motivated Kauai to replace its fossil fuel-based ground transportation sector with clean, convenient mobility options for residents and visitors by 2045. ETIPP is helping Kauai achieve this goal by designing a mobility data system to inform long-term travel planning, and drafting a report on the feasibility and distribution of electric vehicle charging infrastructure.",https://www.hnei.hawaii.edu/
Nags Head,https://energy.gov.gov/node/4816503,35.96590858,-75.63485075,North Carolina,NC,"Buildings, Microgrids",Coastal Studies Institute,Island,Located in the Outer Banks region—a seasonal tourism destination—the town of Nags Head experiences frequent extreme weather events that disrupt town operations and threaten the safety of residents. ETIPP is evaluating energy efficiency opportunities for municipal buildings and estimating microgrid viability and size according to the local utility's energy management processes. The project will help Nags Head increase the disaster resilience of its critical facilities by planning for 48 to 72 hours of backup power.,https://www.coastalstudiesinstitute.org/
Ocracoke Island,https://energy.gov.gov/node/4816504,35.10763262,-75.96841783,North Carolina,NC,"Microgrids, Storage, Transportation",Coastal Studies Institute,Island,"Ocracoke depends on the reliable operation of its ferry vessels to transport people and goods, and these operations are complicated by frequent severe weather on the Outer Banks. Tideland Electric Membership Corporation (EMC), the island's utility provider, wants to understand the impacts of potential ferry electrification on operations. ETIPP is performing a feasibility and cost-benefit analysis of hybrid, electric, and other low-carbon ferry technologies to help Tideland EMC and North Carolina Department of Transportation plan for strategic infrastructure investments.",https://www.coastalstudiesinstitute.org/
Ouzinkie,https://energy.gov.gov/node/4816505,57.92549694,-152.4993312,Alaska,AK,"Hydropower or Marine, Solar, Wind",Alaska Center for Energy and Power,Remote,The village of Ouzinkie is located on Spruce Island and powered by diesel generators and an aging hydroelectric power system. ETIPP is providing a techno-economic analysis to identify optimal improvements to the Ouzinkie power system. Results will help the community prioritize investments in distributed energy resources and provide the documentation required for future grant or loan applications.,https://acep.uaf.edu/
Sitka,https://energy.gov.gov/node/4816506,57.09208436,-135.3029646,Alaska,AK,"Hydropower or Marine, Rates or Tariffs, Wind",Renewable Energy Alaska Project,Remote,"Sitka is powered by seasonal lake hydropower and a diesel microgrid operated by a community-owned electric utility. Energy demands in Sitka are driven by high heating requirements, intensive hospital activities, and the seasonal fishing industry. ETIPP is developing a model and training materials for the Sitka grid, assessing energy potential from solar, wind and ocean sources, and evaluating green energy export options to help Sitka reduce its carbon footprint and optimize its microgrid.",https://alaskarenewableenergy.org/
