Project_Title,Awardees,CID,SUBPROGRAM,SUBPROGRAM_NODE,Award_Type,FOA_NAME,FOA_Acronym,Status,Award_Start_Date,Total_Government_Share,City,State,Zip_Code,Node,Latitude,Longitude,Principal_Investigator,Project_Description
Enabling Automation for <$0.10/W High-Efficiency Kerfless Wafers Manufactured in the US,1366 Technologies,EE0006808,Technology to Market,node/928446,Funding Opportunity,Solar Manufacturing Technology 2,SolarMat 2,Inactive,2013,"$1,000,000 ",Lexington,MA,02420-0001,node/973806,42.460908,-71.222083,Adam Lorenz,1366 Technologies is demonstrating the potential for substantial silicon usage reductions and increased cell efficiencies with innovative kerfless wafer geometries employing their Direct Wafer technology.
Kerfless Silicon Precursor Wafer Formed by Rapid Solidification,1366 Technologies,,Technology to Market,node/928446,Funding Opportunity,NREL ARRA PV Technology Pre-Incubator Awards,Pre-Incubator,Inactive,2009,"$500,000 ",Lexington,MA,02420-0001,node/791021,42.460908,-71.222083,Adam Lorenz,"Standard wafer manufacturing involves a multistep, batch process of ingot casting, blocking, squaring, and sawing that wastes up to 50% of the costly silicon. 1366 Technologies, which was spun out of the Massachusetts Institute of Technology in 2008, has developed a single-step, high-throughput ""direct wafer"" technology that rapidly solidifies a thin sheet directly from molten silicon to form a standard, 156-millimeter multicrystalline wafer."
Project Silicon: Reclaiming U.S. Silicon PV Leadership,1366 Technologies,EE0005737,Technology to Market,node/791090,Funding Opportunity,Scaling Up Nascent PV AT Home,SunPath,Inactive,2011,"$6,999,959 ",Lexington,MA,02420-0001,node/791051,42.460908,-71.222083,Adam Lorenz," A $7 million federal award complemented $21 million of private investment to build the company's first commercial-scale line with a manufacturing capacity of 40 MW per year. The company's innovative, cost-reducing molten silicon wafer process addressed the most expensive part of a silicon PV panel and could be a drop-in solution for the products that make up over 80% of the PV market. The SUNPATH grant allowed 1366 Technologies to transfer its existing demonstration-scale process into a capacity sufficient for scale-up learning and statistical process development. The new facility was built in Lexington, Massachusetts."
The Self Aligned Cell: Scaling Up Manufacture of a Cost Effective Cell Architecture for Multicrystalline Silicon Photovoltaics,1366 Technologies,NREL/SR-5200-49934,Technology to Market,node/928446,Funding Opportunity,Incubator 2,Incubator 2,Inactive,2008,"$3,000,000 ",Lexington,MA,02420-0001,,42.460908,-71.222083,Andrew Gabor,"Under the contract, 1366 Technologies developed 2 pilot machines for 1) deposition and patterning of low-cost resist layers to enable simultaneous Honeycomb front texturing and groove formation for multicrystalline Si wafers, and 2) fine-line dispensing of materials that are self aligned to the grooves (e.g. &ndash; P dopant material for selective emitter formation, and Ag ink for finger seed layers to be later plated up). Multicrystalline cells with 1366-Texture and standard screen printed metallization showed efficiency improvements as high as 0.4% absolute in comparison to isotextured control cells, and encapsulated multicrystalline cells using both 1366-Texture and 1366-Metallization achieved NREL verified efficiencies close to 18%."
Cleanable and Hardcoat Coatings for Increased Durability of Silvered Polymeric Mirrors,3M Company,GO18027/FC36-08GO18027,Concentrating Solar Power,node/790241,Funding Opportunity,Concentrating Solar Power (CSP) Research and Development,CSP R&D,Inactive,2007,"$2,311,901 ",St Paul,MN,55144-1000,node/790321,44.950801,-92.996073,Raghu Padiyath,"3M Company, under the CSP R&D FOA, is developing optical coatings for solar mirrors that are durable, easily maintained, and more cost-effective."
Next-Generation Solar Collectors for CSP,3M Company,EE0005795,Concentrating Solar Power,node/791093,Funding Opportunity,SunShot Concentrating Solar Power R&D,CSP SunShot R&D,Inactive,2012,"$668,166 ",St Paul,MN,55144-1000,node/790606,44.950801,-92.996073,Attila Molnar,"3M Company, under the 2012 SunShot Concentrating Solar Power (CSP) R&D FOA, is developing high-reflectivity films and high-rigidity structures that can replace current solar collectors that use heavy glass mirrors. Solar collectors represent the most expensive component of a CSP system."
Quick-Snap Bracket Assembly for Solar Panels,"A. RAYMOND TINNERMAN MANUFACTURING, INC.",EE0005438,Systems Integration,node/791071,Funding Opportunity,Extreme Balance of System Hardware Cost Reduction,Bos-X,Inactive,2011,"$297,741 ",Brunswick,OH,48309-3679,node/1074216,39.46782,-93.153622,Todd  Murray,"A Raymond Tinnerman Manufacturing, Inc. will develop an innovative system for rooftop solar panels, including flat roofs and standing seam metal roofs, resulting in a significant reduction in the amount of bracket hardware and installation costs. In addition, ARTI will partner with a roofing company on an approach to decrease permitting costs. These combined efforts will make a significant contribution to the US DOE's goal of reducing balance of system costs."
Single Active Switch PV Inverter,ABB Inc.,EE0007591,Technology to Market,node/928446,Funding Opportunity,"Technology to Market 2: Incubator 11, SolarMat 4",Incubator 11,Inactive,2016,"$500,000 ",Raleigh,NC,27606-5211,node/2039862,35.77959,-78.638179,Sandeep Bala,"This project aims to develop an early-stage, functional prototype inverter, with appropriate control and modulation schemes to validate performance and eliminate technology risks. The proposed photovoltaic (PV) inverter topology uses a low-cost, reliable, and efficient thyristor, which replaces six active switches, typically insulated-gate bipolar transistors, and eliminates the bulky DC bus capacitor and the output AC line filter. In power semiconductor switches, passive components, and their supporting structures account for a majority of the cost in a typical converter. This topology would allow a significant cost reduction potential."
Advanced Nitrate Salt Central Receiver Power Plant,Abengoa Solar,EE0003596,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,2010,"$4,517,474 ",Lakewood,CO,80401-4489,node/790531,39.715877,-105.231183,Bruce Kelly,inverter design along with a novel cascaded micro inverter system architecture under development by the University
Advanced Polymeric Reflector for CSP Applications,Abengoa Solar,GO18036/FC36-08GO18036,Concentrating Solar Power,node/790241,Funding Opportunity,Concentrating Solar Power (CSP) Research and Development,CSP R&D,Inactive,2007,"$1,663,667 ",Lakewood,CO,80401-4489,node/790326,39.715877,-105.231183,Keith Boyle,"Abengoa Solar, under the CSP R&D FOA, is developing and scaling up a previously demonstrated advanced solar reflector material for use in CSP applications."
Advanced Thermal Energy Storage for Central Receivers with Supercritical Coolants,Abengoa Solar,GO18149/FG36-08GO18149,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,2008,"$191,235 ",Lakewood,CO,80401-4489,,39.715877,-105.231183,Bruce Kelly,
