Project_Title,Awardees,CID,SUBPROGRAM,SUBPROGRAM_NODE,Award_Type,FOA_NAME,FOA_Acronym,Status,Award_Start_Date,Award_End_Date,Total_Government_Share,Cost_Share,City,State,Zip_Code,Node,Latitude,Longitude,Principal_Investigator,Project_Description
A Novel Storage Method for CSP Plants Allowing Operation at High Temperature,City University of New York,GO18151/FG36-08GO18151,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,9/30/2008,1/31/2013,"$1,327,950 ","$575,802 ",New York,NY,10036-7296,node/790421,40.760262,-73.993287,Jeff Morris,"City College of New York (CCNY), under the Thermal Storage FOA, is developing and testing a novel thermal storage method that allows operation at very high temperatures."
Advanced Thermal Energy Storage for Central Receivers with Supercritical Coolants,Abengoa Solar,GO18149/FG36-08GO18149,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,9/30/2008,12/31/2011,"$605,633 ","$151,318 ",Lakewood,CO,80401-4489,node/790406,39.715877,-105.231183,Bruce Kelly,"Abengoa will determine if supercritical heat transport fluids in a power tower plant, in combination with ceramic themocline storage, offers a reduction in levelized energy cost relative to a baseline nitrate salt concept."
CSP Energy Storage Solutions - Multiple Technologies Compared,US Solar Holdings,GO18155/FC36-08GO18155,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,9/30/2008,2/28/2012,"$2,037,927 ","$2,045,803 ",Boise,ID,83702,node/790481,43.662439,-116.163043,Jake Stephens,"US Solar Holdings, under the Thermal Storage FOA, is aiming to demonstrate commercial, utility-scale thermal energy storage technologies and provide a path to cost-effective energy storage for CSP plants >50 MW."
Deep Eutectic Salt Formulations Suitable as Advanced Heat Transfer Fluids,Halotechnics,GO18144/FG36-08GO18144,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,9/30/2008,2/28/2013,"$1,500,000 ","$564,407 ",Emeryville,CA,94608,node/790431,38.882334,-77.171091,Justin Raade,"Halotechnics, under the Thermal Storage FOA, is conducting high-throughput, combinatorial research and development of salt formulations for use as highly efficient heat transfer fluids (HTFs)."
Development and Performance Evaluation of High Temperature Concrete for Thermal Energy Storage for Solar Power Generation,University of Arkansas,GO18147/FG36-08GO18147,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,9/30/2008,12/31/2012,"$616,094 ","$154,024 ",Fayetteville,AR,72701,node/790471,36.06258,-94.157426,Panneer Selvam,"The University of Arkansas, under the Thermal Storage FOA, is developing a novel concrete material that can withstand operating temperatures of 500&deg;C or more and is measuring the concrete properties."
Heat Transfer and Latent Heat Storage in Inorganic Molten Salts for CSP Plants,Terrafore,GO18148/FG36-08GO18148,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,9/30/2008,4/30/2012,"$1,439,321 ","$394,548.00",Riverside,CA,91311-4411,node/790456,34.264513,-118.531176,Anoop Mathur,"Terrafore, under the Thermal Storage FOA, is developing an economically feasible thermal energy storage (TES) system based on phase change materials (PCMs), for CSP plants."
"Indirect, Dual-Media, Phase Changing Material Modular Thermal Energy Storage System",Acciona,GO18152/FG36-08GO18152,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,9/30/2008,8/31/2011,"$100,000 ","$25,000 ",Chicago,IL,60603,node/790411,41.880916,-87.625425,Marc Newmarker,"As more renewable energy is added to the electric grid, ensuring a reliable and efficient grid becomes more challenging. This project will automate smart energy transactions and improve grid operations when more solar energy is connected to the grid."
Innovative Application of Maintenance-Free Phase-Change Thermal Energy Storage for Dish Engine Systems,Infinia,GO18157/FG36-08GO18157,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,9/30/2008,8/31/2012,"$5,422,728 ","$3,938,535 ",Kennewick,WA,99336-2374,node/790436,46.213805,-119.161041,Songgang Qiu,"Infinia, under the Thermal Storage FOA, is developing a thermal energy storage (TES) system that, when combined with Infinia's dish-Stirling system, can achieve DOE's CSP cost goals of $0.07/kWh by 2015 for intermediate power and 5&cent;/kWh by 2020 for baseload power."
Molten Salt-Carbon Nanotube Thermal Storage,Texas A&M University,GO18154/FG36-08GO18154,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,9/30/2008,12/31/2011,"$1,499,986 ","$375,014 ",College Station,TX,77843,node/790461,30.627977,-96.334407,Michael Schuller,"Texas Engineering Experiment Station (TEES), under the Thermal Storage FOA, created a composite thermal energy storage material by embedding nanoparticles in a molten salt base material."
Novel Molten Salts Thermal Energy Storage for Concentrating Solar Power Generation,University of Alabama,GO18153/FG36-08GO18153,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,9/30/2008,7/31/2013,"$1,500,000 ","$394,633 ",Tuscaloosa,AL,35487,node/790466,32.23,-110.96,Ramana Reddy,"The University of Alabama, under the Thermal Storage FOA, is developing thermal energy storage (TES) media consisting of low melting point (LMP) molten salt with high TES density for sensible heat storage systems."
Novel Thermal Energy Storage Systems (TES) for Concentrating Solar Power (CSP),University of Connecticut,GO18146/FG36-08GO18146,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,9/30/2008,6/30/2013,"$1,290,362 ","$396,795 ",Storrs,CT,06269,node/790476,41.80704,-72.25167,Amir Faghri,"The University of Connecticut, under the Thermal Storage FOA, is developing innovative heat transfer devices and methodologies for novel thermal energy storage (TES) systems for CSP involving phase change materials (PCMs)."
Novel Thermal Storage Technologies for Concentrating Solar Power Generation,Lehigh University,GO18150/FG36-08GO18150,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,9/30/2008,5/31/2013,"$1,103,455 ","$394,017 ",Bethlehem,PA,18015,node/790441,40.625932,-75.370458,Sudhakar Neti,"Lehigh logoLehigh University, under the Thermal Storage FOA, is working to establish the technical feasibility of using phase change materials (PCM) at elevated temperatures and to acquire engineering results that will lead to the demonstration of large-scale thermal storage systems."
Reducing the Cost of Thermal Energy Storage for Parabolic Trough Solar Power Plants,Abengoa Solar,GO18156/FG36-08GO18156,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,9/30/2008,3/31/2013,"$1,705,412 ","$426,850 ",Lakewood,CO,80401-4489,node/790406,39.715877,-105.231183,Keith Gawlik,"Abengoa, under the Thermal Storage FOA, is looking at innovative ways to reduce thermal energy storage (TES) system costs."
"Sensible Heat, Direct, Dual-Media Thermal Energy Storage Module",Acciona,GO18158/FC36-08GO18158,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,9/30/2008,12/31/2011,"$500,000 ","$125,000 ",Chicago,IL,60603,node/790411,41.880916,-87.625425,Marc Newmarker,"Acciona Solar, under the Thermal Storage FOA, plans to design and validate a prototype and demonstrate a full-size (800 MWth) thermal energy storage (TES) system based on phase change materials (PCMs)."
Thermochemical Heat Storage for CSP Based on Multivalent Metal Oxides,General Atomics,GO18145/FG36-08GO18145,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,9/30/2008,10/31/2011,"$1,499,953 ","$933,591 ",San Diego,CA,92186-5608,node/790426,32.810253,-117.132358,Bunsen Wong,"General Atomics (GA), under the Thermal Storage FOA, is developing a high-density thermochemical heat storage system based on solid metal oxides."
"A Reliable, Cost-Effective Transformerless Medium-Voltage Inverter for Grid Integration of Combined Solar and Energy Storage",University of Arkansas,DE-EE0008349,Systems Integration,node/791071,Funding Opportunity,Advanced Power Electronics Design for Solar Applications,Power Electronics,Active,8/1/2018,7/31/2021,"$2,765,138 ","$713,853 ",Fayetville,AR,72701,node/4303305,36.06258,-94.157426,Yue Zhao,This project aims to enhance PV plant reliability with significantly reduced lifetime costs for a high-density 300 kilowatt central inverter. It converts 1.5 kilovolt direct current output of the photovoltaic systems to 4.16 kilovolt alternating current without the use of bulky 60 hertz transformers. The proposed technology lowers the lifetime costs of Silicon Carbide inverters through the simultaneous electro-thermal design of the subsystem and the components of the inverter. This project establishes a basis for new innovations by addressing the challenge of multi-objective optimization while accounting for inverter cost and reliability constraints.
Compact and Low-Cost Microinverter for Residential Systems,University of Maryland,DE-EE0008350,Systems Integration,node/791071,Funding Opportunity,Advanced Power Electronics Design for Solar Applications,Power Electronics,Active,10/1/2018,9/30/2021,"$1,872,818 ","$498,876 ",College Park,MD,20783,node/4303320,38.98663,-76.95602,Alireza Khaligh,"This project aims to create a holistic design of microinverters using the emerging gallium nitride semiconductors combined with a novel circuit with reduced components and filters. The project models thermal stresses and their effect on reliability by using a multi-physics-based approach resulting in an improved assembly design. It is anticipated that the microinverter will yield over 250,000 hours of operation with no failures under consumer rooftop and commercial installation use conditions, while simultaneously achieving lower costs."
Modular HF Isolated Medium-Voltage String Inverters Enable a New Paradigm for Large PV Farms,Georgia Tech,DE-EE0008351,Systems Integration,node/791071,Funding Opportunity,Advanced Power Electronics Design for Solar Applications,Power Electronics,Active,8/1/2018,7/31/2021,"$1,927,973 ","$497,016 ",Atlanta,GA,30332,node/4303278,33.748995,-84.387982,Deepak Divan,"This project will develop and validate a new inverter to significantly reduce the balance-of-system costs in larger commercial and utility-scale photovoltaic (PV) farms. The inverter realizes higher-value propositions such as dispatchability and dynamic grid support. The project uses a medium-voltage string inverter topology and a soft-switching solid state transformer, which can interconnect direct current from solar panel strings at 600 to 1000 volts to a standard utility distribution voltage of 4.16 kilovolts. The medium-voltage line will be fed from a standard utility substation that derives power from a 69-500 kilovolt transmission source, eliminating a 60 hertz transformer in the power path and resulting in both cost and efficiency savings."
Modular Wide-Bandgap String Inverters for Low-Cost Medium-Voltage Transformerless PV Systems,University of Washington,DE-EE0008346,Systems Integration,node/791071,Funding Opportunity,Advanced Power Electronics Design for Solar Applications,Power Electronics,Active,9/1/2018,8/31/2021,"$2,837,106 ","$709,347 ",Seattle,WA,98195,node/4303344,47.65451,-122.3121,Brian Johnson,"The proposed string inverter uses integrated circuit+control (C2) blocks, each comprised of a wide-bandgap-based power converter and local controller that can be assembled in a modular fashion to produce ultra-low-cost medium-voltage transformerless photovoltaic (PV) inverters. Each C2 block will be fabricated on high-voltage printed circuit boards with planar magnetics, such that automated manufacturing processes can be leveraged for maximum cost savings and throughput. This eliminates costly passive components and low-frequency transformers, substantially reducing electrical balance-of-system costs."
