Position Title,Summary,Grade,Opening-Closing Dates,Type,Technology Area,CMS Node
Operations Manager,Coming Soon,GS-14,coming soon,USAJobs,Operations,
Communications Specialist,Coming Soon,GS-13,coming soon,USAJobs,Operations,
Supervisory Management and Program Analyst,"As a Supervisory Management and Program Analyst, you will be a first-level supervisor responsible for exercising programmatic and administrative supervision over a senior level staff that provides technical and administrative support for the Energy Efficient Mobility Systems program.",GS-15,1/12/2023 - 1/19/2023,USAJobs,Energy Efficient Mobility Systems,https://www.usajobs.gov/job/699442900
Technology Development Manager (Engineer),"VTO is looking to bring a technology manager to be part of VTO's Electrification team. Technology managers support the research, development, and demonstration of high-impact technologies and solutions that enable the reliable, resilient, secure, and cost-effective integration of sustainable transportation on our nation's roads. At the GS-13 level, technology development managers serve as technical experts in electric-drive systems , powertrain and vehicle charging technologies, vehicle-grid integration, and other related technologies.",GS-13,6/21/2022 - open until filled,Direct Hire,Batteries & Electrification,https://www.energy.gov/node/4820373
Technology Development Manager (Engineer),"VTO is looking to bring a technology manager to be part of VTO's Off-road, Rail, Marine and Aviation R&D team. Technology managers support the research, development, and demonstration of high-impact technologies and solutions that enable the reliable, resilient, secure, and cost-effective integration of sustainable transportation on our nation's roads. At the GS-13 level, technology development managers serve as technical experts in difficult to electrify sectors (off-road, rail, and marine); renewable fuels, such as advanced biofuels, renewable hydrogen, and e-fuels; heavy duty truck technologies, including the integration of hybrid and plug-in hybrid powertrains; catalysis research to cost-effectively reduce emissions from non-road engines, while reducing/replacing critical minerals, i.e., platinum group metals; and other related technologies.",GS-13,6/21/2022 - open until filled,Direct Hire,"Marine, Aviation, Rail, and Off-Road",https://www.energy.gov/node/4820374
Technology Development Manager (Engineer/Physical Scientist) (2 vacancies),"VTO is looking to bring a technology manager to be part of VTO's Energy Efficient Mobility Systems (EEMS) team. Technology managers support the research, development, and demonstration of high-impact technologies and solutions that enable the reliable, resilient, secure, and cost-effective integration of sustainable transportation on our nation's roads. At the GS-13 level, technology development managers serve as technical experts in modeling and simulation; high-performance computing-enabled data analytics; new and emerging transportation-system technologies and new mobility solutions; connected, shared, and automated vehicles; and other related technologies.",GS-13; GS-14,6/21/2022 - open until filled,Direct Hire,Energy Efficient Mobility Systems,https://www.energy.gov/node/4820375
Energy Technology Program Specialist (2 vacancies),"This position is part of the Office of Energy Efficiency and Renewable Energy - Headquarters, Department of Energy. As a Energy Technology Program Specialist, you will be developing effective federal/state approaches to deploying clean energy technologies for all sectors of the economy.",GS-12; GS-13,10/18/2022 - 10/24/2022,USAJobs,Technology Integration,https://www.usajobs.gov/job/683204900
Deployment Manager,coming soon,GS-14,coming soon,USAJobs,Technology Integration,
Infrastructure Deployment Manager,coming soon,GS-15,coming soon,USAJobs,Technology Integration,
Deputy Director,coming soon,SES,coming soon,USAJobs,N/A,
Director,"DOE's Energy Efficiency and Renewable Energy Office is looking for a dynamic, innovative, seasoned executive to lead the Vehicle Technologies Office, a $400M research, development, demonstration & deployment (RDD&D) organization. You'll develop research strategies, demonstration & deployment initiatives; and lead execution of programs with public, private-sector & national labs to achieve cost-effective national energy, environment and economic goals through sustainable transportation solutions.",SES,06/28/2022 - 08/29/2022,USAJobs,N/A,https://www.usajobs.gov/GetJob/ViewDetails/662333800
