Position Title,Summary,Technology Area,Grade,Opening-Closing Dates,Type,CMS Node
Industry Partnerships Manager,Join a,Operations,GS-13,6/21/2022 - 7/12/2022,USAJobs,https://www.energy.gov/node/2207553/
Interdisciplinary General Engineer / Physical Scientist,,Batteries & Electrification,GS-12; GS-13,6/21/2022 - open until filled,BIL,https://www.energy.gov/node/2207553/
Interdisciplinary General Engineer / Physical Scientist,,Batteries & Electrification,GS-13-Term,6/21/2022 - open until filled,BIL,https://www.energy.gov/node/2207553/
Operations Chief of Staff (Engineer),Join a,Operations,GS-13,6/21/2022 - open until filled,Direct Hire,https://www.energy.gov/node/2207553/
Program Manager (Engineer),VTO seeks dynamic leader to serve as program manager of the Batteries portfolio.  Candidate will....,Batteries & Electrification,GS-15,6/21/2022 - open until filled,Direct Hire,https://www.energy.gov/node/2207553/
Program Manager (Physical Scientist/Engineer),VTO seeks dynamic leader to serve as program manager of the Electrification portfolio.  Candidate will....,Batteries & Electrification,GS-15,6/21/2022 - open until filled,Direct Hire,https://www.energy.gov/node/2207553/
Program Manager (Engineer),VTO seeks dynamic leader to serve as program manager of the EEMS portfolio.  Candidate will....,Energy Efficient Mobility Systems,GS-15,6/21/2022 - open until filled,Direct Hire,https://www.energy.gov/node/2207553/
Technology Development Manager (Engineer),,Batteries & Electrification,GS-14,6/21/2022 - open until filled,Direct Hire,https://www.energy.gov/node/2207553/
Technology Development Manager (Engineer),,Batteries & Electrification,GS-13,6/21/2022 - open until filled,Direct Hire,https://www.energy.gov/node/2207553/
Technology Development Manager (Engineer),,Batteries & Electrification,GS-12,6/21/2022 - open until filled,Direct Hire,https://www.energy.gov/node/2207553/
Technology Development Manager (Engineer),,Batteries & Electrification,GS-13,6/21/2022 - open until filled,Direct Hire,https://www.energy.gov/node/2207553/
Technology Development Manager (Engineer),,"Marine, Aviation, Rail, and Off-Road",GS-13,6/21/2022 - open until filled,Direct Hire,https://www.energy.gov/node/2207553/
Technology Development Manager (Engineer/Physical Scientist),,Energy Efficient Mobility Systems,GS-13,6/21/2022 - open until filled,Direct Hire,https://www.energy.gov/node/2207553/
Deployment Manager,Join a,Technology Integration,GS-12,6/21/2022 - 7/12/2022,USAJobs,https://www.energy.gov/node/2207553/
Deployment Manager,Join a,Technology Integration,GS-12,6/21/2022 - 7/12/2022,USAJobs,https://www.energy.gov/node/2207553/
Deployment Manager,Join a,Technology Integration,GS-14,6/21/2022 - 7/12/2022,USAJobs,https://www.energy.gov/node/2207553/
