Publication Title,Summary,Published By,Publication Year,Technology Area,Publication Type,CMS node
EVs at Scale 2022 Bi-Annual Stakeholder Meeting presentation ,"Electric Vehicles at Scale (EVs at Scale) consortium Bi-Annual Stakeholder Meeting Presentation given August 17, 2022. The EVs at Scale Consortium brings together national laboratories and key stakeholders to conduct infrastructure research and development to address challenges and barriers for high-power EV charging infrastructure that enable greater safety, grid operation reliability, and consumer confidence.",National Renewable Energy Laboratory,2022,EVs@Scale,Presentation,https://www.nrel.gov/docs/fy22osti/83838.pdf
2021 Advanced Engine and Fuel Technologies Annual Progress Report,"The Advanced Engine and Fuel Technologies Program supports the Vehicle Technologies Office’s goals of transportation decarbonization, increasing domestic energy security through fuel diversification, improving internal combustion engine efficiency, reducing greenhouse gas and air pollutant emissions, and reducing vehicle initial and operating costs for consumers and businesses. The Program focuses on early-stage research and development (R&D) to improve understanding of the combustion processes, fuel properties, emissions
control technologies, and their interrelationships while generating knowledge and insight necessary for the on
and off-road vehicle industries to develop the next generation of internal combustion engines. ",Vehicle Technologies Office,2022,Advanced Engine and Fuel Technoloies,Report,http://www.energy.gov/node/4823218
2021 Energy Efficient Mobility Systems Annual Progress Report,"DOE conducts research to understand how the changing mobility landscape will affect transportation energy consumption and identifies opportunities to create more efficient, affordable, reliable, accessible, equitable, and secure transportation options that enhance mobility for individuals and businesses. Within EERE, the EEMS Program is responsible for this research portfolio. This APR describes work that the EEMS Program conducted during FY 2021 in support of the EEMS Program goals.",Vehicle Technologies Office,2022,Energy Efficient Mobility Systems,Report,http://www.energy.gov/node/4823279
2021 Electrification Annual Progress Report,"The Electric Drive Technologies (EDT) program’s mission is to conduct early-stage research and development on transportation electrification technologies that accelerate the development of cost-effective and compact electric traction drive systems that meet or exceed performance and reliability requirements of internal combustion engine (ICE)-based vehicles, thereby enabling electrification across all light-duty vehicle types. The Grid and Charging Infrastructure (G&I) program's mission is to conduct early-stage research and development on transportation electrification technologies that enable reduced petroleum consumption by light, medium, and heavy-duty vehicles. The program identifies and enables the role of vehicles in the future electrical grid.",Vehicle Technologies Office,2022,Batteries and Electrification,Report,http://www.energy.gov/node/4823224
2021 Materials Annual Progress Report,"The Materials Technology subprogram supports the VTO’s mission to accelerate the deployment of clean energy technology toward achieving net-zero emissions in the transportation sector. Lighter vehicles with more efficient powertrains reduce energy use, decrease greenhouse gas (GHG) emissions, and save consumers money.",Vehicle Technologies Office,2022,Materials,Report,https://www1.eere.energy.gov/vehiclesandfuels/downloads/VTO_2021_Materials_Consolidated_Report_FINAL_2022-09-14_compliant_v2.pdf
2021 Technology Integration Annual Progress Report,"VTO's Technology Integration Program supports a broad technology portfolio that includes alternative fuels, energy efficient mobility systems and technologies, and other efficient advanced technologies that can reduce transportation energy costs for businesses and consumers. The program provides objective, unbiased data and real-world lessons learned to inform future research needs and support local decision making. It also includes projects to disseminate data, information, and insight, as well as online tools and technology assistance to cities and regions working to implement alternative fuels and energy efficient mobility technologies and systems.",Vehicle Technologies Office,2022,Technology Integration,Report,http://www.energy.gov/node/4823278
2021 Batteries Annual Progress Report,"During the fiscal year 2021 (FY 2021), the Vehicle Technologies Office’s (VTO) Batteries program continued research and development (R&D) support of battery technologies for plug-in electric vehicles (PEVs), e.g., plug-in hybrids, extended range electric vehicles, all-electric vehicles, and some hybrid electric vehicles. One objective of this support is to enable U.S. innovators to rapidly develop next generation of technologies that achieve the cost, range, and charging infrastructure necessary for the widespread adoption of PEVs.",Vehicle Technologies Office,2022,Batteries and Electrification,Report,https://www1.eere.energy.gov/vehiclesandfuels/downloads/VTO_2021_APR_BATTERIES_v8_compliant.pdf
2021 Analysis Annual Progress Report,"The VTO Analysis Program supports mission-critical technological, economic, and interdisciplinary analyses to assist in prioritizing VTO technology investments and to inform research portfolio planning. These efforts provide essential vehicle and market data, modeling and simulation, and integrated and applied analyses, using the unique capabilities, analytical tools, and expertise resident in the DOE’s national laboratory system.",Vehicle Technologies Office,2022,Analysis,Report,http://www.energy.gov/node/4823222
2021 Annual Merit Review Report,"The 2021 U.S. Department of Energy (DOE), Office of Energy Efficiency and Renewable Energy’s (EERE) Vehicle Technologies Office (VTO) Annual Merit Review (AMR) was held June 21-25, 2021, virtually, due to extenuating circumstances resulting from the global coronavirus disease (COVID-19) pandemic. The review encompassed work done by VTO:  273 individual activities were reviewed by 281 reviewers. Exactly 1,152 individual review responses were received for the VTO technical reviews. The objective of the meeting was to review the accomplishments and plans for VTO over the previous 12 months, and provide an opportunity for industry, government, and academia to give inputs to DOE with a structured and formal methodology. The meeting also provided attendees with a virtual forum for interaction and technology information transfer.",Vehicle Technologies Office,2021,Office-wide,Report,http://www.energy.gov/node/4815723
U.S. DRIVE Highlights of Technical Accomplishments 2021,The U.S. DRIVE 2021 Highlights of Technical Accomplishments Report summarizes key technical accomplishments in the development of advanced automotive and related energy infrastructure technologies achieved in 2021 by the U.S. DRIVE partnership.,U.S. DRIVE Partnership,2022,Office-wide,Report,http://www.enegy.gov/node/4819774
