Publication Title,Summary,Published By,Publication Year,Technology Area,Publication Type,CMS node
SMART Mobility Advanced Fueling Infrastructure Capstone Report,"The U.S. Department of Energy�s Systems and Modeling for Accelerated Research in Transportation
(SMART) Mobility Consortium is a multiyear, multi-laboratory collaborative, managed by the Energy
Efficient Mobility Systems Program of the Office of Energy Efficiency and Renewable Energy, Vehicle
Technologies Office, dedicated to further understanding the energy implications and opportunities of advanced
mobility technologies and services. The first three-year research phase of SMART Mobility occurred from
2017 through 2019 and included five research pillars: Connected and Automated Vehicles, Mobility Decision
Science, Multi-Modal Freight, Urban Science, and Advanced Fueling Infrastructure. A sixth research thrust
integrated aspects of all five pillars to develop a SMART Mobility Modeling Workflow to evaluate new
transportation technologies and services at scale. This report summarizes the work of the Advanced Fueling Infrastructure Pillar. This Pillar investigated the
charging infrastructure needs of electric ride-hailing and car-sharing vehicles, automated shuttle buses, and freight-delivery truck fleets. ",Vehicle Technologies Office,2020,Energy Efficiency Mobility Systems,Report,4539504
SMART Mobility Connected and Automated Vehicles Capstone Report,"The U.S. Department of Energy�s Systems and Modeling for Accelerated Research in Transportation
(SMART) Mobility Consortium is a multiyear, multi-laboratory collaborative, managed by the Energy
Efficient Mobility Systems Program of the Office of Energy Efficiency and Renewable Energy, Vehicle
Technologies Office, dedicated to further understanding the energy implications and opportunities of advanced
mobility technologies and services. The first three-year research phase of SMART Mobility occurred from
2017 through 2019 and included five research pillars: Connected and Automated Vehicles, Mobility Decision
Science, Multi-Modal Freight, Urban Science, and Advanced Fueling Infrastructure. A sixth research thrust
integrated aspects of all five pillars to develop a SMART Mobility Modeling Workflow to evaluate new
transportation technologies and services at scale.
This report summarizes the work of the Connected and Automated Vehicles (CAVs) Pillar. This Pillar
investigated the energy, technology,  and usage implications of vehicle connectivity and automation and
identified efficient CAV solutions.",Vehicle Technologies Office,2020,Energy Efficiency Mobility Systems,Report,4539505
SMART Mobility Decision Science Report,"The U.S. Department of Energy�s Systems and Modeling for Accelerated Research in Transportation
(SMART) Mobility Consortium is a multiyear, multi-laboratory collaborative, managed by the Energy
Efficient Mobility Systems Program of the Office of Energy Efficiency and Renewable Energy, Vehicle
Technologies Office, dedicated to further understanding the energy implications and opportunities of advanced
mobility technologies and services. The first three-year research phase of SMART Mobility occurred from
2017 through 2019, and included five research pillars: Connected and Automated Vehicles, Mobility Decision
Science, Multi-Modal Freight, Urban Science, and Advanced Fueling Infrastructure. A sixth research thrust
integrated aspects of all five pillars to develop a SMART Mobility Modeling Workflow to evaluate new
transportation technologies and services at scale.
This report summarizes the work of the Mobility Decision Science Pillar. The Mobility Decision Science Pillar
sought to fill gaps in existing knowledge about the human role in the mobility system including travel
decision-making and technology adoption in the context of future mobility. The objective was to study how
underlying preferences, needs, and contextual factors might constrain or hasten future transportation system
scenarios.",Vehicle Technologies Office,2020,Energy Efficiency Mobility Systems,Report,4539506
SMART Mobility Multi-Modal Freight Capstone Report,"The U.S. Department of Energy�s Systems and Modeling for Accelerated Research in Transportation
(SMART) Mobility Consortium is a multiyear, multi-laboratory collaborative, managed by the Energy
Efficient Mobility Systems Program of the Office of Energy Efficiency and Renewable Energy, Vehicle
Technologies Office, dedicated to further understanding the energy implications and opportunities of advanced
mobility technologies and services. The first three-year research phase of SMART Mobility occurred from
2017 through 2019, and included five research pillars: Connected and Automated Vehicles, Mobility Decision
Science, Multi-Modal Freight, Urban Science, and Advanced Fueling Infrastructure. A sixth research thrust
integrated aspects of all five pillars to develop a SMART Mobility Modeling Workflow to evaluate new
transportation technologies and services at scale.
This report summarizes the work of the Multi-Modal Freight Pillar. The Multi Modal Freight Pillar�s
objective is to assess the effectiveness of emerging freight movement technologies and understand the impacts
of the growing trends in consumer spending and e-commerce on parcel movement considering mobility,
energy, and productivity",Vehicle Technologies Office,2020,Energy Efficiency Mobility Systems,Report,4539507
SMART Mobility Urban Science Capstone Report,"The U.S. Department of Energy�s Systems and Modeling for Accelerated Research in Transportation
(SMART) Mobility Consortium is a multiyear, multi-laboratory collaborative, managed by the Energy
Efficient Mobility Systems Program of the Office of Energy Efficiency and Renewable Energy, Vehicle
Technologies Office, dedicated to further understanding the energy implications and opportunities of advanced
mobility technologies and services. The first three-year research phase of SMART Mobility occurred from
2017 through 2019, and included five research pillars: Connected and Automated Vehicles, Mobility Decision
Science, Multi-Modal Freight, Urban Science, and Advanced Fueling Infrastructure. A sixth research thrust
integrated aspects of all five pillars to develop a SMART Mobility Modeling Workflow to evaluate new
transportation technologies and services at scale.
This report summarizes the work of the Urban Science Pillar. The Urban Science Pillar focuses on maximummobility and minimum-energy opportunities associated with emerging transportation and transportationrelated technologies specifically within the urban context. Such technologies, often referred to as automated,
connected, efficient (or electrified), and shared (ACES), have the potential to greatly improve mobility and
related quality of life in urban areas",Vehicle Technologies Office,2020,Energy Efficiency Mobility Systems,Report,4539511
"SMART Mobility Modeling Workflow Development, Implementation, and Results Capstone Report","The U.S. Department of Energy�s Systems and Modeling for Accelerated Research in Transportation
(SMART) Mobility Consortium is a multiyear, multi-laboratory collaborative, managed by the Energy
Efficient Mobility Systems Program of the Office of Energy Efficiency and Renewable Energy, Vehicle
Technologies Office, dedicated to further understanding the energy implications and opportunities of advanced
mobility technologies and services. The first three-year research phase of SMART Mobility occurred from
2017 through 2019, and included five research pillars: Connected and Automated Vehicles, Mobility Decision
Science, Multi-Modal Freight, Urban Science, and Advanced Fueling Infrastructure. A sixth research thrust
integrated aspects of all five pillars to develop a SMART Mobility Modeling Workflow to evaluate new
transportation technologies and services at scale.
This report summarizes the work of the SMART Mobility Modeling Workflow effort. The SMART Mobility
Modeling Workflow was developed to evaluate new transportation technologies such as connectivity,
automation, sharing, and electrification through multi-level systems analysis that captures the dynamic
interactions between technologies. By integrating multiple models across different levels of fidelity and scale,
the Workflow yields insights about the influence of new mobility and vehicle technologies at the system level.",Vehicle Technologies Office,2020,Energy Efficiency Mobility Systems,Report,4539512
2019 Analysis Annual Progress Report,"The VTO Analysis Program supports mission-critical technology, economic, and interdisciplinary analyses to assist in prioritizing VTO technology investments and to inform research portfolio planning. These efforts provide essential vehicle and market data, modeling and simulation, and integrated and applied analyses, using the unique capabilities, analytical tools, and expertise resident in the National Laboratory system.",Vehicle Technologies Office,2020,Analysis,Report,4450204
2019 Advanced Engine and Fuel Technologies Annual Progress Report,"The Advanced Engine and Fuel Technologies Program focuses on early-stage research and development to improve understanding of combustion processes, fuel properties, and emissions control technologies, generating knowledge and insight necessary for industry to cost-effectively develop the next generation of engines and fuels. This report highlights progress achieved by the Program during FY 2019. The nature, current focus, and recent progress of the Program are described together with summaries of National Laboratory, industry, and university projects that provide an overview of the exciting work being conducted to address critical technical barriers and challenges to commercializing the next generation of higher-efficiency engine, emissions control, and fuel technologies for passenger and commercial vehicles.",Vehicle Technologies Office,2020,Advanced Combustion Systems and Fuels,Report,4450202
2019 Energy Efficient Mobility Systems Annual Progress Report,"EEMS Program activities during FY 2019 focused on analytical research to understand the impacts that new mobility technologies and services will have at the vehicle, traveler, and overall transportation system-level. This research included the development of vehicle and transportation system simulation models and tools to evaluate the complex interactions among the various actors within the mobility landscape, analysis of empirical data to characterize which solutions may provide the largest benefits, and development of new control systems and algorithms that use vehicle connectivity and automation to improve the performance and efficiency of individual vehicles as well as the overall traffic system. This document presents a brief overview of the EEMS Program and documents progress and results for projects within four of the five EEMS activity areas: (1) the SMART (Systems and Modeling for Accelerated Research in Transportation) Mobility Lab Consortium, (2) High Performance Computing and Big Data Solutions for Mobility Data, (3) Advanced R&D Projects conducted by industry and academia, and (4) Core Modeling, Simulation, and Evaluation, Similarly, the remaining EEMS activity area � (5) Living Labs (managed under VTO�s Technology Integration Program). Each of the individual progress reports provide a project overview and highlights of the technical results.",Vehicle Technologies Office,2020,Energy Efficient Mobility Systems,Report,4450206
2019 Materials Annual Progress Report,"The Materials Technology Program supports the Vehicle Technologies Office�s (VTO�s) mission to help consumers and businesses reduce their transportation energy costs while meeting or exceeding vehicle performance expectations. The propulsion materials research portfolio seeks to develop higher performance materials that can withstand increasingly extreme environments and address the future properties needed for a variety of high-efficiency powertrain types, sizes, fueling concepts, and combustion modes. The lightweight materials research portfolio enables improvements in fuel economy by providing properties that are equal to or better than traditional materials at a lower weight. Because it takes less energy to accelerate a lighter object, replacing cast-iron and traditional steel components with lightweight materials such as advanced high-strength steels, magnesium (Mg) alloys, aluminum (Al) alloys, and fiber-reinforced polymer composites can directly reduce a vehicle�s fuel consumption. By 2025, Materials Technology research activities seek to enable a 25% weight reduction of the glider for light-duty (LD) vehicles including body, chassis, and interior as compared to a 2015 baseline at no more than a $5/lb-saved increase in cost.
",Vehicle Technologies Office,2020,Materials,Report,4450212
