CID,Award_Type,FOA_Name,FOA_NodeID,Fiscal_Year_Awarded,Project_Title,Awardee,Recipient_Type,Program_Area,Subprogram_Node,MHK_Strategy_Challenge,MHK_Resource_Type,State,Region,Division,DOE_Funding_Amount,Project_Description,Status,Principal_Investigator,Technology_Area,Congressional_District,Project_Page
02.01.03.,Annual Operating Plan,FY 2015 AOP,,2015,2013 Open Water Test Infrastructure FOA: California Polytechnic State University,Sandia National Laboratories,Laboratory,MHK Testing Infrastructure,,Barriers to Testing,Wave,NM,Mountain,West,"$63,500 ",This funding supports the California Wave Energy Test Center (CalWave)  project.,Active,"Roberts, Jesse",MHK,,/node/2631668
02.01.03.,Annual Operating Plan,FY 2015 AOP,,2015,2013 Open Water Test Infrastructure FOA: California Polytechnic State University (National Renewable Energy Laboratory Sub),National Renewable Energy Laboratory,Laboratory,MHK Testing Infrastructure,,Barriers to Testing,Wave,CO,Mountain,West,"$57,000 ",This funding supports the California Wave Energy Test Center (CalWave)  project.,Active,"Driscoll, Rick",MHK,,/node/2631668
02.01.03.,Annual Operating Plan,FY 2014 AOP,,2014,2013 Open Water Test Infrastructure FOA: Oregon State University: Pacific Marine Renewable Energy Center,Sandia National Laboratories,Laboratory,MHK Testing Infrastructure,,Barriers to Testing,Wave,NM,Mountain,West,"$99,000 ",This funding supports The Pacific Marine Energy Center South Energy Test Site project.,Active,"Bull, Diana",MHK,,/node/2647248
02.01.03.,Annual Operating Plan,FY 2015 AOP,,2015,2013 Open Water Test Infrastructure FOA: Oregon State University: Pacific Marine Renewable Energy Center (National Renewable Energy Laboratory Sub),National Renewable Energy Laboratory,Laboratory,MHK Testing Infrastructure,,Barriers to Testing,Wave,CO,Mountain,West,"$591,514 ",This funding supports The Pacific Marine Energy Center South Energy Test Site project.,Active,"Huskey, Arlinda",MHK,,/node/2647248
DE-EE0007827,Competitive Funding Opportunity Announcement,FY 2016 Marine and Hydrokinetic Energy Conversion and Environmental Monitoring Technology Advancement,,2016,3rd Generation Integrated Instrumentation: Enhancements to the Adaptable Monitoring Package,University of Washington,University,MHK Environmental Monitoring Instrumentation Research and Development,,Barriers to Testing,Crosscutting,WA,Pacific,West,"$1,397,008 ","This project has two goals: to implement operational awareness through sensor fusion (a characteristic for third-generation integrated instrumentation) that maximizes the insight gained from observations and to reduce market barriers to the adoption of the adaptable monitoring package (AMP) architecture. The first goal will be achieved by (1) developing a scene classifier based on fusion of information streams, (2) expanding controller capabilities to dynamically regulate data acquisition and minimize the invasiveness of monitoring activities, and (3) augmenting the streams of information available to the controller and scene classifier. The second goal will be achieved by increasing the AMP’s adaptability through (4) a flexible hardware and software backbone that minimizes non-recurring engineering required to meet project-specific objectives; and (5) expanding deployment options to meet the full range of industry needs, including integration with a wave energy converter (WEC). ",Active,,MHK,,/node/3473693
02.02.02.,Annual Operating Plan,,,2012,45-Mile Hydroelectric Power Project,Oak Ridge National Laboratory,Laboratory,New Hydro Development,,,,TN,,,"$300,000 ","The objective of Oak Ridge National Laboratory effort is to validate and document the feasibility, implementation, and performance of a small-scale hydropower turbine/generator (about 3 MW) at the 45-mile canal location owned by the Bureau of Reclamation and developed by EDB, Inc. The project will provide a setting for testing and advancement of small-scale hydroelectric turbine technologies. Success of this project is to provide a wide range of operational and cost-savings benefits and provide the region and the US with a credible, operating hydroelectric facility using new, advanced hydropower technology while successfully operating below $0.07 cents per kilowatt-hour.  ",Active,"Hadjerioua, Boulem",Hydropower,TN-5,/node/3281951
DE-EE0005430,Competitive Funding Opportunity Announcement,Advanced Hydropower Technology Development FOA,,2011,45-Mile Hydroelectric Project,Earth by Design,Industry,New Hydro Development,/node/778156,,,OR,,,"$1,200,000 ",Earth by Design has developed and tested a new 2.999-megawatt low-head modular hydropower facility in a canal in Oregon’s North Unit Irrigation District to produce cost-competitive electricity. This project successfully deployed and tested innovative Canadian Hydro turbines had have the generation records for 2015 and 2016.  The project demonstrates the various requirements for development of small hydropower projects with positive generation results that may help to make low-head hydropower development more viable. ,Active,,Hydropower,OR-5,/node/2787170
DE-EE0002649,Competitive Funding Opportunity Announcement,FY 2009 Advanced Water Power FOA,,2009,500kW Utility-Scale PowerBuoy Project,"Ocean Power Technologies, Inc.",Industry,MHK System Design and Validation,/node/778176,"Difficult Engineering, Harsh Environment",Wave,OR,Pacific,West,"$1,500,000 ",Ocean Power Technologies is building on its existing PowerBuoy technology to complete the major components for constructing a fully integrated design of the PB500 PowerBuoy. The components will be assembled to create a full-scale modular power take-off test bed device. The PB500 will have the ability to produce up to 500 kilowatts of power at a levelized cost of electricity that could compete with land-based fossil fuel generation systems in the global market for energy generation.,Completed,,MHK,,/node/3563909
DE-EE0003645,Competitive Funding Opportunity Announcement,FY 2010 MHK Technology Readiness Advancement Initiative FOA,,2010,500kW Utility-Scale PowerBuoy Project,"Ocean Power Technologies, Inc.",Industry,MHK System Design and Validation,/node/778176,Difficult Engineering,Wave,OR,Pacific,West,"$2,400,000 ",Ocean Power Technologies is building on its existing PowerBuoy technology to complete the major components for constructing a fully integrated design of the PB500 PowerBuoy. The components will be assembled to create a full-scale modular power take-off test bed device. The PB500 will have the ability to produce up to 500 kilowatts of power at a levelized cost of electricity that could compete with land-based fossil fuel generation systems in the global market for energy generation.,Completed,,MHK,,/node/3563909
DE-EE0007825,Competitive Funding Opportunity Announcement,FY 2016 Marine and Hydrokinetic Energy Conversion and Environmental Monitoring Technology Advancement,,2016,A Combined Electric/Magnetic Field Instrument for MHK Environmental Monitoring,Woods Hole Oceanographic Institution,Industry,MHK Environmental Monitoring Instrumentation Research and Development,,Barriers to Testing,Crosscutting,MA,New England,Northeast,"$750,000 ","The scientific/technical goal is measurement of the direct and indirect effects of Marine and Hydrokinetic (MHK) systems on the seafloor vector magnetic and electric fields with a resolution of 0.1nT and 0.1V/m, respectively, over the range of DC-100 Hz for the magnetic field, and 10-4-100 Hz for the electric field. An instrument design that is a modification of a Technology Readiness Level (TRL) 9 one designed and built at Woods Hole Oceanographic Institution (WHOI) has been described that will meet the requirements for MHK studies. Six units of the instrument will be constructed and tested during Budget Period 1 (BP1) (one each) and Budget Period 2 (BP2) (five each), with validation of the instrument design occurring at the end of BP1, and further demonstration at the end of BP2. In addition, a Geometrics G-882 scalar cesium vapor magnetometer with altimeter will be procured during BP2, and tested with the seafloor instruments. A test deployment of both types of instruments at an existing MHK site is planned for Budget Period 3 (BP3). The overarching goal is characterizing the electromagnetic environment around MHK sites by providing baseline electromagnetic data.",Active,,MHK,,/node/3473711
