CID,Project_Title,Awardee,Program_Area,DOE_Funding_Amount,Recipient_Type,Award_Type,State,FOA_Name,FOA_NodeID,Fiscal_Year_Awarded,Subprogram_Node,Project_Description,Status,Contact_email,Contact_url
21273,Advanced Technology for Improving the Design Basis of Offshore Wind Energy Systems,"Savannah River National Laboratory (operated by Savannah River Nuclear Solutions, LLC)",Offshore Wind,"$554,845 ",National Laboratory,Competitive Funding Opportunity Announcement,SC,U.S. Offshore Wind: Removing Market Barriers FOA,/node/778411,2011 &ndash; 2016,/node/778401,"Savannah River National Laboratory developed a dynamically coupled met-ocean model from open source models of the atmosphere, waves, and ocean using a software coupling tool to simulate two hurricanes in the South Atlantic between Cape Hatteras, NC and West Palm Beach, FL. Savannah River prepared maps of engineering parameters related to hurricanes and modeled wave loads on monopile offshore wind turbine foundations. For more information, see <a href="" http://sti.srs.gov/fulltext/SRNL-STI-2013-00611.pdf"" target=""_blank""> Proceedings from AWEA Offshore Windpower Conference & Exhibition 2013</a>.",Completed,,
1.1.0.401,Testing Facilities and Capabilities at the National Wind Technology Center,National Renewable Energy Laboratory,Testing,"$26,201,108 ",National Laboratory,Annual Operating Plan,CO,,,2014 &ndash; 2018,/node/778426,"The National Renewable Energy Laboratory's (NREL's) National Wind Technology Center (NWTC) conducts research across a complete spectrum of applicable wind energy engineering disciplines, including atmospheric fluid mechanics and aerodynamics; dynamics, structures, and fatigue; power systems and electronics; and wind turbine engineering applications. The purpose and objective of this project is for the NWTC to maintain mission readiness and operational expertise of DOE’s specialized research facilities and capabilities at the NWTC. The safe operation and continued reliable performance of all NWTC site activities are dependent on the work conducted under this project. It includes maintaining highly skilled staff and advanced, state-of-the-art research methods, facilities, and capabilities needed to support evolving DOE and industry research needs. It also includes acquisition of research data and development of data processing and analysis tools. These competencies enable validation of early-stage research projects.",Active,brian.smith@nrel.gov,https://www.nrel.gov/wind/facilities-research.html
1.1.0.402,Testing Partnerships,National Renewable Energy Laboratory,Testing,"$761,801 ",National Laboratory,Annual Operating Plan,CO,,,2014 &ndash; 2016,/node/778426,"The main purpose of the testing facilities and capabilities at the National Wind Technology Center (NWTC) at the National Renewable Energy Laboratory (NREL) is to operate and maintain custom-developed infrastructure tailored to provide research validation testing and demonstrate new technology for energy independence, energy security, jobs, and rural economic development. This included enabling safe and efficient proof-of-concept research testing to extremes, and designing experiments that anticipated test article failures. The NWTC supports research testing with skilled workers, qualified operators, and technical experts. The NWTC also provides high-caliber research-grade instrumentation and measurements to enable model validation and ensure systems meet required standards. This allows industry partners to focus on their technology innovations, not testing requirements (e.g., experiment design, safety procedures, and data acquisition).",Completed,brian.smith@nrel.gov,https://www.nrel.gov/wind/facilities-research.html
1.1.0.701,Testing Facilities and Capabilities at Sandia: Field Test Facilities - DOE Turbine Facilities and Test Sites O&M including Scaled Wind Farm Technology Facility (SWiFT),Sandia National Laboratories,Testing,"$11,448,680 ",National Laboratory,Annual Operating Plan,NM; TX,,,2014 &ndash; 2018,/node/778426,"The purpose of the Scaled Wind Farm Technology (SWiFT) facility is to provide the United States with world-class test capabilities for conducting innovative wind turbine and wind plant research & development. The site is strategically located in Lubbock, Texas, a region with a high wind resource and low turbulence, which is ideal for research. The SWiFT facility is the only open-source wind plant in the world. SWiFT’s unique testing capabilities are derived from three key features: the turbines, the layout, and the wind resource. These features, combined with staff knowledge and skill, result in a test facility well-suited for investigation of wind turbine wake behavior, turbine-to-turbine interaction, wind plant technologies, rotor system innovation, uncertainty quantification, and computational tool validation. 
SWiFT project objectives include 1) keeping operations running safely and smoothly by continuously implementing Sandia’s Integrated Safety Management System and Work Planning & Control practices, 2) keeping equipment in good working order through maintenance activities, and 3) providing operational support to WETO projects and other users of the facility to achieve their test objectives. 
In addition to supporting research in energy security and energy independence, SWiFT supports job creation, infrastructure enhancement, and rural economic development in its location of Texas Tech University, Lubbock, TX. Partners include Vestas Wind Systems, Texas Tech University, Group NIRE, Windar Photonics, Micron Optics, GE Renewables – Onshore Wind, Pentalum, Skyspecs, DTU, University of Texas Dallas, NREL, LM Wind Power, Siemens Wind Power, ABB, National Instruments, Binational Industrial Research and Development Foundation, DOE Advanced Manufacturing Office, and DOE Small Business Vouchers.",Active,gklise@sandia.gov,http://energy.sandia.gov/energy/renewable-energy/wind-power/wind_plant_opt/
1.2.1.401,"Distributed Wind Research, Development, and Testing: Competitiveness Improvement Project, Market Assessment, Soft Costs Analysis and Reduction, Resource Assessment, and Technology Support",National Renewable Energy Laboratory,Distributed Wind; Testing,"$10,927,862 ",National Laboratory,Annual Operating Plan,WA; OR; CO; KS; OK; GA; MN; NY; ME; VT; NH,,,2014 &ndash; 2018,/node/778421; /node/778426,"Distributed wind (DW) refers to the use of wind power as a distributed energy resource, where wind energy technologies (big and small) are connected directly to the electricity distribution grid, on the customer side of the meter, or at an off-grid location to support local loads or grid operations. Deployed by individuals, businesses, communities, and electric utilities, distributed wind refers to any size wind turbine or small array of turbines that generates power for local or on-site use. Relative to utility-scale wind and other distributed energy resources such as photovoltaics, market growth for DW systems has been hindered by outdated and untested technologies; high hardware costs; inaccurate resource and performance assessment; high non-hardware balance-of-system costs; and an unclear understanding of the DW market pathways and potential opportunities.
The purpose of this project is to drive innovation in wind technologies designed for distributed energy applications and develop a fundamental understanding of the market opportunity for planning a more robust portfolio to support DW cost reduction and market development. Primary project objectives include 1) reducing DW system LCOE and 2) increasing the number of small and medium scale wind technologies tested to nation standards for certification. A component of this task is the Competitiveness Improvement Project, which is an annual competitive solicitation concentrating on turbine testing, advanced manufacturing, and system optimization for small and medium size wind turbine technology. DOE has awarded CIP funding to 28 subcontracts to 15 companies in six rounds of funding; awardees include Bergey Windpower, Endurance Wind Power, Intergrid, Northern Power Systems, Pecos Wind Power, Pika Energy, Primus Windpower, Rock Concrete, Sonsight, Star Wind Turbines, Urban Green Energy, Ventera Wind, Wetzel Engineering, Windurance, and Xzeres. For more information, see <a href=""https://www.energy.gov/eere/wind/downloads/distributed-wind-competitiveness-improvement-project-fact-sheet"" target=""_blank"">the CIP factsheet</a>.</li>
Secondary project objectives include, 1) developing an understanding of the gaps in site and performance assessment, 2) developing an understanding of the market opportunity for different scales of DW systems, 3) developing a costs benchmark to measure the impact of R&D opportunities, and 4) develop an understanding of the needs of installers and project developers.",Active,brian.smith@nrel.gov,https://www.nrel.gov/wind/distributed-wind.html
1.2.1.601,Distributed Market Wind Research (Market Report),Pacific Northwest National Laboratory,Distributed Wind,"$1,537,111 ",National Laboratory,Annual Operating Plan,WA,,,2013 &ndash; 2018,/node/778421,"This project provides distributed wind market research, data, and analysis to support DOE's research and development activities. These activities are intended to increase distributed wind’s cost effectiveness and performance, reduce hardware costs, and increase the number of certified small and medium wind turbines. Read more in the <a href=""http://www.pnnl.gov/main/publications/external/technical_reports/PNNL-26900.pdf"" target=""_blank"">Benchmarking U.S. Small Wind Costs</a>.
The annual Distributed Wind Market Report is the main product of PNNL’s research, data collection, and analysis and is one part of DOE’s WETO distributed wind portfolio. The objective of the portfolio work is to enable wind technologies as distributed energy resources to contribute maximum economic and system benefit to energy systems now and in the future. To that end, the<a href=""https://energy.gov/sites/prod/files/2017/08/f35/2016-Distributed-Wind-Market-Report.pdf"" target=""_blank"">Distributed Wind Market Report</a>analyzes distributed wind projects of all sizes and details within the U.S. small wind market. By providing a comprehensive overview of the distributed wind market, this report can help guide future investments and decisions by industry, utilities, federal and state agencies, and other interested parties.
PNNL also has the opportunity to leverage its distributed wind expertise to educate federal agency stakeholders about distributed wind and the importance of using proven technology. Renewable energy, including distributed wind, is already being pursued by many federal agencies, but with mixed results. Education and outreach to these agencies helps facilitate a cohesive approach to distributed wind across the federal government. Educating federal agencies about distributed wind will enable them to make better decisions and reinforce the message that PNNL and WETO are available to help with distributed wind questions.",Active,will.shaw@pnnl.gov,http://wind.pnnl.gov/distributedwind.asp
1.3.0.301,Immersed Boundary Method,Lawrence Livermore National Laboratory,Atmosphere to electrons: Plant Optimization and Resource Characterization,"$577,549 ",National Laboratory,Annual Operating Plan,CA,,,2014 &ndash; 2016,/node/778436," This sub-project of the Wind Forecast Improvement Project is exploring an alternative approach to Numerical Weather Prediction in high-resolution simulations. Read more in the <a href=""https://energy.gov/eere/wind/articles/simulation-toolkit-promises-better-wind-predictions-increased-farm-production"" target=""_blank"">Wind Program's R&D Newsletter</a>.",Completed,mirocha2@llnl.gov,https://www.esrl.noaa.gov/psd/renewable_energy/wfip/
1.3.1.001,"A2e: Measurement, Testing, and Verification: Field Study Design and Analysis (Complex Flow/WFIP Support)",Argonne National Laboratory,Atmosphere to electrons: Plant Optimization and Resource Characterization,"$858,072 ",National Laboratory,Annual Operating Plan,IL,,,2014 &ndash; 2018,/node/778436,"The Wind Forecast Improvement Project in Complex Terrain (WFIP 2) had two overarching scientific goals: 
 <ul>
<li>To improve the physical understanding of atmospheric processes that directly affect wind energy forecasts in areas of complex terrain.</li>
<li>To incorporate the new understanding into foundational weather forecasting models in order to improve wind energy forecasts. In support of these goals, the participants in WFIP 2 conducted a field campaign to assess how physical processes over a broad range of spatial scales alter wind speeds across the rotor diameter.</li>
</ul>
From this research, the team worked to develop physical modeling methods and atmospheric theories that could be incorporated in foundational weather models to improve wind forecasting. The results of implemented changes were evaluated through assessment of the improvement in forecast skill and the economic impact of these improvements. Finally a set of decision support tools were developed to facilitate the operational use of improved forecasts. 
The overall design for WFIP 2 in the complex terrain of the Columbia Gorge focused on a set of weather phenomena that posed particular challenges for wind and wind power forecasting: frontal passages with stable mix-out; gap flows; convective outflows; mountain waves; topographic wakes; and marine pushes. In addition to these specific phenomena, the Columbia Gorge area posed amplified challenges in general for numerical weather prediction models owing to the moderately complex terrain of the Columbia Basin of eastern Washington and Oregon and to the highly complex terrain of the Cascade Mountains just to the west. The improvement of our ability to characterize and forecast winds affected by these phenomena was expected to in turn improve the forecasts of wind energy and thus lowered its overall cost. Moreover, by focusing on underlying physics, the forecast model improvements in WFIP 2 were expected to be generally transferable to other regions of the country, providing a broad benefit to wind power generation in the U.S. As the FOA awardee for WFIP 2, Vaisala proposed a comprehensive program of observations, model improvement, and development of decision support tools focused on a field campaign in the Columbia Gorge. DOE also provided support to ANL, LLNL, NREL, and PNNL as well as NOAA to provide additional scientific contributions to this study.
",Completed,agreco@anl.gov,https://www.esrl.noaa.gov/psd/renewable_energy/wfip/
1.3.1.302,"A2e: Measurement, Testing, and Verification: Field Study Design and Analysis (Complex Flow/WFIP Support)",Lawrence Livermore National Laboratory,Atmosphere to electrons: Plant Optimization and Resource Characterization,"$1,497,556 ",National Laboratory,Annual Operating Plan,CA,,,2014 &ndash; 2018,/node/778436,"The Wind Forecast Improvement Project in Complex Terrain (WFIP 2) had two overarching scientific goals: 
 <ul>
<li>To improve the physical understanding of atmospheric processes that directly affect wind energy forecasts in areas of complex terrain.</li>
<li>To incorporate the new understanding into foundational weather forecasting models in order to improve wind energy forecasts. In support of these goals, the participants in WFIP 2 conducted a field campaign to assess how physical processes over a broad range of spatial scales alter wind speeds across the rotor diameter.</li>
</ul>
From this research, the team worked to develop physical modeling methods and atmospheric theories that could be incorporated in foundational weather models to improve wind forecasting. The results of implemented changes were evaluated through assessment of the improvement in forecast skill and the economic impact of these improvements. Finally a set of decision support tools were developed to facilitate the operational use of improved forecasts. 
The overall design for WFIP 2 in the complex terrain of the Columbia Gorge focused on a set of weather phenomena that posed particular challenges for wind and wind power forecasting: frontal passages with stable mix-out; gap flows; convective outflows; mountain waves; topographic wakes; and marine pushes. In addition to these specific phenomena, the Columbia Gorge area posed amplified challenges in general for numerical weather prediction models owing to the moderately complex terrain of the Columbia Basin of eastern Washington and Oregon and to the highly complex terrain of the Cascade Mountains just to the west. The improvement of our ability to characterize and forecast winds affected by these phenomena was expected to in turn improve the forecasts of wind energy and thus lowered its overall cost. Moreover, by focusing on underlying physics, the forecast model improvements in WFIP 2 were expected to be generally transferable to other regions of the country, providing a broad benefit to wind power generation in the U.S. As the FOA awardee for WFIP 2, Vaisala proposed a comprehensive program of observations, model improvement, and development of decision support tools focused on a field campaign in the Columbia Gorge. DOE also provided support to ANL, LLNL, NREL, and PNNL as well as NOAA to provide additional scientific contributions to this study.
",Completed,mirocha2@llnl.gov,https://www.llnl.gov/missions/energy
1.3.1.401,"A2e: Measurement, Testing, and Verification (WFIP Support)",National Renewable Energy Laboratory,Atmosphere to electrons: Plant Optimization and Resource Characterization,"$1,999,309 ",National Laboratory,Annual Operating Plan,CO,,,2015 &ndash; 2018,/node/778436,"The Wind Forecast Improvement Project in Complex Terrain (WFIP 2) had two overarching scientific goals: 
 <ul>
<li>To improve the physical understanding of atmospheric processes that directly affect wind energy forecasts in areas of complex terrain.</li>
<li>To incorporate the new understanding into foundational weather forecasting models in order to improve wind energy forecasts. In support of these goals, the participants in WFIP 2 conducted a field campaign to assess how physical processes over a broad range of spatial scales alter wind speeds across the rotor diameter.</li>
</ul>
From this research, the team worked to develop physical modeling methods and atmospheric theories that could be incorporated in foundational weather models to improve wind forecasting. The results of implemented changes were evaluated through assessment of the improvement in forecast skill and the economic impact of these improvements. Finally a set of decision support tools were developed to facilitate the operational use of improved forecasts. 
The overall design for WFIP 2 in the complex terrain of the Columbia Gorge focused on a set of weather phenomena that posed particular challenges for wind and wind power forecasting: frontal passages with stable mix-out; gap flows; convective outflows; mountain waves; topographic wakes; and marine pushes. In addition to these specific phenomena, the Columbia Gorge area posed amplified challenges in general for numerical weather prediction models owing to the moderately complex terrain of the Columbia Basin of eastern Washington and Oregon and to the highly complex terrain of the Cascade Mountains just to the west. The improvement of our ability to characterize and forecast winds affected by these phenomena was expected to in turn improve the forecasts of wind energy and thus lowered its overall cost. Moreover, by focusing on underlying physics, the forecast model improvements in WFIP 2 were expected to be generally transferable to other regions of the country, providing a broad benefit to wind power generation in the U.S. As the FOA awardee for WFIP 2, Vaisala proposed a comprehensive program of observations, model improvement, and development of decision support tools focused on a field campaign in the Columbia Gorge. DOE also provided support to ANL, LLNL, NREL, and PNNL as well as NOAA to provide additional scientific contributions to this study.
",Completed,brian.smith@nrel.gov,https://www.nrel.gov/wind/
